birdID,nestID,obs_date,hatch1_date,days_pre_hatch,response,latency
1C3,19G10,5/27/19,NA,#VALUE!,8,73
X19G22,19G22,5/27/19,6/18/19,22,7,300
1K9,19G23,5/27/19,6/9/19,13,5,13
3P2,19G46,5/27/19,5/27/19,0,5,0
1HY,19G10,5/28/19,NA,#VALUE!,8,254
X19G14,19G14,5/28/19,6/8/19,11,7,15
2M8,19G30,5/28/19,6/20/19,23,7,278
X19G30,19G30,5/28/19,6/20/19,23,7,193
2HY,19G41,5/28/19,6/3/19,6,8,142
3HY,19G42,5/28/19,6/8/19,11,5,0
U19G43,19G43,5/28/19,6/10/19,13,5,13
U19G45,19G45,5/28/19,6/3/19,6,8,27
6P5,19G49,5/28/19,6/10/19,13,5,4
4FV,19G50,5/28/19,6/4/19,7,6,204
8HY,19G53,5/28/19,6/7/19,10,8,300
0HY,19G56,5/28/19,6/9/19,12,7,30
3HZ,19G58,5/28/19,6/10/19,13,7,300
4HZ,19G59,5/28/19,6/7/19,10,8,49
5HZ,19G60,5/28/19,6/1/19,4,4,39
6HZ,19G61,5/28/19,5/29/19,1,8,173
8HZ,19G62,5/28/19,5/28/19,0,7,145
0EU,19G03,5/29/19,6/9/19,11,5,15
U19G03,19G03,5/29/19,6/9/19,11,6,133
2Z0,19G14,5/29/19,6/8/19,10,4,0
2P3,19G43,5/29/19,6/10/19,12,5,28
6HY,19G45,5/29/19,6/3/19,5,8,48
9HY,19G54,5/29/19,6/13/19,15,8,73
0HZ,19G57,5/29/19,NA,#VALUE!,5,82
2HZ,19G57,5/29/19,NA,#VALUE!,6,16
6HU,19G22,5/31/19,6/18/19,18,7,215
X19G22,19G22,5/31/19,6/18/19,18,7,3
9EF,19G23,5/31/19,6/9/19,9,5,15
1K9,19G23,5/31/19,6/9/19,9,8,300
U19G46,19G46,5/31/19,5/27/19,-4,5,200
3P2,19G46,5/31/19,5/27/19,-4,6,52
0EU,19G03,6/1/19,6/9/19,8,4,0
U19G03,19G03,6/1/19,6/9/19,8,7,35
1HY,19G10,6/1/19,NA,#VALUE!,8,135
1C3,19G10,6/1/19,NA,#VALUE!,5,15
X19G14,19G14,6/1/19,6/8/19,7,4,0
2M8,19G30,6/1/19,6/20/19,19,5,35
X19G30,19G30,6/1/19,6/20/19,19,8,153
U19G41,19G41,6/1/19,6/3/19,2,8,300
2HY,19G41,6/1/19,6/3/19,2,8,300
U19G42,19G42,6/1/19,6/8/19,7,7,91
3HY,19G42,6/1/19,6/8/19,7,6,153
U19G43,19G43,6/1/19,6/10/19,9,5,7
6HY,19G45,6/1/19,6/3/19,2,8,222
4AC,19G49,6/1/19,6/10/19,9,8,17
6P5,19G49,6/1/19,6/10/19,9,6,63
1EA,19G50,6/1/19,6/4/19,3,7,124
4FV,19G50,6/1/19,6/4/19,3,5,16
U19G53,19G53,6/1/19,6/7/19,6,7,300
8HY,19G53,6/1/19,6/7/19,6,8,49
U19G54,19G54,6/1/19,6/13/19,12,6,252
9HY,19G54,6/1/19,6/13/19,12,8,277
U19G56,19G56,6/1/19,6/9/19,8,7,300
0HY,19G56,6/1/19,6/9/19,8,7,24
0HZ,19G57,6/1/19,NA,#VALUE!,4,0
0HU,19G58,6/1/19,6/10/19,9,7,197
3HZ,19G58,6/1/19,6/10/19,9,7,229
U19G59,19G59,6/1/19,6/7/19,6,7,300
4HZ,19G59,6/1/19,6/7/19,6,8,184
U19G60,19G60,6/1/19,6/1/19,0,6,155
5HZ,19G60,6/1/19,6/1/19,0,5,45
9HZ,19G62,6/1/19,5/28/19,-4,6,29
