NestNum,NestID,Location,M#1,M#2,Lat,Lon,Notes
,21G01,Kiggins leach,9P3,8K6,NA,NA,no eggs
1,21G02,Dorm 1,0EE,9Z4,42.98750,-70.61368,
2,21G03,Bartels leach,8EX,4F7,42.9874,-70.61318,
3,21G04,Dorm 2,2EE,6V4,42.98713,-70.61401,
4,21G05,Road to Laighton,0T4,6HU,42.98727,-70.61553,
5,21G06,PK,1K9,9EF,42.98695,-70.61556,
6,21G07,Sunset,2 E 2,UB,42.98697,-70.61585,
7,21G08,Sunset,0U4,UB,42.98696,-70.61580,
8,21G09,Swale,2HZ / 8F7,0HZ,42.98848,-70.61532,
9,21G10,Swale corner,1Z5,5Y3,42.98872,-70.61519,
10,21G11,Dive Locker,0HX / 5J1,0KE / 7JM,42.98897,-70.61542,
11,21G12,Grass Lab,9AC,3AP,42.98916,-70.61588,
12,21G13,Celia's,1HY,1C3,42.98955,-70.61614,
13,21G14,FMS 5,7U9,0AC,42.98930,-70.61647,
14,21G15,Rock-on-trail,7 E 6,3HE,42.99072,-70.61501,
15,21G16,Road to SP,2M8,0FU,42.98977,-70.61682,
16,21G17,HTP to dock,3P2,2017-23864,42.98771,-70.61581,
17,21G18,K to HTP,1M7,9JP,42.98725,-70.61649,
18,21G19,HTP road,5KK / 3EH,2ET,42.98806,-70.61581,
19,21G20,HTP,2KH / 0X5,4Z1,42.9882,-70.61577,
20,21G21,HTP,3KH / 8C7,4KH / 8JN,42.98821,-70.61583,
21,21G22,HTP,7HU,8HU,42.98822,-70.61578,
22,21G23,Broad to Nor,6R3,4AC,42.98938,-70.61364,
23,21G24,Solar panel,2Z0,UB,42.98908,-70.61446,
24,21G25,Grass Lab,0J2,5R7,42.98905,-70.61552,
25,21G26,Road to SP,7F9,,42.9899,-70.61685,
26,21G27,Celia's bench,3T3,5ER,42.98937,-70.61626,
27,21G28,SP beach,7FE,,,,*not in database
28,21G29,SP beach,3EE,UB,42.99097,-70.61672,
29,21G30,HTP,5Y4,,42.98817,-70.61581,
30,21G31,PK,8JM,UB,42.98709,-70.61557,
31,21G32,Dorm 2-3,2AE,UB,42.98704,-70.61419,
32,21G33,Broad to incinerator,2V2,UB,42.98908,-70.6133,
33,21G34,Trail to Gerry's bench,9JM / 4Z8,UB,42.98877,-70.61159,
34,21G35,Gerry's bench,4F4,2JN,42.98890,-70.61130,
35,21G36,Gerry's,2M5,UB,42.9886,-70.611,*not in database
36,21G37,Gerry's,0HY,0JM,42.98860,-70.61116,
37,21G38,Gerry's,4HE,3JN,42.98859,-70.61088,
38,21G39,Incinerator,2P3,1JN,42.98887,-70.61234,
39,21G40,Paint Shed,0EU,UB,42.98877,-70.61529,
40,21G41,HTP/Tide Pool,0P3,5FE,42.98858,-70.61542,*not 0ER
41,21G43,HTP,0KH / 6AC,3K6,42.9885,-70.61562,
42,21G44,HTP,0N7,5JN,42.98846,-70.61577,
43,21G45,HTP,5HE,6JN,42.98845,-70.61569,
44,21G46,Celia's,0AU,UB,42.98936,-70.61581,
45,21G47,SP beach,1T9,UB,42.991,-70.61675,*nest record not in database [+ all below]
46,21G49,SP beach,3T0,7JP,42.99104,-70.61669,
47,21G50,SP beach,4JN,UB,42.99054,-70.61681,
48,21G51,Sunset,4ER,9HU,42.98692,-70.6159,
49,21G52,Sunset,4Z9,5HU,42.98695,-70.61596,
50,21G53,Sunset,5T9,UB,42.98685,-70.61602,
51,21G54,Sunset,4EC,UB,42.98686,-70.61597,
52,21G55,Sunset,1R4,UB,42.98697,-70.61585,had a nest ID; need to check
53,21G56,Dorm 2,1 A M,2JR,42.98729,-70.61396,
54,21G57,Trail to FMS 15,1HA,,42.98960,-70.61326,
55,21G58,Norwegian,9 E 0,,42.99005,-70.61317,
56,21G59,Norwegian,1HZ,,42.99017,-70.61310,
57,21G60,Norwegian,6K9,,42.99040,-70.61316,
58,21G61,FMS 15,7HA,Fed,42.99073,-70.61310,
59,21G62,FMS 15,2HY,,42.99078,-70.61306,
60,21G63,FMS 15,2U2,,42.99139,-70.61300,
61,21G64,Siren's,9AL,,42.99179,-70.61316,
62,21G65,Siren's,7HY,,42.99187,-70.61341,
63,21G66,Siren's,7HZ,,42.99190,-70.61350,
64,21G67,Siren's,7EA,,42.99165,-70.61351,
65,21G68,Siren's,4M3,,42.99191,-70.61360,
66,21G69,Siren's,5EF,,42.99196,-70.61361,
67,21G70,Norwegian,5R8,,42.98979,-70.61316,
68,21G71,Grass Lab,7JN,UB,42.98903,-70.6157,
69,21G72,Kiggins leach,6N2,,42.98793,-70.61361,
70,21G73,Celia's (rocks),8X2,UB,42.98996,-70.61597,
71,21G74,Road to SP,8FF,UB,42.98961,-70.6168,
72,21G75,Road to SP,1FM,,42.98987,-70.61685,
73,21G76,SP beach,0KK / 9M4,,42.99095,-70.61671,
74,21G77,,,,,,check Sarah's notes
75,21G78,,,,,,check Sarah's notes
76,21G79,,,,,,check Sarah's notes
77,21G80,,,,,,check Sarah's notes
78,21G81,,,,,,check Sarah's notes
79,21G82,,,,,,check Sarah's notes
80,21G83,,,,,,check Sarah's notes
81,21G84,,,,,,check Sarah's notes
82,21G85,,,,,,check Sarah's notes
83,21G86,,,,,,check Sarah's notes
84,21G87,dock,9EH,5HC,42.98708,-70.61691,
85,21G88,,,,,,check Sarah's notes
86,21G89,dock,2U0,,42.98719,-70.61701,G88 or G89? check Sarah's notes * check coords w/ '23
87,21G90,HTP,4X5,UB,42.98836,-70.6158,
88,21G91,HTP,0EK,UB,42.98844,-70.61568,
89,21G92,trail to Gerry's,4FV,,42.98843,-70.61197,
90,21G93,dock,2Z2,,42.98722,-70.61693,
91,21G94,,,,,,check Sarah's notes
92,21G95,,,,,,check Sarah's notes
93,21G96,,,,,,check Sarah's notes
94,21G97,,,,,,check Sarah's notes
95,21G98,,,,,,check Sarah's notes
96,21G99,,,,,,check Sarah's notes
97,21G100,DDF,3HZ,,42.99181,-70.61497,
98,21G101,Larus,6HZ,UB,42.99187,-70.61585,
99,21G102,Larus,6F3,UB,42.99142,-70.61646,
100,21G103,HTP,2FL,UB,42.98839,-70.6157,
,,,,,,,
101,21GZZ,Gerry's,0JP,,42.98887,-70.6115,had a nest ID? need to check or assign one
