NestNum,Location,NestID,M#1,M#2,Lat,Lon,Notes
1,Kiggins leach,23G33,6N2,UB,42.98793,-70.61367,
2,Dorm 1--Bartels,23G34,0EE,7KE,42.98741,-70.61376,
3,Bartels--bench,23G71,3Z5,5FV,42.98861,-70.61175,
4,Bartels--bench,23G84,4FV,,42.98843,-70.61197,
5,bench (Gerry's)--incinerator,23G63,3Y3,UB,42.98886,-70.61165,
6,Gerry's,23G65,4JV,,42.98887,-70.61136,
7,Gerry's,23G66,3JV,7KK,42.98883,-70.61132,
8,Gerry's,23G68,2EF,,42.98882,-70.61113,
9,Gerry's,23G69,0JM,,42.98860,-70.61116,
10,Gerry's,23G70,8JU,,42.98874,-70.61099,
11,Gerry's,23G80,6KK,UB,42.98878,-70.61147,
12,Gerry's,23G81,3AN,,42.98893,-70.61103,
13,Gerry's,23G82,8KK,,42.98867,-70.61107,
14,Gerry's,23G83,9JU,,42.98877,-70.61098,
15,Gerry's,23G99,4F4,,42.98890,-70.61130,
16,Gerry's,23G100,1JV,,42.98870,-70.61097,
17,Gerry's,23G101,8R0,3Y5,42.98865,-70.61076,presumed pair based on history
18,Gerry's,23G102,3JN,,42.98859,-70.61088,
19,stone bridge,23G103,6J3,UB,42.98838,-70.61083,
20,FMS 22,23G104,9HY,,42.98778,-70.61051,
21,Halftide,23G112,6FM,UB,42.98550,-70.61219,
22,Crystal Lake,23G111,9Z2,UB,42.98636,-70.61420,
23,Dorm 2,23G47,2JR,UB,42.98711,-70.61398,
24,Dorm 2-3,23G113,2017-25458,UB,42.98704,-70.61414,2017-25458 was 0FR
25,PK,23G110,3EC?,UB,42.98709,-70.61557,unsure if right individual
26,radio tower,23G13,7AV,,42.98719,-70.61532,
27,Sunset,23G14,0U4,UB,42.98696,-70.61580,
28,Sunset,23G15,2 E 2,,42.98697,-70.61585,
29,Sunset,23G16,7KH / 3FR,UB,42.98697,-70.61585,
30,Sunset,23G17,4Z9,4ER,42.98692,-70.61590,
31,Sunset,23G18,5KJ / 2AK,,42.98695,-70.61596,
32,Sunset,23G19,4EC,UB,42.98686,-70.61597,
33,Sunset,23G20,5T9,UB,42.98685,-70.61602,
34,FMS 27,23G108,5M4,,42.98604,-70.61821,
35,FMS 27,23G109,7KJ,UB,42.98601,-70.61824,
36,FMS 28,23G37,1T4,UB,42.98633,-70.61823,
37,FMS 28,23G38,7C5,UB,42.98625,-70.61824,
38,FMS 28,23G39,0Y4,UB,42.98630,-70.61811,
39,FMS 28,23G40,6KJ,UB,42.98619,-70.61819,
40,FMS 28,23G126,2Z1,UB,42.98626,-70.61812,
41,dock,23G10,9JP,6KH,42.98725,-70.61649,
42,dock,23G11,9EH,UB,42.98708,-70.61691,
43,dock,23G12,2U0,3ET,42.98719,-70.61701,
44,dock,23G86,0AX,,42.98727,-70.61689,
45,dock,23G87,5EC,,42.98718,-70.61702,
46,HTP--dock,23G09,7F9,3P2,42.98772,-70.61579,
47,HTP,23G04,0KH / 6AC,1KH,42.98846,-70.61575,
48,HTP,23G05,2KH / 0X5,4Z1,42.98820,-70.61577,
49,HTP,23G06,3KH / 8C7,4KH / 8JN,42.98819,-70.61578,
50,HTP,23G24,0EK,UB,42.98844,-70.61568,
51,HTP,23G25,2FL,5KH,42.98819,-70.61582,
52,HTP,23G26,4X5,4X6,42.98836,-70.61580,
53,HTP,23G27,5KK / 3EH,9JN,42.98817,-70.61581,
54,HTP,23G28,4FN,UB,42.98825,-70.61592,
55,HTP,23G29,6JN,8KE,42.98837,-70.61593,
56,HTP,23G45,0FX,UB,42.98838,-70.61588,
