Band,NestID21,NestID22,NestID23,NestID24,Location24,Lat24,Lon24,Clutch24,Age,Sex,Reason,BandedYear,BandedAge,BandedLocation,LocMatch?,BandedLat,BandedLong,Parents / Family,NDD
1FY,NA,NA,NA,24G62,Gerry's,42.98882,-70.61134,NA,6,NA,NA,2018,chick,HTP,NA,42.98835,-70.6159,0X5[2KH]'s child!,509.0558671381515
5FE,21G41,22G110,23G03,24G01,HTP--Paint Shed,42.9886,-70.61537,NA,7,F,morphological,2017,chick,dock,NA,42.98715,-70.6171,5EC + 5ET (17G63),200.35516089929018
7FL,NA,22G139,23G127,24G32,Sandpiper,42.99053,-70.61677,NA,7,NA,NA,2017,chick,Sandpiper,NA,42.99073,-70.6168,7EE[0KT] + 5F6 (17G107),8.13192860908311
4FN,NA,NA,23G28,24G10,HTP rock wall,42.9882,-70.61584,NA,7,NA,NA,2017,chick,HTP,NA,42.98823,-70.6158,8C7 + 7U5 (17G10),4.599175659501308
7KH / 3FR,NA,NA,23G16,24G11,Sunset,42.98699,-70.61582,NA,7,NA,NA,2017,chick,Dorm 3,NA,42.98752,-70.6137,NA,237.34188595682815
9FR,NA,NA,NA,24G33,Sandpiper,42.99074,-70.61668,NA,7,NA,NA,2017,chick,Sunset,NA,42.98697,-70.6158,NA,170.75364024468624
0FZ,NA,NA,23G106,24G30,Dorm 2,42.98711,-70.61398,NA,7,NA,NA,2017,chick,incinerator,NA,42.98885,-70.6123,2P3 (17G101),198.22069731295548
8KT / 2017-25428,NA,NA,23G54,24G35,Sandpiper,42.99058,-70.61674,NA,7,NA,NA,2017,chick,Sandpiper,NA,42.99067,-70.6167,3EE + 4EE (17G106),5.571258148670077
5KK / 3EH,21G19,22G127,23G27,24G25,HTP--dock,42.98809,-70.61583,NA,8,NA,NA,2016,chick,HTP,NA,42.98801,-70.6158,3P2 + 1R0 (16G4),4.471230692196275
4X6,NA,22G73,23G26,24G05,HTP,42.98839,-70.61578,NA,11,NA,NA,2013,chick,HTP,NA,42.98815,-70.6158,(13G301),9.169474810410179
8JF,NA,NA,NA,24G68,Gerry's,42.98848,-70.61112,NA,5,NA,NA,2019,chick,stone bench,NA,42.98856,-70.6113,NA,20.300276298236724
0FX,NA,NA,23G45,24G06,HTP,42.98842,-70.61581,NA,6,NA,NA,2018,chick,HTP,NA,42.98835,-70.6159,0X5 + 7FV (18G34),10.37092792795799
1HR,NA,NA,NA,24G54,Bartels--bench,42.98843,-70.61205,NA,6,NA,NA,2018,chick,Bartels,NA,42.98714,-70.6134,NA,158.0254657126223
0HX / 5J1,21G11,22G114,23G60,24G39,FMS 4,42.98904,-70.61601,NA,11,NA,NA,2013,chick,FMS 4,NA,42.98913,-70.6162,4K9 (13G42),21.459001203565204
4X5,21G90,22G73,23G26,24G05,HTP,42.98839,-70.61578,NA,11,NA,NA,2013,chick,HTP,NA,42.98848,-70.6156,2R5 (13G30),20.357610101012146
5R6,NA,22G80,23G31,24G73,Broad N,42.98941,-70.61357,NA,13,NA,NA,2011,chick,Broad,NA,42.98909,-70.6133,4A8 + 0E0 (11G41),32.37436465799163
4FE,NA,22G69,NA,24G18,dock,42.98718,-70.617,NA,7,NA,NA,2017,chick,dock,NA,42.98733,-70.6168,4M9 (17G13),22.995808943287255
8FF,21G74,22G85,23G48,24G26,trail--SP,42.98954,-70.61687,NA,7,NA,NA,2017,chick,Sandpiper,NA,42.98979,-70.617,2M8 + 6EL (17G39),17.210092666090343
0FJ,NA,22G119,NA,24G58,DDF,42.99155,-70.61486,NA,7,NA,NA,2017,chick,DDF,NA,42.99158,-70.615,3T1 + 4M0 (17G40),15.659274712699728
5AT,NA,22G123,23G85,24G74,Ross's Pole Barn,42.98963,-70.61458,NA,8,NA,NA,2016,chick,Kiggins,NA,42.98798,-70.6139,8K6 (16G46); sib 9EJ,97.44307742900351
0EK,21G91,22G75,23G24,24G03,HTP,42.98846,-70.61567,NA,8,NA,NA,2016,chick,HTP,NA,42.98856,-70.6155,3P3 + 2P2 (16G21),19.325484618996235
