Band,NestID21,NestID22,NestID23,NestID24,Location24,Lat24,Lon24,Clutch24,Age,Sex,Reason,BandedYear,BandedAge,BandedLocation,LocMatch?,BandedLat,BandedLong,Parents / Family
8JF,,,,24G68,Gerry's,42.98848,-70.61112,,5,,,2019,chick,stone bench,,42.98856,-70.6113,
0FX,,,23G45,24G06,HTP,42.98842,-70.61581,,6,,,2018,chick,HTP,,42.98835,-70.6159,0X5 + 7FV (18G34)
1FY,,,,24G62,Gerry's,42.98882,-70.61134,,6,,,2018,chick,HTP,,42.98835,-70.6159,0X5[2KH]'s child!
1HR,,,,24G54,Bartels--bench,42.98843,-70.61205,,6,,,2018,chick,Bartels,,42.98714,-70.6134,
0FA,,,23G94,24G82,Norwegian,42.99018,-70.61314,,7,,,2017,chick,Norwegian,TRUE,,,
4FE,,22G69,,24G18,dock,42.98718,-70.617,,7,,,2017,chick,dock,,42.98733,-70.6168,4M9 (17G13)
5FE,21G41,22G110,23G03,24G01,HTP--Paint Shed,42.9886,-70.61537,,7,F,morphological,2017,chick,dock,,42.98715,-70.6171,5EC + 5ET (17G63)
8FF,21G74,22G85,23G48,24G26,trail--SP,42.98954,-70.61687,,7,,,2017,chick,Sandpiper,,42.98979,-70.617,2M8 + 6EL (17G39)
0FJ,,22G119,,24G58,DDF,42.99155,-70.61486,,7,,,2017,chick,DDF,,42.99158,-70.615,3T1 + 4M0 (17G40)
2FL,21GYY,22G74,23G25,24G04,HTP,42.98842,-70.61573,,7,M,"database, beh",2017,chick,HTP,TRUE,,,3M8 (17G09)
7FL,,22G139,23G127,24G32,Sandpiper,42.99053,-70.61677,,7,,,2017,chick,Sandpiper,,42.99073,-70.6168,7EE[0KT] + 5F6 (17G107)
0FM,,22G154,23G57,24G40,Larus,42.99122,-70.61653,,7,,,2017,chick,Larus,TRUE,,,
3FM,,22G151,23G89,24G87,FMS 14,42.9916,-70.61304,,7,,,2017,chick,Sandpiper,FALSE,,,--
7FM,,,23G59,24G41,Larus,42.99121,-70.61655,,7,,,2017,chick,Larus,TRUE,,,
4FN,,,23G28,24G10,HTP rock wall,42.9882,-70.61584,,7,,,2017,chick,HTP,,42.98823,-70.6158,8C7 + 7U5 (17G10)
7KH / 3FR,,,23G16,24G11,Sunset,42.98699,-70.61582,,7,,,2017,chick,Dorm 3,,42.98752,-70.6137,
9FR,,,,24G33,Sandpiper,42.99074,-70.61668,,7,,,2017,chick,Sunset,,42.98697,-70.6158,
0FZ,,,23G106,24G30,Dorm 2,42.98711,-70.61398,,7,,,2017,chick,incinerator,,42.98885,-70.6123,2P3 (17G101)
8KT / 2017-25428,,,23G54,24G35,Sandpiper,42.99058,-70.61674,,7,,,2017,chick,Sandpiper,,42.99067,-70.6167,3EE + 4EE (17G106)
5AT,,22G123,23G85,24G74,Ross's Pole Barn,42.98963,-70.61458,,8,,,2016,chick,Kiggins,,42.98798,-70.6139,8K6 (16G46); sib 9EJ
7AT,,22G92,,24G88,Siren's,42.9919,-70.61339,,8,,,2016,chick,Siren's,,42.99194,-70.6132,(16G30)
5KK / 3EH,21G19,22G127,23G27,24G25,HTP--dock,42.98809,-70.61583,,8,,,2016,chick,HTP,,42.98801,-70.6158,3P2 + 1R0 (16G4)
0EK,21G91,22G75,23G24,24G03,HTP,42.98846,-70.61567,,8,,,2016,chick,HTP,,42.98856,-70.6155,3P3 + 2P2 (16G21)
5EV,,,,24G86,FMS 14,42.99115,-70.61286,,8,,,2016,chick,Norwegian,,42.99108,-70.6125,
0AA,,22G138,,24G60,Gerry's,42.98878,-70.6111,,9,,,2015,chick,North Head,FALSE,,,
5KJ / 2AK,,22G60,23G18,24G12,Sunset,42.98694,-70.61586,,9,,,2015,chick,Sunset,TRUE,,,2E2 (begging off-island)
3Z5,,22G05,23G71,24G49,Bartels--bench,42.9886,-70.61175,,9,,,2015,chick,Larus,FALSE,,,
