Logger ID;Year;Month;Day;Hour;Minute;Second;Latitude;Longitude;Speed;Searching time;Voltage;Temperature;Altitude;Div up;Div down;No GPS - timeout;No GPS - diving;In range;Diving duration;Raw latitude;Raw Longitude;Decision voltage;Milisecond;Acc_X;Acc_Y;Acc_Z
ADI26;2018;7;27;19;22;0;42.988300;-70.615583;0.4;11;3.95;99;;;;;;;;4259298N;07036935W;;0;;;
ADI26;2018;7;27;19;37;0;42.988200;-70.615617;0.8;6;3.95;99;;;;;;;;4259292N;07036937W;;0;;;
ADI26;2018;7;27;19;53;0;42.988183;-70.615000;0.6;7;3.95;99;;;;;;;;4259291N;07036900W;;0;;;
ADI26;2018;7;27;20;8;0;42.988450;-70.615767;0.6;10;3.95;99;;;;;;;;4259307N;07036946W;;0;;;
ADI26;2018;7;27;20;23;0;42.988317;-70.615617;1.8;7;3.95;99;;;;;;;;4259299N;07036937W;;0;;;
ADI26;2018;7;27;20;38;0;42.984500;-70.610767;0.5;31;3.95;99;;;;;;;;4259070N;07036646W;;0;;;
ADI26;2018;7;27;20;53;0;42.984850;-70.611767;1.4;3;3.95;99;;;;;;;;4259091N;07036706W;;0;;;
ADI26;2018;7;27;21;9;0;42.984750;-70.611750;0.1;14;3.94;99;;;;;;;;4259085N;07036705W;;0;;;
ADI26;2018;7;27;21;24;0;42.984783;-70.611800;0.5;6;3.95;99;;;;;;;;4259087N;07036708W;;0;;;
ADI26;2018;7;27;21;39;0;42.984767;-70.611733;0.0;7;3.95;99;;;;;;;;4259086N;07036704W;;0;;;
ADI26;2018;7;27;21;54;0;42.984633;-70.611850;0.2;12;3.94;99;;;;;;;;4259078N;07036711W;;0;;;
ADI26;2018;7;27;22;9;0;42.983967;-70.612050;0.4;13;3.94;99;;;;;;;;4259038N;07036723W;;0;;;
ADI26;2018;7;27;22;24;0;42.984283;-70.611867;0.1;9;3.94;99;;;;;;;;4259057N;07036712W;;0;;;
ADI26;2018;7;27;22;39;0;42.983983;-70.612000;0.4;7;3.94;99;;;;;;;;4259039N;07036720W;;0;;;
ADI26;2018;7;27;22;55;0;42.984233;-70.611600;0.1;11;3.94;99;;;;;;;;4259054N;07036696W;;0;;;
ADI26;2018;7;27;23;10;0;42.988183;-70.614617;0.9;9;3.94;99;;;;;;;;4259291N;07036877W;;0;;;
ADI26;2018;7;27;23;25;0;42.988350;-70.614117;0.2;12;3.94;99;;;;;;;;4259301N;07036847W;;0;;;
ADI26;2018;7;27;23;40;0;42.987967;-70.614267;0.1;9;3.94;99;;;;;;;;4259278N;07036856W;;0;;;
ADI26;2018;7;27;23;55;0;42.988000;-70.614450;0.5;12;3.94;99;;;;;;;;4259280N;07036867W;;0;;;
ADI26;2018;7;28;0;10;0;42.988100;-70.614783;0.4;11;3.94;99;;;;;;;;4259286N;07036887W;;0;;;
ADI26;2018;7;28;0;26;0;42.988183;-70.614567;0.1;15;3.94;99;;;;;;;;4259291N;07036874W;;0;;;
ADI26;2018;7;28;0;41;0;42.987850;-70.614167;0.3;11;3.94;99;;;;;;;;4259271N;07036850W;;0;;;
ADI26;2018;7;28;0;56;0;43.003733;-70.599583;0.2;5;3.94;99;;;;;;;;4300224N;07035975W;;0;;;
ADI26;2018;7;28;1;11;0;43.003783;-70.599517;0.1;11;3.94;99;;;;;;;;4300227N;07035971W;;0;;;
ADI26;2018;7;28;1;26;0;43.003250;-70.599750;0.1;8;3.94;99;;;;;;;;4300195N;07035985W;;0;;;
ADI26;2018;7;28;1;41;0;43.003467;-70.599717;0.2;6;3.93;99;;;;;;;;4300208N;07035983W;;0;;;
ADI26;2018;7;28;1;56;0;43.003633;-70.599683;0.5;8;3.94;99;;;;;;;;4300218N;07035981W;;0;;;
ADI26;2018;7;28;2;12;0;43.003800;-70.599767;0.9;31;3.93;99;;;;;;;;4300228N;07035986W;;0;;;
ADI26;2018;7;28;2;27;0;43.003800;-70.599717;0.4;12;3.93;99;;;;;;;;4300228N;07035983W;;0;;;
ADI26;2018;7;28;2;42;0;43.003717;-70.599633;0.2;9;3.93;99;;;;;;;;4300223N;07035978W;;0;;;
ADI26;2018;7;28;2;57;0;43.003600;-70.599500;0.5;10;3.93;99;;;;;;;;4300216N;07035970W;;0;;;
ADI26;2018;7;28;3;13;0;43.003683;-70.599600;0.1;8;3.93;99;;;;;;;;4300221N;07035976W;;0;;;
ADI26;2018;7;28;3;28;0;43.003833;-70.599717;0.5;5;3.93;99;;;;;;;;4300230N;07035983W;;0;;;
ADI26;2018;7;28;3;43;0;43.003850;-70.599550;0.5;5;3.93;99;;;;;;;;4300231N;07035973W;;0;;;
ADI26;2018;7;28;3;58;0;43.003917;-70.599667;0.3;6;3.93;99;;;;;;;;4300235N;07035980W;;0;;;
ADI26;2018;7;28;4;13;0;43.003950;-70.600483;0.5;10;3.93;99;;;;;;;;4300237N;07036029W;;0;;;
ADI26;2018;7;28;4;28;0;43.003900;-70.599967;0.9;6;3.93;99;;;;;;;;4300234N;07035998W;;0;;;
ADI26;2018;7;28;4;43;0;43.003933;-70.599883;0.8;5;3.93;99;;;;;;;;4300236N;07035993W;;0;;;
ADI26;2018;7;28;4;58;0;43.003800;-70.600217;0.1;6;3.93;99;;;;;;;;4300228N;07036013W;;0;;;
ADI26;2018;7;28;5;13;0;43.003500;-70.600367;0.1;7;3.93;99;;;;;;;;4300210N;07036022W;;0;;;
