Logger ID;Year;Month;Day;Hour;Minute;Second;Latitude;Longitude;Speed;Searching time;Voltage;Temperature;Altitude;Div up;Div down;No GPS - timeout;No GPS - diving;In range;Diving duration;Raw latitude;Raw Longitude;Decision voltage;Milisecond;Acc_X;Acc_Y;Acc_Z
ADI30;2019;6;24;13;40;0;42.776617;-70.791533;25.;;3.52;99;;;;;;;;4246597N;07047492W;;0;;;
ADI30;2019;6;24;13;40;0;42.776417;-70.791317;26.;;3.52;99;;;;;;;;4246585N;07047479W;;0;;;
ADI30;2019;6;24;13;40;0;42.776917;-70.792017;24.;;3.52;99;;;;;;;;4246615N;07047521W;;0;;;
ADI30;2019;6;24;13;40;0;42.777217;-70.792667;24.;;3.53;99;;;;;;;;4246633N;07047560W;;0;;;
ADI30;2019;6;24;13;40;0;42.777033;-70.792283;23.;;3.53;99;;;;;;;;4246622N;07047537W;;0;;;
ADI30;2019;6;24;13;41;0;42.773050;-70.787667;28.;;3.51;99;;;;;;;;4246383N;07047260W;;0;;;
ADI30;2019;6;24;13;41;0;42.772717;-70.787417;27.;;3.51;99;;;;;;;;4246363N;07047245W;;0;;;
ADI30;2019;6;24;13;41;0;42.773417;-70.787833;28.;;3.51;99;;;;;;;;4246405N;07047270W;;0;;;
ADI30;2019;6;24;13;41;0;42.774100;-70.787817;29.;;3.52;99;;;;;;;;4246446N;07047269W;;0;;;
ADI30;2019;6;24;13;41;0;42.773817;-70.787867;29.;;3.51;99;;;;;;;;4246429N;07047272W;;0;;;
ADI30;2019;6;24;13;41;0;42.772500;-70.787233;27.;;3.51;99;;;;;;;;4246350N;07047234W;;0;;;
ADI30;2019;6;24;13;41;0;42.771167;-70.786600;27.;;3.51;99;;;;;;;;4246270N;07047196W;;0;;;
ADI30;2019;6;24;13;41;0;42.770800;-70.786733;28.;;3.51;99;;;;;;;;4246248N;07047204W;;0;;;
ADI30;2019;6;24;13;41;0;42.771533;-70.786733;28.;;3.51;99;;;;;;;;4246292N;07047204W;;0;;;
ADI30;2019;6;24;13;41;0;42.772150;-70.787033;27.;;3.51;99;;;;;;;;4246329N;07047222W;;0;;;
ADI30;2019;6;24;13;41;0;42.771783;-70.786850;28.;;3.51;99;;;;;;;;4246307N;07047211W;;0;;;
ADI30;2019;6;24;13;41;0;42.775500;-70.790117;24.;;3.52;99;;;;;;;;4246530N;07047407W;;0;;;
