birdID,nestID,obs_date,hatch1_date,days_pre_hatch,response,latency
4ET,18G01,5/29/18,6/9/18,11,6,9
5R7,18G109,5/29/18,6/15/18,17,7,22
9FU,18G35,5/29/18,6/13/18,15,8,66.85
4EE,18G12,5/29/18,6/15/18,17,7,34.33
7E6,18G21,5/29/18,6/10/18,12,4,5.94
3AC,18G59,5/29/18,6/9/18,11,7,18.21
8FU,18G63,5/29/18,NA,#VALUE!,6,18
5FV,18G68,5/29/18,6/7/18,9,7,36.59
4FV,18G64,5/29/18,NA,#VALUE!,7,33.38
6P7,18G99,5/29/18,6/20/18,22,4,1.23
5HC,18G44,5/29/18,6/20/18,22,5,28
6FU,18G40,5/29/18,6/3/18,5,7,19
7FV,18G34,5/29/18,6/18/18,20,7,18
5HE,18G93,5/29/18,6/7/18,9,7,49
9P3,18G38,5/30/18,6/6/18,7,4,6.88
3T3,18G02,5/30/18,6/15/18,16,7,16.32
4AC,18G58,5/30/18,6/10/18,11,7,16.68
1HA,18G76,5/30/18,6/18/18,19,6,26.64
7FU,18G62,5/30/18,6/12/18,13,8,22.27
3FV,18G57,5/30/18,NA,#VALUE!,8,29.32
4ER,18G50,5/30/18,6/7/18,8,5,12.1
0V7,18G46,5/30/18,6/9/18,10,5,7.43
2U0,18G45,5/30/18,6/18/18,19,7,13.28
6FV,18G103,5/30/18,6/18/18,19,6,51.01
1V2,18G77,5/31/18,6/6/18,6,6,8.47
4HA,18G36,5/31/18,6/15/18,15,7,33.16
3HE,18G21,5/31/18,6/10/18,10,7,11.33
2Z5,18G05,6/1/18,6/15/18,14,4,3.28
7HA,18G75,6/1/18,6/10/18,9,7,204.44
9P3,18G38,6/3/18,6/6/18,3,4,9.96
4ET,18G01,6/3/18,6/9/18,6,4,5.79
3T3,18G02,6/3/18,6/15/18,12,7,14.37
5R7,18G109,6/3/18,6/15/18,12,6,13.04
2Z5,18G05,6/3/18,6/15/18,12,4,6.31
4EE,18G12,6/3/18,6/15/18,12,7,22.82
7E6,18G21,6/3/18,6/10/18,7,5,7.25
3AC,18G59,6/3/18,6/9/18,6,7,19.9
4AC,18G58,6/3/18,6/10/18,7,7,14.26
1HA,18G76,6/3/18,6/18/18,15,6,251
7HA,18G75,6/3/18,6/10/18,7,7,51.4
8FU,18G63,6/3/18,NA,#VALUE!,7,14.31
7FU,18G62,6/3/18,6/12/18,9,8,2.13
5FV,18G68,6/3/18,6/7/18,4,8,108.1
3FV,18G57,6/3/18,NA,#VALUE!,4,3.55
6P7,18G99,6/3/18,6/20/18,17,5,4.64
4ER,18G50,6/3/18,6/7/18,4,4,14.22
0V7,18G46,6/3/18,6/9/18,6,5,7.57
2U0,18G45,6/3/18,6/18/18,15,7,34.63
5HC,18G44,6/3/18,6/20/18,17,5,9.46
1V2,18G77,6/3/18,6/6/18,3,6,7.16
7FV,18G34,6/3/18,6/18/18,15,5,11.81
5HE,18G93,6/3/18,6/7/18,4,6,180
6FV,18G103,6/3/18,6/18/18,15,7,10.68
9FU,18G35,6/5/18,6/13/18,8,6,180
4FV,18G64,6/5/18,NA,#VALUE!,8,20.36
4HA,18G36,6/5/18,6/15/18,10,7,12.53
3HE,18G21,6/5/18,6/10/18,5,6,3.84
9P3,18G38,6/8/18,6/6/18,-2,4,6.85
4ET,18G01,6/8/18,6/9/18,1,8,14.76
3T3,18G02,6/8/18,6/15/18,7,7,29.79
5R7,18G109,6/8/18,6/15/18,7,7,25.52
2Z5,18G05,6/8/18,6/15/18,7,4,4
4EE,18G12,6/8/18,6/15/18,7,7,140.28
7E6,18G21,6/8/18,6/10/18,2,5,7.06
7HA,18G75,6/8/18,6/10/18,2,7,67.43
8FU,18G63,6/8/18,NA,#VALUE!,7,77.06
7FU,18G62,6/8/18,6/12/18,4,5,19.91
4FV,18G64,6/8/18,NA,#VALUE!,7,79.65
6P7,18G99,6/8/18,6/20/18,12,5,7.06
4ER,18G50,6/8/18,6/7/18,-1,6,23.44
2U0,18G45,6/8/18,6/18/18,10,6,33.68
5HC,18G44,6/8/18,6/20/18,12,6,25.93
6FV,18G103,6/8/18,6/18/18,10,6,28.78
4HA,18G36,6/8/18,6/15/18,7,7,74.18
7FV,18G34,6/9/18,6/18/18,9,5,1.53
5HE,18G93,6/9/18,6/7/18,-2,7,22.67
3T3,18G02,6/13/18,6/15/18,2,6,10
5R7,18G109,6/13/18,6/15/18,2,8,105.01
2Z5,18G05,6/13/18,6/15/18,2,4,5.87
4EE,18G12,6/13/18,6/15/18,2,7,63.12
7HA,18G75,6/13/18,6/10/18,-3,7,180
7FU,18G62,6/13/18,6/12/18,-1,7,24.78
4FV,18G64,6/13/18,NA,#VALUE!,7,66.67
6P7,18G99,6/13/18,6/20/18,7,4,4.16
5HC,18G44,6/13/18,6/20/18,7,5,4.85
7FV,18G34,6/13/18,6/18/18,5,6,38.02
6FV,18G103,6/13/18,6/18/18,5,6,12.81
2U0,18G45,6/18/18,6/18/18,0,6,21.55
3T3,18G02,6/18/18,6/15/18,-3,6,26.48
5R7,18G109,6/18/18,6/15/18,-3,7,134
4FV,18G64,6/18/18,NA,#VALUE!,6,126.12
6P7,18G99,6/18/18,6/20/18,2,4,6.46
7FV,18G34,6/18/18,6/18/18,0,6,15.58
