year,nestID,birdID,sex,sex_method,location,location_cat,egg_num,obs_num,obs_date,obs_date_cal,hatch1_date,hatch1_cal,days_pre_hatch,response,latency,mate_present,notes
2018,18G46,0V7,,,dock --> Laight,campus,3,1,5/30/18,150,6/9/18,160,10,5,7.43,,
2018,18G46,0V7,,,dock --> Laight,campus,3,2,6/3/18,154,6/9/18,160,6,5,7.57,,
2018,18G76,1HA,,,Broad,loose subcolony,3,1,5/30/18,150,6/18/18,169,19,6,26.64,,
2018,18G76,1HA,,,Broad,loose subcolony,3,2,6/3/18,154,6/18/18,169,15,6,251,,
2018,18G77,1V2,,,FMS 13,loose subcolony,3,1,5/31/18,151,6/6/18,157,6,6,8.47,,
2018,18G77,1V2,,,FMS 13,loose subcolony,3,2,6/3/18,154,6/6/18,157,3,6,7.16,,
2018,18G45,2U0,,,dock,campus,3,1,5/30/18,150,6/18/18,169,19,7,13.28,,
2018,18G45,2U0,,,dock,campus,3,2,6/3/18,154,6/18/18,169,15,7,34.63,,
2018,18G45,2U0,,,dock,campus,3,3,6/8/18,159,6/18/18,169,10,6,33.68,,
2018,18G45,2U0,,,dock,campus,3,4,6/18/18,169,6/18/18,169,0,6,21.55,,
2018,18G05,2Z5,,,FMS 5,loose subcolony,3,1,6/1/18,152,6/15/18,166,14,4,3.28,,
2018,18G05,2Z5,,,FMS 5,loose subcolony,3,2,6/3/18,154,6/15/18,166,12,4,6.31,,
2018,18G05,2Z5,,,FMS 5,loose subcolony,3,3,6/8/18,159,6/15/18,166,7,4,4,,
2018,18G05,2Z5,,,FMS 5,loose subcolony,3,4,6/13/18,164,6/15/18,166,2,4,5.87,,
2018,18G59,3AC,,,Broad,loose subcolony,3,1,5/29/18,149,6/9/18,160,11,7,18.21,,
2018,18G59,3AC,,,Broad,loose subcolony,3,2,6/3/18,154,6/9/18,160,6,7,19.9,,
2018,18G57,3FV / 4P9,M,g,Bartels,campus,3,1,5/30/18,150,NA,,,8,29.32,,
2018,18G57,3FV / 4P9,M,g,Bartels,campus,3,2,6/3/18,154,NA,,,4,3.55,,
2018,18G21,3HE,,,GL --> DDF,loose subcolony,3,1,5/31/18,151,6/10/18,161,10,7,11.33,,
2018,18G21,3HE,,,GL --> DDF,loose subcolony,3,2,6/5/18,156,6/10/18,161,5,6,3.84,,
2018,18G02,3T3,,,Grass Lab,campus,3,1,5/30/18,150,6/15/18,166,16,7,16.32,,
2018,18G02,3T3,,,Grass Lab,campus,3,2,6/3/18,154,6/15/18,166,12,7,14.37,,
2018,18G02,3T3,,,Grass Lab,campus,3,3,6/8/18,159,6/15/18,166,7,7,29.79,,
2018,18G02,3T3,,,Grass Lab,campus,3,4,6/13/18,164,6/15/18,166,2,6,10,,
2018,18G02,3T3,,,Grass Lab,campus,3,5,6/18/18,169,6/15/18,166,-3,6,26.48,,
2018,18G58,4AC,,,Broad,loose subcolony,3,1,5/30/18,150,6/10/18,161,11,7,16.68,,
2018,18G58,4AC,,,Broad,loose subcolony,3,2,6/3/18,154,6/10/18,161,7,7,14.26,,
2018,18G12,4EE,,,Sandpiper,dense subcolony,3,1,5/29/18,149,6/15/18,166,17,7,34.33,,
2018,18G12,4EE,,,Sandpiper,dense subcolony,3,2,6/3/18,154,6/15/18,166,12,7,22.82,,
2018,18G12,4EE,,,Sandpiper,dense subcolony,3,3,6/8/18,159,6/15/18,166,7,7,140.28,,
2018,18G12,4EE,,,Sandpiper,dense subcolony,3,4,6/13/18,164,6/15/18,166,2,7,63.12,,
2018,18G50,4ER,,,Sunset,dense subcolony,3,1,5/30/18,150,6/7/18,158,8,5,12.1,,
2018,18G50,4ER,,,Sunset,dense subcolony,3,2,6/3/18,154,6/7/18,158,4,4,14.22,,
2018,18G50,4ER,,,Sunset,dense subcolony,3,3,6/8/18,159,6/7/18,158,-1,6,23.44,,
2018,18G01,4ET,,,Dive Locker,campus,3,1,5/29/18,149,6/9/18,160,11,6,9,,
2018,18G01,4ET,,,Dive Locker,campus,3,2,6/3/18,154,6/9/18,160,6,4,5.79,,
2018,18G01,4ET,,,Dive Locker,campus,3,3,6/8/18,159,6/9/18,160,1,8,14.76,,
2018,18G64,4FV,,,Bart --> bench,loose subcolony,3,1,5/29/18,149,NA,,,7,33.38,,
2018,18G64,4FV,,,Bart --> bench,loose subcolony,3,2,6/5/18,156,NA,,,8,20.36,,
2018,18G64,4FV,,,Bart --> bench,loose subcolony,3,3,6/8/18,159,NA,,,7,79.65,,
2018,18G64,4FV,,,Bart --> bench,loose subcolony,3,4,6/13/18,164,NA,,,7,66.67,,
2018,18G64,4FV,,,Bart --> bench,loose subcolony,3,5,6/18/18,169,NA,,,6,126.12,,
2018,18G36,4HA,,,Sandpiper,dense subcolony,3,1,5/31/18,151,6/15/18,166,15,7,33.16,,
2018,18G36,4HA,,,Sandpiper,dense subcolony,3,2,6/5/18,156,6/15/18,166,10,7,12.53,,
2018,18G36,4HA,,,Sandpiper,dense subcolony,3,3,6/8/18,159,6/15/18,166,7,7,74.18,,
2018,18G68,5FV,,,stone bench,dense subcolony,3,1,5/29/18,149,6/7/18,158,9,7,36.59,,
2018,18G68,5FV,,,stone bench,dense subcolony,3,2,6/3/18,154,6/7/18,158,4,8,108.1,,
2018,18G44,5HC,,,dock,campus,3,1,5/29/18,149,6/20/18,171,22,5,28,,
2018,18G44,5HC,,,dock,campus,3,2,6/3/18,154,6/20/18,171,17,5,9.46,,
2018,18G44,5HC,,,dock,campus,3,3,6/8/18,159,6/20/18,171,12,6,25.93,,
2018,18G44,5HC,,,dock,campus,3,4,6/13/18,164,6/20/18,171,7,5,4.85,,
2018,18G93,5HE,,,HTP,campus,3,1,5/29/18,149,6/7/18,158,9,7,49,,
2018,18G93,5HE,,,HTP,campus,3,2,6/3/18,154,6/7/18,158,4,6,180,,
2018,18G93,5HE,,,HTP,campus,3,3,6/9/18,160,6/7/18,158,-2,7,22.67,,
2018,18G109,5R7,M,N/A,Grass Lab,campus,3,1,5/29/18,149,6/15/18,166,17,7,22,,
2018,18G109,5R7,M,N/A,Grass Lab,campus,3,2,6/3/18,154,6/15/18,166,12,6,13.04,,
2018,18G109,5R7,M,N/A,Grass Lab,campus,3,3,6/8/18,159,6/15/18,166,7,7,25.52,,
2018,18G109,5R7,M,N/A,Grass Lab,campus,3,4,6/13/18,164,6/15/18,166,2,8,105.01,,
2018,18G109,5R7,M,N/A,Grass Lab,campus,3,5,6/18/18,169,6/15/18,166,-3,7,134,,
2018,18G40,6FU,,,FMS 28,dense subcolony,3,1,5/29/18,149,6/3/18,154,5,7,19,,
2018,18G103,6FV,,,dock --> Laight,campus,3,1,5/30/18,150,6/18/18,169,19,6,51.01,,
2018,18G103,6FV,,,dock --> Laight,campus,3,2,6/3/18,154,6/18/18,169,15,7,10.68,,
2018,18G103,6FV,,,dock --> Laight,campus,3,3,6/8/18,159,6/18/18,169,10,6,28.78,,
2018,18G103,6FV,,,dock --> Laight,campus,3,4,6/13/18,164,6/18/18,169,5,6,12.81,,
2018,18G99,6P7,M,g,Dorm 3,campus,3,1,5/29/18,149,6/20/18,171,22,4,1.23,,
2018,18G99,6P7,M,g,Dorm 3,campus,3,2,6/3/18,154,6/20/18,171,17,5,4.64,,
2018,18G99,6P7,M,g,Dorm 3,campus,3,3,6/8/18,159,6/20/18,171,12,5,7.06,,
2018,18G99,6P7,M,g,Dorm 3,campus,3,4,6/13/18,164,6/20/18,171,7,4,4.16,,
2018,18G99,6P7,M,g,Dorm 3,campus,3,5,6/18/18,169,6/20/18,171,2,4,6.46,,
2018,18G21,7 E 6,F,b/m,GL --> DDF,loose subcolony,3,1,5/29/18,149,6/10/18,161,12,4,5.94,,
2018,18G21,7 E 6,F,b/m,GL --> DDF,loose subcolony,3,2,6/3/18,154,6/10/18,161,7,5,7.25,,
2018,18G21,7 E 6,F,b/m,GL --> DDF,loose subcolony,3,3,6/8/18,159,6/10/18,161,2,5,7.06,,
2018,18G62,7FU,,,incinerator,loose subcolony,3,1,5/30/18,150,6/12/18,163,13,8,22.27,,
2018,18G62,7FU,,,incinerator,loose subcolony,3,2,6/3/18,154,6/12/18,163,9,8,2.13,,
2018,18G62,7FU,,,incinerator,loose subcolony,3,3,6/8/18,159,6/12/18,163,4,5,19.91,,
2018,18G62,7FU,,,incinerator,loose subcolony,3,4,6/13/18,164,6/12/18,163,-1,7,24.78,,
2018,18G34,7FV,,,HTP,campus,3,1,5/29/18,149,6/18/18,169,20,7,18,,
2018,18G34,7FV,,,HTP,campus,3,2,6/3/18,154,6/18/18,169,15,5,11.81,,
2018,18G34,7FV,,,HTP,campus,3,3,6/9/18,160,6/18/18,169,9,5,1.53,,
2018,18G34,7FV,,,HTP,campus,3,4,6/13/18,164,6/18/18,169,5,6,38.02,,
2018,18G34,7FV,,,HTP,campus,3,5,6/18/18,169,6/18/18,169,0,6,15.58,,
2018,18G75,7HA,,,Norwegian,dense subcolony,3,1,6/1/18,152,6/10/18,161,9,7,204.44,,
2018,18G75,7HA,,,Norwegian,dense subcolony,3,2,6/3/18,154,6/10/18,161,7,7,51.4,,
2018,18G75,7HA,,,Norwegian,dense subcolony,3,3,6/8/18,159,6/10/18,161,2,7,67.43,,
2018,18G75,7HA,,,Norwegian,dense subcolony,3,4,6/13/18,164,6/10/18,161,-3,7,180,,
2018,18G63,8FU,,,incinerator,loose subcolony,3,1,5/29/18,149,NA,,,6,18,,
2018,18G63,8FU,,,incinerator,loose subcolony,3,2,6/3/18,154,NA,,,7,14.31,,
2018,18G63,8FU,,,incinerator,loose subcolony,3,3,6/8/18,159,NA,,,7,77.06,,
2018,18G35,9FU,,,road --> SP,loose subcolony,3,1,5/29/18,149,6/13/18,164,15,8,66.85,,
2018,18G35,9FU,,,road --> SP,loose subcolony,3,2,6/5/18,156,6/13/18,164,8,6,180,,
2018,18G38,9P3,F,g,Kiggins,campus,3,1,5/30/18,150,6/6/18,157,7,4,6.88,,
2018,18G38,9P3,F,g,Kiggins,campus,3,2,6/3/18,154,6/6/18,157,3,4,9.96,,
2018,18G38,9P3,F,g,Kiggins,campus,3,3,6/8/18,159,6/6/18,157,-2,4,6.85,,
2019,19G03,0EU,M,g,Dive Locker,campus,3,1,5/29/19,149,6/9/19,160,11,5,15,,
2019,19G03,0EU,M,g,Dive Locker,campus,3,2,6/1/19,152,6/9/19,160,8,4,0,,
2019,19G03,0EU,M,g,Dive Locker,campus,3,3,6/4/19,155,6/9/19,160,5,8,43,,
2019,19G03,0EU,M,g,Dive Locker,campus,3,4,6/8/19,159,6/9/19,160,1,4,6,,
2019,19G03,0EU,M,g,Dive Locker,campus,3,5,6/12/19,163,6/9/19,160,-3,5,3,,
2019,19G58,0HU,F,m,DDF,loose subcolony,3,1,6/1/19,152,6/10/19,161,9,7,197,,
2019,19G58,0HU,F,m,DDF,loose subcolony,3,2,6/5/19,156,6/10/19,161,5,7,300,,
2019,19G58,0HU,F,m,DDF,loose subcolony,3,3,6/9/19,160,6/10/19,161,1,7,49,,
2019,19G56,0HY,,,Devil's Glen,loose subcolony,3,1,5/28/19,148,6/9/19,160,12,7,30,,
2019,19G56,0HY,,,Devil's Glen,loose subcolony,3,2,6/1/19,152,6/9/19,160,8,7,24,,
2019,19G56,0HY,,,Devil's Glen,loose subcolony,3,3,6/5/19,156,6/9/19,160,4,8,42,,
2019,19G56,0HY,,,Devil's Glen,loose subcolony,3,4,6/9/19,160,6/9/19,160,0,6,32,,
2019,19G57,0HZ,F,m,wastewater,campus,3,1,5/29/19,149,NA,,,5,82,,
2019,19G57,0HZ,F,m,wastewater,campus,3,2,6/1/19,152,NA,,,4,0,,
2019,19G57,0HZ,F,m,wastewater,campus,3,3,6/4/19,155,NA,,,5,9,,
2019,19G57,0HZ,F,m,wastewater,campus,3,4,6/8/19,159,NA,,,4,4,,
2019,19G57,0HZ,F,m,wastewater,campus,3,5,6/12/19,163,NA,,,5,12,,
2019,19G57,0HZ,F,m,wastewater,campus,3,6,6/16/19,167,NA,,,4,0,,
2019,19G57,0HZ,F,m,wastewater,campus,3,7,6/20/19,171,NA,,,5,7,,
2019,19G57,0HZ,F,m,wastewater,campus,3,8,6/24/19,175,NA,,,5,72,,
2019,19G22,0T4 / X19G22,F,N/A,PK --> Laighton,campus,3,1,5/27/19,147,6/18/19,169,22,7,300,,
2019,19G22,0T4 / X19G22,F,N/A,PK --> Laighton,campus,3,2,5/31/19,151,6/18/19,169,18,7,3,,
2019,19G22,0T4 / X19G22,F,N/A,PK --> Laighton,campus,3,3,6/4/19,155,6/18/19,169,14,5,12,,
2019,19G22,0T4 / X19G22,F,N/A,PK --> Laighton,campus,3,4,6/8/19,159,6/18/19,169,10,5,12,,
2019,19G22,0T4 / X19G22,F,N/A,PK --> Laighton,campus,3,5,6/12/19,163,6/18/19,169,6,5,13,,
2019,19G22,0T4 / X19G22,F,N/A,PK --> Laighton,campus,3,6,6/16/19,167,6/18/19,169,2,4,0,,
2019,19G22,0T4 / X19G22,F,N/A,PK --> Laighton,campus,3,7,6/20/19,171,6/18/19,169,-2,6,159,,
2019,19G10,1C3,M,b,Celia's,campus,3,1,5/27/19,147,NA,,,8,73,,
2019,19G10,1C3,M,b,Celia's,campus,3,2,6/1/19,152,NA,,,5,15,,
2019,19G10,1C3,M,b,Celia's,campus,3,3,6/5/19,156,NA,,,7,300,,
2019,19G10,1C3,M,b,Celia's,campus,3,4,6/9/19,160,NA,,,5,32,,
2019,19G50,1EA,,,Siren's,dense subcolony,3,1,6/1/19,152,6/4/19,155,3,7,124,,
2019,19G50,1EA,,,Siren's,dense subcolony,3,2,6/5/19,156,6/4/19,155,-1,7,300,,
2019,19G50,1EA,,,Siren's,dense subcolony,3,3,6/9/19,160,6/4/19,155,-5,6,18,,
2019,19G10,1HY,,,Celia's,campus,3,1,5/28/19,148,NA,,,8,254,,
2019,19G10,1HY,,,Celia's,campus,3,2,6/1/19,152,NA,,,8,135,,
2019,19G10,1HY,,,Celia's,campus,3,3,6/4/19,155,NA,,,5,5,,
2019,19G10,1HY,,,Celia's,campus,3,4,6/8/19,159,NA,,,5,3,,
2019,19G23,1K9,F,g,PK --> radar,campus,3,1,5/27/19,147,6/9/19,160,13,5,13,,
2019,19G23,1K9,F,g,PK --> radar,campus,3,2,5/31/19,151,6/9/19,160,9,8,300,,
2019,19G23,1K9,F,g,PK --> radar,campus,3,3,6/4/19,155,6/9/19,160,5,8,169,,
2019,19G23,1K9,F,g,PK --> radar,campus,3,4,6/8/19,159,6/9/19,160,1,6,7,,
2019,19G23,1K9,F,g,PK --> radar,campus,3,5,6/12/19,163,6/9/19,160,-3,6,23,,
2019,19G14,1Z5 / X19G14,,,Dive Locker,campus,3,1,5/28/19,148,6/8/19,159,11,7,15,,
2019,19G14,1Z5 / X19G14,,,Dive Locker,campus,3,2,6/1/19,152,6/8/19,159,7,4,0,,
2019,19G14,1Z5 / X19G14,,,Dive Locker,campus,3,3,6/5/19,156,6/8/19,159,3,5,22,,
2019,19G14,1Z5 / X19G14,,,Dive Locker,campus,3,4,6/9/19,160,6/8/19,159,-1,6,42,,
2019,19G41,2HY,,,Norwegian,dense subcolony,3,1,5/28/19,148,6/3/19,154,6,8,142,,
2019,19G41,2HY,,,Norwegian,dense subcolony,3,2,6/1/19,152,6/3/19,154,2,8,300,,
2019,19G41,2HY,,,Norwegian,dense subcolony,3,3,6/5/19,156,6/3/19,154,-2,8,39,,
2019,19G57,2HZ / 8F7,,,wastewater,campus,3,1,5/29/19,149,NA,,,6,16,,
2019,19G57,2HZ / 8F7,,,wastewater,campus,3,2,6/2/19,153,NA,,,5,54,,
2019,19G57,2HZ / 8F7,,,wastewater,campus,3,3,6/6/19,157,NA,,,6,93,,
2019,19G57,2HZ / 8F7,,,wastewater,campus,3,4,6/12/19,163,NA,,,5,17,,
2019,19G57,2HZ / 8F7,,,wastewater,campus,3,5,6/16/19,167,NA,,,4,0,,
2019,19G57,2HZ / 8F7,,,wastewater,campus,3,6,6/20/19,171,NA,,,7,11,,
2019,19G57,2HZ / 8F7,,,wastewater,campus,3,7,6/24/19,175,NA,,,6,24,,
2019,19G30,2M8,,,road --> SP,loose subcolony,3,1,5/28/19,148,6/20/19,171,23,7,278,,
2019,19G30,2M8,,,road --> SP,loose subcolony,3,2,6/1/19,152,6/20/19,171,19,5,35,,
2019,19G30,2M8,,,road --> SP,loose subcolony,3,3,6/5/19,156,6/20/19,171,15,6,234,,
2019,19G30,2M8,,,road --> SP,loose subcolony,3,4,6/9/19,160,6/20/19,171,11,4,0,,
2019,19G30,2M8,,,road --> SP,loose subcolony,3,5,6/12/19,163,6/20/19,171,8,4,0,,
2019,19G30,2M8,,,road --> SP,loose subcolony,3,6,6/16/19,167,6/20/19,171,4,4,0,,
2019,19G30,2M8,,,road --> SP,loose subcolony,3,7,6/20/19,171,6/20/19,171,0,8,244,,
2019,19G30,2M8,,,road --> SP,loose subcolony,3,8,6/24/19,175,6/20/19,171,-4,7,30,,
2019,19G43,2P3,,,incinerator,loose subcolony,3,1,5/29/19,149,6/10/19,161,12,5,28,,
2019,19G43,2P3,,,incinerator,loose subcolony,3,2,6/2/19,153,6/10/19,161,8,5,52,,
2019,19G43,2P3,,,incinerator,loose subcolony,3,3,6/6/19,157,6/10/19,161,4,5,135,,
2019,19G43,2P3,,,incinerator,loose subcolony,3,4,6/12/19,163,6/10/19,161,-2,5,300,,
2019,19G43,2P3,,,incinerator,loose subcolony,3,5,6/16/19,167,6/10/19,161,-6,5,131,,
2019,19G14,2Z0,,,Dive Locker,campus,3,1,5/29/19,149,6/8/19,159,10,4,0,,
2019,19G14,2Z0,,,Dive Locker,campus,3,2,6/2/19,153,6/8/19,159,6,4,0,,
2019,19G14,2Z0,,,Dive Locker,campus,3,3,6/5/19,156,6/8/19,159,3,5,7,,
2019,19G14,2Z0,,,Dive Locker,campus,3,4,6/9/19,160,6/8/19,159,-1,8,38,,
2019,19G42,3HY,,,FMS 24,dense subcolony,3,1,5/28/19,148,6/8/19,159,11,5,0,,
2019,19G42,3HY,,,FMS 24,dense subcolony,3,2,6/1/19,152,6/8/19,159,7,6,153,,
2019,19G42,3HY,,,FMS 24,dense subcolony,3,3,6/5/19,156,6/8/19,159,3,5,40,,
2019,19G58,3HZ,M,m,DDF,loose subcolony,3,1,5/28/19,148,6/10/19,161,13,7,300,,
2019,19G58,3HZ,M,m,DDF,loose subcolony,3,2,6/1/19,152,6/10/19,161,9,7,229,,
2019,19G58,3HZ,M,m,DDF,loose subcolony,3,3,6/5/19,156,6/10/19,161,5,6,187,,
2019,19G58,3HZ,M,m,DDF,loose subcolony,3,4,6/9/19,160,6/10/19,161,1,6,102,,
2019,19G58,3HZ,M,m,DDF,loose subcolony,3,5,6/16/19,167,6/10/19,161,-6,7,99,,
2019,19G46,3P2,M,g,HTP,campus,3,1,5/27/19,147,5/27/19,147,0,5,0,,
2019,19G46,3P2,M,g,HTP,campus,3,2,5/31/19,151,5/27/19,147,-4,6,52,,
2019,19G49,4AC,,,Broad,loose subcolony,3,1,6/1/19,152,6/10/19,161,9,8,17,,
2019,19G49,4AC,,,Broad,loose subcolony,3,2,6/5/19,156,6/10/19,161,5,7,234,,
2019,19G49,4AC,,,Broad,loose subcolony,3,3,6/9/19,160,6/10/19,161,1,6,192,,
2019,19G49,4AC,,,Broad,loose subcolony,3,4,6/12/19,163,6/10/19,161,-2,5,24,,
2019,19G49,4AC,,,Broad,loose subcolony,3,5,6/16/19,167,6/10/19,161,-6,8,37,,
2019,19G50,4FV,,,Siren's,dense subcolony,3,1,5/28/19,148,6/4/19,155,7,6,204,,
2019,19G50,4FV,,,Siren's,dense subcolony,3,2,6/1/19,152,6/4/19,155,3,5,16,,
