Modnames,K,AICc,Delta_AICc,ModelLik,AICcWt,Res.LL,Cum.Wt
model3,6,1176.3838740851047,0,1,0.7042901725000629,-582.0822764681399,0.7042901725000629
model8,6,1178.4874261758066,2.1035520907018963,0.3493167953829411,0.24602038607742072,-583.1340525134908,0.9503105585774836
model2,7,1182.9155053320471,6.531631246942425,0.03816579346853982,0.02687979326555968,-584.3111558073848,0.9771903518430433
model5,4,1183.691288575677,7.307414490572228,0.025894951675318353,0.018237559982290753,-587.7936962358904,0.995427911825334
model13,8,1187.5402589102741,11.156384825169425,0.0037793909276504704,0.002661787888380122,-585.5811530771844,0.9980896997137141
model9,4,1189.9347241332657,13.55085004816101,0.0011414852381191895,8.039368352612393e-4,-590.9154140146848,0.9988936365489753
model12,8,1190.1040198116048,13.72014572650005,0.0010488375081339632,7.38685949528205e-4,-586.8630335278497,0.9996323224985035
model7,5,1191.4997257335876,15.11585164848293,5.219567519202351e-4,3.676090108474749e-4,-590.6717378667938,0.999999931509351
model4,5,1208.7199746042309,32.33610051912615,9.512726031114521e-8,6.699719457399484e-8,-599.2818623021154,0.9999999985065455
model0,3,1216.327092223013,39.94321813790839,2.1205103015406345e-9,1.4934545660602137e-9,-605.132458028605,1
