Modnames,K,AICc,Delta_AICc,ModelLik,AICcWt,Res.LL,Cum.Wt
s.model3n,6,900.4541566335287,0,1,0.3399388979509503,-444.08174959704115,0.3399388979509503
s.model8n,6,901.0004428625672,0.5462862290385146,0.7609838719944128,0.2586880188042277,-444.3548927115604,0.598626916755178
s.model8,7,902.0188710697712,1.5647144362425252,0.45732672090967275,0.15546314150955598,-443.81499109044114,0.754090058264734
s.model3,7,902.47405841889,2.0199017853612986,0.3642368658284362,0.12381827876282674,-444.0425847650005,0.8779083370275607
s.model5n,4,903.8769761792407,3.422819545712059,0.18061099257939503,0.06139670177526681,-447.8697595672836,0.9393050388028275
s.model5,5,906.5274913643011,6.073334730772444,0.04799457163599762,0.01631522178956897,-448.16029740628846,0.9556202605923965
s.model2n,7,906.7043410652951,6.250184431766456,0.04393288212707602,0.014934495534087225,-446.1577260882031,0.9705547561264837
s.model9n,4,907.4585228169215,7.00436618339279,0.030131531671674906,0.010242879670043323,-449.660532886124,0.980797635796527
s.model2,8,908.2876384199296,7.8334817864009665,0.019905864479572922,0.006766777633946986,-445.89294812982547,0.987564413430474
s.model9,5,909.6697398984006,9.215583264871952,0.009973819865423995,0.003390489333413528,-449.7314216733382,0.9909549027638875
s.model13n,8,909.7086153151888,9.25445868166014,0.009781823691162306,0.0033252223655242112,-446.60343657745506,0.9942801251294118
s.model7n,5,911.2729466061355,10.81878997260685,0.004474346433490534,0.001521004395651537,-450.53302502720567,0.9958011295250633
s.model12n,8,911.3871764700485,10.933019836519861,0.00422595538013433,0.0014365666147127536,-447.4427171548849,0.9972376961397761
s.model13,9,911.5548556688132,11.100699035284492,0.0038860987460093027,0.0013210361250469722,-446.46274251972125,0.9985587322648231
s.model12,9,912.1552160404104,11.701059406881768,0.002878374069552786,9.78471309094366e-4,-446.7629227055199,0.9995372035739174
s.model7,6,913.8401905612767,13.38603392774803,0.0012395374862881482,4.2136700705768426e-4,-450.77476656091517,0.999958570580975
s.model4n,5,919.5184622473407,19.064305613812053,7.2483413114529e-5,2.4639931573876446e-5,-454.65578284780827,0.9999832105125489
s.model4,6,920.6892908810206,20.235134247491942,4.036420729453735e-5,1.3721364144368736e-5,-454.1993167207871,0.9999969318766933
s.model0,3,923.6850668227216,23.23091018919297,9.025514070958712e-6,3.0681233067224996e-6,-458.80143752094983,1
