Modnames,K,AICc,Delta_AICc,ModelLik,AICcWt,Res.LL,Cum.Wt
model12.1,8,4389.749600613668,0,1,0.41151248890958997,-2186.6812519197374,0.41151248890958997
model13.1,8,4390.419289171745,0.6696885580768139,0.7154494881608041,0.2944163995621447,-2187.016096198776,0.7059288884717347
model2.1,7,4392.320437386034,2.5708367723664196,0.2765348610602555,0.11379754894517338,-2189.01008464476,0.8197264374169081
model8.1,6,4392.83863917752,3.0890385638522275,0.2134144387458424,0.08782270685754484,-2190.3070201235196,0.907549144274453
model3.1,6,4393.00970636939,3.2601057557221793,0.19591921406401672,0.08062320340469425,-2190.3925537194546,0.9881723476791473
model4.1,5,4396.848426366937,7.098825753269011,0.028741509513205418,0.011827490114797818,-2193.3442131834686,0.9999998377939451
model7.1,5,4420.9601048399345,31.210504226266494,1.6700332523630527e-7,6.872395402416972e-8,-2205.4000524199673,0.999999906517899
model5.1,4,4420.972720495942,31.22311988227375,1.6595321243204004e-7,6.82918194904507e-8,-2206.433168758609,0.9999999748097186
model9.1,4,4423.613522440817,33.86392182714917,4.431418918390432e-8,1.82358422850789e-8,-2207.753569731047,0.9999999930455609
model0.1,3,4425.541540082295,35.79193946862688,1.689970392649016e-8,6.954439224625136e-9,-2209.7389398024206,1
