Modnames,K,AICc,Delta_AICc,ModelLik,AICcWt,Res.LL,Cum.Wt
s.model12.1,9,3313.5140309528647,0,1,0.46740604876641023,-1647.4344348312711,0.46740604876641023
s.model13.1,9,3314.96583897067,1.4518080178054333,0.48388693307639197,0.22617167943893277,-1648.1603388401738,0.693577728205343
s.model8.1,7,3316.6526718348064,3.138640881941683,0.20818660938772937,0.09730768049999464,-1651.1270476611755,0.7908854087053376
s.model2.1,8,3316.6899456339443,3.1759146810795755,0.2043425880395146,0.09551096167025185,-1650.0878299598294,0.8863963703755895
s.model3.1,7,3318.473126216476,4.959095263611289,0.08378111693371933,0.03915980082722634,-1652.0372748520103,0.9255561712028159
s.model12.1n,8,3319.10192708954,5.5878961366752264,0.061179196829445726,0.02859552665675372,-1651.2938206876272,0.9541516978595695
s.model13.1n,8,3320.270416427529,6.756385474664512,0.0341090430648546,0.015942773046147017,-1651.8780653566218,0.9700944709057165
s.model4.1,6,3320.512758169684,6.998727216819134,0.030216606899362328,0.014123424837958797,-1654.1074429146292,0.9842178957436754
s.model2.1n,7,3322.161988597358,8.64795764449309,0.013247070805847576,0.0061917610230900815,-1653.8817060424512,0.9904096567667654
s.model8.1n,6,3322.2197277365817,8.70569678371703,0.01287010122958371,0.00601556316294344,-1654.9609276980782,0.9964252199297089
s.model3.1n,6,3323.8031703341835,10.289139381318819,0.0058309829506632,0.0027254367013937906,-1655.752648996879,0.9991506566311027
s.model4.1n,5,3326.153004279167,12.63897332630222,0.0018008677207546496,8.417364657089018e-4,-1657.9704950724456,0.9999923930968116
s.model7.1,6,3337.500307310258,23.986276357393308,6.1865178208311306e-6,2.8916158502576616e-6,-1662.6012174849163,0.9999952847126619
s.model5.1,5,3337.9963363333063,24.48230538044163,4.8276406388202425e-6,2.256468435855118e-6,-1663.8921610995153,0.9999975411810977
s.model9.1,5,3338.301696091472,24.78766513860728,4.144068309030095e-6,1.936962594141856e-6,-1664.0448409785981,0.9999994781436918
s.model7.1n,5,3342.819586953634,29.30555600076923,4.3289181052455475e-7,2.0233625070061968e-7,-1666.303786409679,0.9999996804799426
s.model5.1n,4,3343.27374417116,29.759713218295474,3.449533628672136e-7,1.6123328834645007e-7,-1667.5664495503688,0.999999841713231
s.model9.1n,4,3343.7934962506793,30.279465297814568,2.6600981006336874e-7,1.2433459425482247e-7,-1667.8263255901284,0.9999999660478253
s.model0.1,3,3346.389542977572,32.875512024707405,7.263957072063656e-8,3.3952174734620956e-8,-1670.152666225628,1
