Band,NestID21,NestID22,NestID23,NestID24,BandedYear,BandedAge,Age,AgeMin,BandedLocation,BandedLat,BandedLon,Sex,Reason,Head-plus-Bill,Parents / Family,Status
0AA,,22G138,,24G60,2015,chick,9,,North Head,,,,,,,
0EK,21G91,22G75,23G24,24G03,2016,chick,8,,HTP,42.98856,-70.6155,M,morph,124.4,3P3 + 2P2 (16G21),
0FA,,,23G94,24G82,2017,chick,7,,Norwegian,,,,,,--,
0FJ,,22G119,,24G58,2017,chick,7,,DDF,42.99158,-70.615,F,morph,120.1,3T1 + 4M0 (17G40),
0FM,,22G154,23G57,24G40,2017,chick,7,,Larus,,,,,,--,
0FX,,,23G45,24G06,2018,chick,6,,HTP,42.98835,-70.6159,M,morph; not 100% sure,,0X5 + 7FV (18G34),
0FZ,,,23G106,24G30,2017,chick,7,,incinerator,42.98885,-70.6123,F,morph; not 100% sure,,2P3 (17G101),
0HX / 5J1,21G11,22G114,23G60,24G39,2013,chick,11,,FMS 4,42.98913,-70.6162,F,morph,113.9,4K9 (13G42),
0KK / 9M4,21G76,22G27,23G56,24G36,2011,chick,13,,North Head,,,,,,--,
0N7,21G44,22G108,23G46,24G07,2007,chick,17,,HTP,,,M,morph,NA,--,
0P3,21G41,22G110,23G03,24G01,2008,chick,16,,HTP,42.98878,-70.6154,M,morph,NA,3E1[0EU]+ 9C2,
0U0,,22G78,23G35,24G71,2013,chick,11,,Kiggins,,,,,130.3,"sib 6U7, 3U8",
0U4,21G08,22G84,23G14,24G29,2013,chick,11,,Sunset,,,M,morph,131.1,sib 0U5,
0Y4,,22G91,23G39,24G52,2014,chick,10,,FMS 28,42.98653,-70.6178,,,122.2,2F1; sib 0Y5,
1777-14164 / 6H4,,,23G132,24G81,2006,chick,18,,Norwegian,,,,,,--,
1777-28114,,22G152,,24G39,2007,chick,17,,Dive Locker,,,M,morph,,--,
1EZ,,,,24G95,2017,chick,7,,incinerator,42.98893,-70.6121,,,,--,
1FY,,,,24G62,2018,chick,6,,HTP,42.98835,-70.6159,,,,0X5[2KH] + 7FV,
1HR,,,,24G54,2018,chick,6,,Bartels,42.98714,-70.6134,F,morph,,4P9 + UB (18G57),
2017-17423,,,,24G33,2016,chick,6,,Sandpiper,42.9899,-70.617,,,,5R1 + 2R2,
2FL,21G103,22G74,23G25,24G04,2017,chick,7,,HTP,42.98821,-70.6158,M,"database, beh",115.7,3M8 (17G09),
2KH / 0X5,21G20,22G71,23G05,24G24,2012,chick,12,,HTP,,,M,morph,136.1,sib 0X7,
2P3,21G39,22G102,23G62,24G70,2008,chick,16,,Gerry's,,,,,NA,sib 2P5,
2U0,21G89,22G67,23G12,24G23,2013,chick,11,,dock,,,,,138,sib 4U1,
3FM,,22G151,23G89,24G87,2017,chick,7,,Sandpiper,,,,,,--,
3KH / 8C7,21G21,22G72,23G06,24G21,2005,chick,19,,dock--HTP,,,,,NA,--,
3T0,21G49,,23G58,24G37,2011,chick,13,,Grass--DDF,,,,,,"siblings 2T8, 2T9",
3T1,,22G18,23G42,24G57,2011,chick,13,,DDF,,,M,database,141.3,--,
3T3,21G27,22G32,23G08,24G19,2011,chick,13,,HTP,,,,,139.6,"sibs 3T2, 3T9",
3V7,,22G39,23G44,24G80,2012,chick,12,,trail--Sandpiper,,,,,131.6,--,
3Y3,,22G125,23G63,24G97,2014,chick,10,,incinerator,,,,,128.8,,
3Y5,,22G16,23G101,24G64,2014,chick,10,,Gerry's,,,,,,"siblings 3Y6, 4Y4",
3Z5,,22G05,23G71,24G49,2015,chick,9,,Larus,,,,,NA,,
4FE,,22G69,,24G18,2017,chick,7,,dock,42.98733,-70.6168,M,morph,141.8,4M9 (17G13),
4FN,,,23G28,24G10,2017,chick,7,,HTP,42.98823,-70.6158,M,morph,,8C7 + 7U5 (17G10),
4X5,21G90,22G73,23G26,24G05,2013,chick,11,,HTP,42.98848,-70.6156,M,morph,115.2,2R5 (13G30),
4X6,,22G73,23G26,24G05,2013,chick,11,,HTP,42.98815,-70.6158,F,morph,105.9,(13G301),
5AT,,22G123,23G85,24G74,2016,chick,8,,Kiggins,42.98798,-70.6139,M,morph,134.3,8K6 (16G46); sib 9EJ,
5EV,,,,24G86,2016,chick,8,,Norwegian,42.99108,-70.6125,,,,--,
5F6,,22G37,23G52,24G28,2009,chick,15,,Larus,,,,,,--,
5FE,21G41,22G110,23G03,24G01,2017,chick,7,,dock,42.98715,-70.6171,F,morphological,115,5EC + 5ET (17G63),
5KJ / 2AK,,22G60,23G18,24G12,2015,chick,9,,Sunset,42.98694,-70.6158,,,NA,2E2 (begging off-island),
5KK / 3EH,21G19,22G127,23G27,24G25,2016,chick,8,,HTP,42.98801,-70.6158,M,morph,139,3P2 + 1R0 (16G4),
5R6,,22G80,23G31,24G73,2011,chick,13,,Broad,42.98909,-70.6133,M,morph,,4A8 + 0E0 (11G41),
5T9,21G53,22G62,23G20,24G13,2011,chick,13,,Sunset,,,,,122.2,likely 2E2 (seen off-island),
5X3,,22G88,23G91,24G85,2012,chick,12,,Norwegian,,,,,,--,
