NestID,Location,M#1,M#2,Lat,Long,Notes,AdultFecal
24G20,HTP rocks,6JN,3KT,42.98849,-70.61592,,Y
24G06,HTP,0FX,0KU,42.98842,-70.61581,,Y
24G03,HTP,0EK,9KU,42.98846,-70.61567,,Y
24G76,HTP,2KT,6KT,42.98852,-70.61554,,Y
24G01,HTP--Paint Shed,0P3,5FE,42.9886,-70.61537,,Y
24G22,Celia's bench/sumac,1HY,UB,42.98923,-70.61612,,Y
24G16,Laighton--PK,1K9,UB,42.98721,-70.61565,fish hook in her tongue,Y
24G29,Sunset,0U4,UB,42.98693,-70.61578,,Y
24G54,Bartels--bench,1HR,UB,42.98843,-70.61205,,Y
24G55,Gerry's--incinerator,5KU,6KU,42.98895,-70.61155,,Y
24G45,Gerry's,8JU,4KU,42.98875,-70.61098,,Y
24G46,Gerry's,1KU,UB,42.98838,-70.61105,,Y
24G08,HTP--dock,3P2,UB,42.98794,-70.61584,,N
