Kristen,UMass,GoA,Location24,NestID24,M1,M2,Lat24,Lon24,Chick intel
~,,,HTP--dock,24G08,3P2,UB,42.98794,-70.61584,
**,**,*,HTP,24G24,4Z1,2KH / 0X5,42.98817,-70.6158,
,,**,HTP,24G10,4FN,UB?,42.9882,-70.61584,1-2 chicks
,,**,HTP,24G25,9JN,5KK / 3EH,42.98809,-70.61583,1-2 chicks
*(*),*(*),**,HTP rocks,24G06,0FX,0KU,42.98842,-70.61581,
,*,,HTP rocks,24G20,6JN,3KT,42.98849,-70.61592,
,,***,HTP,24G05,4X5,4X6,42.98839,-70.61578,3 chicks
,,**,HTP,24G04,2FL,5KH,42.98842,-70.61573,
**,**,**,HTP,24G03,0EK,9KU,42.98846,-70.61567,
~,,,HTP,24G02,0KH / 6AC,1KH,42.98850,-70.61561,
,,*,HTP,24G07,0N7,5JN,42.98848,-70.61578,
**,**,,HTP,24G76,2KT,6KT,42.98852,-70.61554,at least 1 chick dead
**,**,***,HTP--Paint Shed,24G01,0P3,5FE,42.9886,-70.61537,
**,**,,Paint Shed,24G50,9KE,4KT,42.98876,-70.61536,at least 1 chick dead
,,***,FMS 4,24G39,0HX / 5J1,1777-28114,42.98904,-70.61601,2-3 chicks
,,*,Celia's bench,24G90,5Y9,UB,42.98936,-70.61621,
,*,,Celia's,24G22,1HY,UB,42.98923,-70.61612,
,,*,FMS 5,24G19,3T3,5ER,42.98935,-70.61652,
,,**,trail--SP,24G26,8FF,UB,42.98954,-70.61687,3 chicks
*,*,**,Sandpiper,24G32,7FL,UB,42.99053,-70.61677,
**,**,**,Sandpiper,24G35,8KT / 2017-25428,8KU,42.99058,-70.61674,
,*,(*),Sandpiper,24G34,7KT,UB? or 7Z4???,42.99069,-70.61665,???
,,**,Sandpiper,24G33,9FR,2017-17423,42.99074,-70.61668,???
*,*,*,Sandpiper,24G28,0KT / 7EE,5F6,42.99077,-70.61675,
,,**,dock,24G18,4FE,,42.98718,-70.61486,1 chick
,,*,dock,24G23,2U0,3ET,42.98721,-70.61699,
,*,,Laighton--PK,24G16,1K9,UB,42.98721,-70.61565,
*,*,*,Sunset,24G29,0U4,UB,42.98693,-70.61578,
,*,,Sunset,24G09,2 E 2,3EC,42.98698,-70.61582,1 chick
,,**,Sunset,24G11,7KH / 3FR,UB,42.98699,-70.61582,2 chicks
,,**,Sunset,24G12,5KJ / 2AK,1EE,42.98694,-70.61586,
,,*,Sunset,24G13,5T9,UB,42.98688,-70.61601,
,*,**,Dorm 2,24G30,0FZ,5KT,42.98711,-70.61398,1 chick
,*,**,Bartels--bench,24G54,1HR,UB,42.98843,-70.61205,2 chicks
,,*,Bartels--bench,24G49,3Z5,5FV,42.9886,-70.61175,
,,**,Gerry's,24G62,1FY,,42.98882,-70.61134,3 chicks
,,*,Gerry's,24G60,0AA,,42.98878,-70.6111,
*,*,,Gerry's,24G48,3KU,,42.98876,-70.61126,
,**,,Gerry's,24G45,8JU,4KU,42.98875,-70.61098,at least 2 chicks dead
*,*,,Gerry's,24G67,2KU,UB,42.98869,-70.61096,
,*,,Gerry's,24G47,3JN,,42.98860,-70.61088,
,,*,Gerry's,24G64,3Y5,,42.98866,-70.61075,
,,**,Gerry's,24G68,8JF,,42.98848,-70.61112,no chicks?
,*,,Gerry's,24G46,1KU,UB,42.98838,-70.61105,
**,**,,Gerry's--incinerator,24G55,5KU,6KU,42.98895,-70.61155,
,,*,Broad--incinerator,24G70,2P3,1JN,42.98885,-70.6123,
,,*,Broad--incinerator,24G71,0U0,2KJ,42.98903,-70.61269,
,,**,Broad N,24G73,5R6,1KJ,42.98941,-70.61357,3 chicks
,,**,Ross's Pole Barn,24G74,5AT,,42.98963,-70.61458,1 chick
**,**,*,DDF,24G57,3T1,7KU,42.99159,-70.61488,
,,**,DDF,24G58,0FJ,UB,42.99155,,1 chick
,,*,Siren's,24G80,3V7,0KJ,42.99192,-70.61375,
,,**,Siren's,24G88,7AT,,42.9919,-70.61339,
,,**,FMS 28,24G52,0Y4,UB,42.98633,-70.61813,
,,*,Norwegian,24G82,0FA,,42.99018,-70.61314,
,,*,Norwegian,24G83,6K9,,,,
,,*,FMS 14,24G85,5X3,3AV,42.99115,-70.61294,
,,**,FMS 14,24G86,5EV,,42.99115,-70.61286,
,,*,FMS 14,24G87,3FM,,42.9916,-70.61304,
,,*,Larus,24G36,0KK / 9M4,,42.99094,-70.61674,
,,*,Larus,24G37,3T0,,42.99104,-70.6166,
,,*,Larus,24G40,0FM,,42.99122,-70.61653,
,,*,Larus,24G41,7FM,,42.99121,-70.61655,
,,*,Larus,24G42,6F3,,42.99137,-70.61643,
,*,,Larus,24G43,9KT,,42.99154,-70.61624,
