Contact_Type,spcd,field,Fed,age,year,month,day,Location_Description
Capture,GBBG,NA,1227-69910,adult,2003,7,9,Grass Lab
Capture,GBBG,NA,1717-23378,adult,2003,7,10,Sunset Pavilion
Capture,GBBG,NA,1717-23366,adult,2003,7,10,Bartels
Capture,GBBG,NA,1717-23375,adult,2003,7,10,Laighton
Capture,GBBG,NA,1227-69909,adult,2004,5,9,Grass Lab
Capture,GBBG,NA,1227-69920,adult,2004,5,9,Dive Locker
Capture,GBBG,NA,1227-69905,adult,2004,5,11,Sandpiper Beach
Capture,GBBG,NA,1227-69906,adult,2004,5,11,Incinerator Ridge
Capture,GBBG,NA,1227-69907,adult,2004,5,11,Grass Lab
Capture,GBBG,NA,1227-69908,adult,2004,5,11,Sunset Pavilion
Capture,GBBG,NA,1227-69911,adult,2004,5,11,Trail: Bartels to Bench
Capture,GBBG,NA,1227-69912,adult,2004,5,11,Kingsbury House
Capture,GBBG,NA,1227-69913,adult,2004,5,11,Incinerator Ridge
Capture,GBBG,NA,1227-69914,adult,2004,5,11,Trail: Bartels to Bench
Capture,GBBG,NA,1227-69915,adult,2004,5,11,Incinerator Ridge
Capture,GBBG,NA,1227-69916,adult,2004,5,11,Bartels
Capture,GBBG,NA,1227-69919,adult,2004,5,11,SML Dock
Capture,GBBG,NA,1227-69921,adult,2004,5,11,Incinerator Ridge
Capture,GBBG,NA,1227-69922,adult,2004,5,11,Gerry's Ridge
Capture,GBBG,NA,1227-69923,adult,2004,5,11,Dorm 1
Capture,GBBG,NA,1227-69924,adult,2004,5,11,Dorm 2
Capture,GBBG,NA,1227-69925,adult,2004,5,11,PK - Radar Tower
Capture,GBBG,NA,1227-69963,adult,2004,5,11,Sandpiper Beach
Capture,GBBG,NA,1227-69965,adult,2004,5,11,FMS Transect 5
Capture,GBBG,NA,1227-69967,adult,2004,5,11,Sandpiper Beach
Capture,GBBG,NA,1227-69973,adult,2004,5,11,Sandpiper Beach
Capture,GBBG,NA,1227-69901,adult,2004,5,12,High Tide Pier
Capture,GBBG,NA,1227-69902,adult,2004,5,12,High Tide Pier
Capture,GBBG,NA,1227-69903,adult,2004,5,12,High Tide Pier
Capture,GBBG,NA,1227-69904,adult,2004,5,12,High Tide Pier
Capture,GBBG,NA,1227-69918,adult,2004,5,12,Broad Cove
Capture,GBBG,NA,1227-69926,adult,2004,5,12,Broad Cove
Capture,GBBG,NA,1227-69927,adult,2004,5,12,Broad Cove
Capture,GBBG,NA,1227-69928,adult,2004,5,12,Devil's Dance Floor
Capture,GBBG,NA,1227-69929,adult,2004,5,12,Devil's Dance Floor
Capture,GBBG,NA,1227-69930,adult,2004,5,12,"Siren's Cove, Ridge, and Trail"
Capture,GBBG,NA,1227-69931,adult,2004,5,12,"Siren's Cove, Ridge, and Trail"
Capture,GBBG,NA,1227-69932,adult,2004,5,12,"Siren's Cove, Ridge, and Trail"
Capture,GBBG,NA,1227-69934,adult,2004,5,12,Old Reservoir
Capture,GBBG,NA,1227-69917,adult,2004,5,12,Broad Cove
Capture,GBBG,NA,1227-69933,adult,2004,5,12,Old Reservoir
Capture,GBBG,NA,1227-69935,adult,2004,5,14,Celia's Garden
Capture,GBBG,NA,1227-69936,adult,2004,5,14,Larus Ledge
Capture,GBBG,NA,1227-69937,adult,2004,5,14,Larus Ledge
Capture,GBBG,NA,1227-69938,adult,2004,5,14,Larus Ledge
Capture,GBBG,NA,1227-69939,adult,2004,5,14,"Siren's Cove, Ridge, and Trail"
Capture,GBBG,NA,1227-69940,adult,2004,5,14,"Siren's Cove, Ridge, and Trail"
Capture,GBBG,NA,1227-69941,adult,2004,5,15,Grass Lab
Capture,GBBG,NA,1227-69942,adult,2004,5,15,Grass Lab
Capture,GBBG,NA,1227-69943,adult,2004,5,15,Grass Lab
Capture,GBBG,NA,1227-69945,adult,2004,5,15,Dive Locker
Capture,GBBG,NA,1227-69946,adult,2004,5,15,Dive Locker
Capture,GBBG,NA,1227-69947,adult,2004,5,15,SML Dock
Capture,GBBG,NA,1227-69948,adult,2004,5,15,Kingsbury House
Capture,GBBG,NA,1227-69949,adult,2004,5,15,PK - Radar Tower
Capture,GBBG,NA,1227-69950,adult,2004,5,15,Dorm 3
Capture,GBBG,NA,1227-69952,adult,2004,5,15,Dorm 2
Capture,GBBG,NA,1227-69953,adult,2004,5,15,Kiggins Commons
Capture,GBBG,NA,1227-69944,adult,2004,5,15,Dive Locker
Capture,GBBG,NA,1227-69951,adult,2004,5,21,Gerry's Ridge
Capture,GBBG,NA,1227-69954,adult,2004,5,21,Gerry's Ridge
Capture,GBBG,NA,1227-69955,adult,2004,5,23,Trail: Grass Lab to Devil's Dance Floor
Capture,GBBG,NA,1227-69956,adult,2004,5,23,Grass Lab
Capture,GBBG,NA,1227-69957,chick,2004,7,30,Sunset Pavilion
Capture,GBBG,NA,1227-69958,chick,2004,7,30,Sunset Pavilion
Capture,GBBG,0A1,1777-08101,adult,2005,5,8,Graveyard
Capture,GBBG,0A2,1777-08102,adult,2005,5,9,Trail: Grass Lab to Devil's Dance Floor
Capture,GBBG,0A3,1777-08103,adult,2005,5,9,Grass Lab
Capture,GBBG,0A4,1777-08104,adult,2005,5,9,Kingsbury House
Capture,GBBG,0A5,1777-08105,adult,2005,5,9,PK - Radar Tower
Capture,GBBG,0A6,1777-08106,adult,2005,5,9,PK - Radar Tower
Capture,GBBG,0A7,1777-08107,adult,2005,5,9,Sunset Pavilion
Capture,GBBG,0A8,1777-08108,adult,2005,5,9,PK - Radar Tower
Capture,GBBG,0A9,1777-08109,adult,2005,5,9,Trail: Bartels to Bench
Capture,GBBG,1A0,1777-08110,adult,2005,5,9,Gerry's Ridge
Capture,GBBG,1A1,1777-08111,adult,2005,5,9,Gerry's Ridge
Capture,GBBG,1A2,1777-08112,adult,2005,5,9,Herring Gull Ghetto
Capture,GBBG,1A5,1777-08113,adult,2005,5,9,Road: High Tide Pier to Paint Shed
Capture,GBBG,1A3,1777-08115,adult,2005,5,10,Gerry's Ridge
Capture,GBBG,1A4,1777-08114,adult,2005,5,10,Wastewater Treatment
Capture,GBBG,1A6,1777-08116,adult,2005,5,10,Wastewater Treatment
Capture,GBBG,1A7,1777-08117,adult,2005,5,11,Celia's Garden
Capture,GBBG,1A8,1777-08118,adult,2005,5,11,Trail: Grass Lab to Devil's Dance Floor
Capture,GBBG,1A9,1777-08119,adult,2005,5,11,Road: Sandpiper Beach Road
Capture,GBBG,2A0,1777-08120,adult,2005,5,11,Sandpiper Beach
Capture,GBBG,2A1,1777-08121,adult,2005,5,11,Larus Ledge
Capture,GBBG,2A2,1777-08122,adult,2005,5,11,Wastewater Treatment
Capture,GBBG,2A3,1777-08123,adult,2005,5,11,Sandpiper Beach
Capture,GBBG,2A4,1777-08124,adult,2005,5,11,Road: Sandpiper Beach Road
Capture,GBBG,2A5,1777-08125,adult,2005,5,11,Broad Cove
Capture,GBBG,2A6,1777-08126,adult,2005,5,11,Broad Cove
Capture,GBBG,2A7,1777-08127,adult,2005,5,11,Norwegian Cove
Capture,GBBG,2A8,1777-08128,adult,2005,5,11,Norwegian Cove
Capture,GBBG,2A9,1777-08129,adult,2005,5,11,Norwegian Cove
Capture,GBBG,3A0,1777-08130,adult,2005,5,11,Road: Sandpiper Beach Road
Capture,GBBG,3A1,1777-08131,adult,2005,5,11,"Siren's Cove, Ridge, and Trail"
Recapture,GBBG,3A2,1777-08132,adult,2005,5,11,FMS Transect 4
Capture,GBBG,3A3,1777-08133,adult,2005,5,12,Road: High Tide Pier to Paint Shed
Capture,GBBG,3A4,1777-08134,adult,2005,5,12,Road: High Tide Pier to Paint Shed
Capture,GBBG,3A5,1777-08135,adult,2005,5,12,SML Dock
Capture,GBBG,3A6,1777-08136,adult,2005,5,12,SML Dock
Capture,GBBG,3A7,1777-08137,adult,2005,5,12,FMS Transect 27
Capture,GBBG,3A8,1777-08138,adult,2005,5,12,FMS Transect 27
Capture,GBBG,3A9,1777-08139,adult,2005,5,12,FMS Transect 28
Capture,GBBG,4A0,1777-08140,adult,2005,5,12,FMS Transect 28
Capture,GBBG,4A1,1777-08141,adult,2005,5,12,FMS Transect 28
Capture,GBBG,4A2,1777-08142,adult,2005,5,12,FMS Transect 28
Capture,GBBG,4A3,1777-08143,adult,2005,5,12,Road: Sandpiper Beach Road
Capture,GBBG,4A4,1777-08144,adult,2005,5,12,Sandpiper Beach
Capture,GBBG,4A5,1777-08145,adult,2005,5,12,Sandpiper Beach
Capture,GBBG,4A6,1777-08146,adult,2005,5,12,Grass Lab
Recapture,GBBG,4A7,1777-08147,adult,2005,5,12,Broad Cove
Capture,GBBG,4A8,1777-08148,adult,2005,5,12,Broad Cove
Recapture,GBBG,4A9,1777-08149,adult,2005,5,13,Bartels
Capture,GBBG,5A0,1777-08150,adult,2005,5,13,Gerry's Ridge
Capture,GBBG,5A1,1777-08151,adult,2005,5,13,Gerry's Ridge
Capture,GBBG,5A2,1777-08152,adult,2005,5,13,Gerry's Ridge
Capture,GBBG,5A3,1777-08153,adult,2005,5,13,Gerry's Ridge
Capture,GBBG,5A4,1777-08154,adult,2005,5,13,Gerry's Ridge
Capture,GBBG,5A5,1777-08155,adult,2005,5,13,Incinerator Ridge
Capture,GBBG,5A6,1777-08156,adult,2005,5,13,Incinerator Ridge
Capture,GBBG,5A7,1777-08157,adult,2005,5,13,Incinerator Ridge
Capture,GBBG,5A8,1777-08158,adult,2005,5,13,Road: Paint Shed to Broad Cove
Capture,GBBG,6A0,1777-08160,adult,2005,5,13,North Head
Recapture,GBBG,5A9,1777-08159,adult,2005,5,14,Road: Paint Shed to Broad Cove
Capture,GBBG,6A1,1777-08161,adult,2005,5,14,Kingsbury House
Capture,GBBG,6A2,1777-08162,adult,2005,5,14,FMS Transect 27
Capture,GBBG,6A3,1777-08163,adult,2005,5,14,FMS Transect 27
Capture,GBBG,6A4,1777-08164,adult,2005,5,14,FMS Transect 28
Capture,GBBG,6A5,1777-08165,adult,2005,5,14,FMS Transect 28
Capture,GBBG,6A6,1777-08166,adult,2005,5,16,Laighton
Capture,GBBG,6A8,1777-08168,adult,2005,5,17,Road: High Tide Pier to Paint Shed
Capture,GBBG,6A9,1777-08169,adult,2005,5,17,Broad Cove
Capture,GBBG,7A0,1777-08170,adult,2005,5,18,PK - Radar Tower
Capture,GBBG,7A1,1777-08171,adult,2005,5,18,Sunset Pavilion
Capture,GBBG,7A2,1777-08172,adult,2005,5,18,Sunset Pavilion
Capture,GBBG,7A3,1777-08173,adult,2005,5,18,Kiggins Commons
Capture,GBBG,7A4,1777-08174,adult,2005,5,18,Dorm 2
Recapture,GBBG,7A5,1777-08175,adult,2005,5,18,Laighton
Capture,GBBG,7A6,1777-08176,adult,2005,5,18,Road: High Tide Pier to Paint Shed
Capture,GBBG,7A7,1777-08177,adult,2005,5,19,Grass Lab
Capture,GBBG,7A8,1777-08178,adult,2005,5,19,Road: Sandpiper Beach Road
Capture,GBBG,7A9,1777-08179,adult,2005,5,19,"Siren's Cove, Ridge, and Trail"
Capture,GBBG,8A0,1777-08180,adult,2005,5,20,Sandpiper Beach
Capture,GBBG,8A1,1777-08181,adult,2005,5,20,Larus Ledge
Capture,GBBG,8A2,1777-08182,adult,2005,5,20,Road: High Tide Pier to Paint Shed
Capture,GBBG,8A3,1777-08183,adult,2005,6,1,Gerry's Ridge
Capture,GBBG,8A4,1777-08184,adult,2005,6,2,Kiggins Commons
Capture,GBBG,8A5,1777-08185,adult,2005,6,12,Kiggins Commons
Capture,GBBG,8A6,1777-08186,adult,2005,6,12,Dorm 2
Capture,GBBG,8A7,1777-08187,adult,2005,6,12,Kiggins Commons
Capture,GBBG,0A0,1777-08200,chick,2005,7,12,High Tide Pier
Capture,GBBG,0C1,1777-08201,chick,2005,7,12,High Tide Pier
Capture,GBBG,0C2,1777-08202,chick,2005,7,12,Road: High Tide Pier to Paint Shed
Capture,GBBG,0C3,1777-08203,chick,2005,7,12,Norwegian Cove
Capture,GBBG,0C4,1777-08204,chick,2005,7,12,Grass Lab
Capture,GBBG,0C5,1777-08205,chick,2005,7,12,Dive Locker
Capture,GBBG,0C7,1777-08207,chick,2005,7,12,FMS Transect 28
Capture,GBBG,0C8,1777-08208,chick,2005,7,12,FMS Transect 28
Capture,GBBG,0C9,1777-08209,chick,2005,7,12,FMS Transect 27
Capture,GBBG,1C1,1777-08210,chick,2005,7,12,FMS Transect 27
Capture,GBBG,1C2,1777-08212,chick,2005,7,12,Laighton
Capture,GBBG,1C3,1777-08213,chick,2005,7,12,Laighton
Capture,GBBG,1C4,1777-08214,chick,2005,7,12,Laighton
Capture,GBBG,6A7,1777-08167,chick,2005,7,12,High Tide Pier
