BirdID_USGS_F,band_numb_female,BirdID_FR_F,field_readable_female,BirdID_USGS_M,band_numb_male,BirdID_FR_M,field_readable_male,nest_label,species,Month,Day,Year,latitude,longitude,nest_habitat,LocationID,detailed_location
,,1136,8A6,1582,1777-28135,1582,4P9,10G1,GBBG,5,26,2010,42.98567,-70.6183,Shrub_Small,1,Bartels
,,1775,8F3,1357,1777-14110,1357,4P3,10G2,GBBG,5,26,2010,42.9874,-70.61313,Shrub_Small,1,Bartels
,,1762,9F5,,,1541,3P7,10G3,GBBG,5,26,2010,42.98874,-70.61196,Shrub_Large,1,Incinerator Ridge
,,1779,9F3,,,1283,3P9,10G4,GBBG,5,26,2010,42.9889,-70.61135,Rock_Vegetated,1,Incinerator Ridge
,,1774,9F4,,,1060,1A0,10G5,GBBG,5,26,2010,42.98858,-70.61118,Shrub_Large,1,Gerry's Ridge
,,1772,9F0,,,1292,5P5,10G6,GBBG,5,26,2010,42.98886,-70.61192,Shrub_Large,1,Incinerator Ridge
,,69,0J3,,,1356,4P4,10G7,GBBG,5,26,2010,42.98884,-70.61235,Rock_Vegetated,1,Incinerator Ridge
,,1771,9F1,,,1677,3K1,10G8,GBBG,5,26,2010,42.98909,-70.61295,Shrub_Large,1,Incinerator Ridge
1773,1997-02043,1773,0F0,,,1674,2K8,10G9,GBBG,5,26,2010,42.98908,-70.61341,Pebbles_Vegetated,1,Broad Cove
1700,1937-67554,1700,9K8,1260,1777-14013,1260,1 E 3,10G10,GBBG,5,26,2010,42.98907,-70.61452,Shrub_Large,1,Road: to Broad Cove
1239,1777-08292,1239,9C2,1277,1777-14030,1277,3 E 1,10G11,GBBG,5,26,2010,42.98878,-70.61536,Under_Building,1,Dive Locker
,,,2 E 2,1269,1777-14022,1269,,10G12,GBBG,5,26,2010,,,Shrub_Large,1,Sunset Pavillion
,,1760,9F7,,,1670,2K5,10G13,GBBG,5,26,2010,42.98696,-70.61599,Rock_Vegetated,1,Sunset Pavillion
1777,1997-02047,1777,8F1,1662,1937-67516,1662,1K6,10G14,GBBG,5,26,2010,42.98688,-70.61597,Shrub_Small,1,Sunset Pavillion
,,1247,0C0,1778,1997-02048,1778,9F2,10G15,GBBG,5,26,2010,42.98709,-70.61584,Shrub_Small,1,PK - Radar Tower
1665,1937-67519,1665,1K9,,,1780,9F6,10G16,GBBG,5,26,2010,42.98726,-70.61649,Shrub_Large,1,Road: SML Dock to High Tide Pier
,,1272,2 E 5,,,1782,3K8,10G17,GBBG,5,26,2010,42.98714,-70.61703,Shrub_Small,1,SML Dock
1776,1997-02046,1776,3P1,1666,1937-67520,1666,2K0,10G18,GBBG,5,26,2010,42.98722,-70.6168,Shrub_Small,1,SML Dock
,,1504,4P2,,,,,10G19,GBBG,5,26,2010,,,Shrub_Small,1,Road: SML Dock to High Tide Pier
1294,1777-14047,1294,5P1,,,1585,3P2,10G20,GBBG,5,26,2010,42.98806,-70.61584,Pebbles_Vegetated,1,Road: SML Dock to High Tide Pier
,,1547,3P3,,,1209,6C1,10G21,GBBG,5,26,2010,42.98854,-70.61549,Rock_Vegetated,1,High Tide Pier
,,1407,7 E 3,,,1063,1A5,10G22,GBBG,5,26,2010,,,Rock_Vegetated,1,High Tide Pier
1096,1777-08146,1096,4A6,,,1404,5H7,10G23,GBBG,5,26,2010,42.98918,-70.61544,Shrub_Small,1,Grass Lab
,,1261,1 E 4,,,1240,9C3,10G24,GBBG,5,26,2010,,,Shrub_Large,1,Dive Locker
,,1544,3P4,,,1687,5K0,10G25,GBBG,5,26,2010,42.9893,-70.61612,Rock_Vegetated,1,Grass Lab
,,1761,9F8,,,,,10G26,GBBG,5,26,2010,,,Rock_Vegetated,1,Road: Laighton to Kiggins
