BirdID,ContactID,Year,MarkID,Mark_Type,tbl_Mark_Types.BBL_Code,Mark_Color,tbl_Mark_Colors.BBL_Code,bandnumb,size,material
229,7837,2005,3046,Field Readable,01A,Green,,A01,,
230,7838,2005,3047,Field Readable,01A,Green,,A02,,
231,7839,2005,3048,Field Readable,01A,Green,,A03,,
232,7840,2005,3049,Field Readable,01A,Green,,A04,,
233,7841,2005,3050,Field Readable,01A,Green,,A05,,
234,7842,2005,3051,Field Readable,01A,Green,,A06,,
235,7843,2005,3052,Field Readable,01A,Green,,A07,,
236,7844,2005,3053,Field Readable,01A,Green,,A08,,
237,7845,2005,3054,Field Readable,01A,Green,,A09,,
238,7846,2005,3055,Field Readable,01A,Green,,A10,,
239,7847,2005,3056,Field Readable,01A,Green,,A11,,
240,7848,2005,3057,Field Readable,01A,Green,,A12,,
241,7849,2005,3058,Field Readable,01A,Green,,A13,,
242,7850,2005,3059,Field Readable,01A,Green,,A14,,
243,7851,2005,3060,Field Readable,01A,Green,,A15,,
244,7852,2005,3061,Field Readable,01A,Green,,A16,,
245,7853,2005,3062,Field Readable,01A,Green,,A17,,
246,7854,2005,3063,Field Readable,01A,Green,,A18,,
247,7855,2005,3064,Field Readable,01A,Green,,A19,,
248,7856,2005,3065,Field Readable,01A,Green,,A20,,
249,7857,2005,3066,Field Readable,01A,Green,,A21,,
250,7858,2005,3067,Field Readable,01A,Green,,A22,,
251,7859,2005,3068,Field Readable,01A,Green,,A23,,
252,7860,2005,3069,Field Readable,01A,Green,,A24,,
253,7861,2005,3070,Field Readable,01A,Green,,A25,,
254,7862,2005,3071,Field Readable,01A,Green,,A26,,
255,7863,2005,3072,Field Readable,01A,Green,,A27,,
256,7864,2005,3073,Field Readable,01A,Green,,A28,,
257,7865,2005,3074,Field Readable,01A,Green,,A29,,
258,7866,2005,3075,Field Readable,01A,Green,,A30,,
259,7867,2005,3076,Field Readable,01A,Green,,A31,,
260,7868,2005,3077,Field Readable,01A,Green,,A32,,
261,7869,2005,3078,Field Readable,01A,Green,,A33,,
262,7870,2005,3079,Field Readable,01A,Green,,A34,,
263,7871,2005,3080,Field Readable,01A,Green,,A35,,
264,7872,2005,3081,Field Readable,01A,Green,,A36,,
265,7873,2005,3082,Field Readable,01A,Green,,A37,,
266,7874,2005,3083,Field Readable,01A,Green,,A38,,
267,7875,2005,3084,Field Readable,01A,Green,,A39,,
268,7876,2005,3085,Field Readable,01A,Green,,A40,,
269,7877,2005,3086,Field Readable,01A,Green,,A41,,
270,7878,2005,3087,Field Readable,01A,Green,,A42,,
271,7879,2005,3088,Field Readable,01A,Green,,A43,,
272,7880,2005,3089,Field Readable,01A,Green,,A44,,
273,7881,2005,3090,Field Readable,01A,Green,,A45,,
274,7882,2005,3091,Field Readable,01A,Green,,A46,,
275,7883,2005,3092,Field Readable,01A,Green,,A47,,
276,7884,2005,3093,Field Readable,01A,Green,,A48,,
