Trial,Rand number (trial),Trial Order,Gull #,Gull ID,NestID,Nest Location,Lat,Long,Student,Times per Student,Trial Date,Trial Time,Chicks,Eggs,Score,Mate Present,Notes
Helmet,1,1,1,N77,H03,Laighton,42.98772,-70.61511,Joe,1,31-May,920,0,3,2,N,
Holding Helmet,2,2,1,N77,H03,Laighton,42.98772,-70.61511,Allie,1,1-Jun,947,0,3,0,N,
Nothing,3,3,1,N77,H03,Laighton,42.98772,-70.61511,Lyss,1,2-Jun,814,0,3,0,N,
Hat,4,4,1,N77,H03,Laighton,42.98772,-70.61511,Samuel,1,2-Jun,1607,0,3,0,N,
Holding Helmet,2,1,2,47E,H04,Dorm 1,42.98764,-70.61353,Eliza,1,31-May,930,0,3,4,N,nest is under dorm 1
Nothing,3,2,2,47E,H04,Dorm 1,42.98764,-70.61353,Maddie,1,1-Jun,658,0,3,4,N,"nest under dorm, no visibility of head"
Hat,4,3,2,47E,H04,Dorm 1,42.98764,-70.61353,Daphne,1,3-Jun,1631,0,3,4,N,bird can't even see what's on head doe
Helmet,1,4,2,47E,H04,Dorm 1,42.98764,-70.61353,Joe,2,3-Jun,1837,0,3,4,Y,mate was an 8 also definitely cant see headwear anyway
Helmet,1,1,3,L52,H05,Dorm 2,42.98724,-70.61394,Allie,2,31-May,924,0,3,4,N,
Nothing,3,2,3,L52,H05,Dorm 2,42.98724,-70.61394,Lyss,2,31-May,1201,0,3,4,N,
Holding Helmet,2,3,3,L52,H05,Dorm 2,42.98724,-70.61394,Samuel,2,1-Jun,654,0,3,2,N,
Hat,4,4,3,L52,H05,Dorm 2,42.98724,-70.61394,Eliza,2,1-Jun,940,0,3,2,Y,
Helmet,1,1,4,87E,H07,turbine,42.99037,-70.61554,Maddie,2,31-May,1727,0,2,7,N,"walk toward the turbine, gull is in bush to the left"
Holding Helmet,2,2,4,87E,H07,turbine,42.99037,-70.61554,Daphne,2,1-Jun,637,0,2,7,N,
Nothing,3,3,4,87E,H07,turbine,42.99037,-70.61554,Joe,3,1-Jun,1730,0,2,6,N,
Hat,4,4,4,87E,H07,turbine,42.99037,-70.61554,Allie,3,2-Jun,1058,0,2,6,N,
Nothing,3,1,5,U43,H09,Laighton--HTP,42.9878,-70.61545,Lyss,3,31-May,944,0,3,0,Y,in thicket; bird may not have seen me
Hat,4,2,5,U43,H09,Laighton--HTP,42.9878,-70.61545,Samuel,3,31-May,1218,0,3,4,,
Holding Helmet,2,3,5,U43,H09,Laighton--HTP,42.9878,-70.61545,Eliza,3,31-May,1713,0,3,1,N,
Helmet,1,4,5,U43,H09,Laighton--HTP,42.9878,-70.61545,Maddie,3,1-Jun,1703,0,3,0,N,def low visibility on bird's part
Helmet,4,1,6,35K,H11,Laighton--Kiggins,42.98744,-70.61494,Daphne,3,31-May,958,0,3,4,N,
Nothing,3,2,6,35K,H11,Laighton--Kiggins,42.98744,-70.61494,Joe,4,31-May,1715,0,2,4,N,
Holding Helmet,2,3,6,35K,H11,Laighton--Kiggins,42.98744,-70.61494,Allie,4,1-Jun,1707,0,2,4,N,
Hat,1,4,6,35K,H11,Laighton--Kiggins,42.98744,-70.61494,Lyss,4,3-Jun,1712,0,2,4,N,
Helmet,1,1,7,01A,H12,dock--HTP,42.98763,-70.61613,Samuel,4,31-May,920,,,4,Y,
Holding Helmet,2,2,7,01A,H12,dock--HTP,42.98763,-70.61613,Eliza,4,31-May,1155,,,4,N,"in poison ivy, approach from side to read band"
Nothing,3,3,7,01A,H12,dock--HTP,42.98763,-70.61613,Maddie,4,1-Jun,709,0,3,4,Y,
Hat,4,4,7,01A,H12,dock--HTP,42.98763,-70.61613,Daphne,4,2-Jun,1343,0,3,4,N,
Nothing,3,1,8,91E,H13,dock--HTP,42.98749,-70.61628,Joe,5,31-May,935,0,3,1,N,
Hat,4,2,8,91E,H13,dock--HTP,42.98749,-70.61628,Allie,5,1-Jun,1729,0,3,7,N,
Helmet,1,3,8,91E,H13,dock--HTP,42.98749,-70.61628,Lyss,5,2-Jun,1541,0,3,8,N,
Holding Helmet,2,4,8,91E,H13,dock--HTP,42.98749,-70.61628,Samuel,5,xx,,,,,,
Hat,4,1,9,52K,H14,dock--HTP,42.98753,-70.61601,Eliza,5,31-May,1327,0,3,1,N,"up in bushes, must go through brush to get to nest. Unclear if can see through brush to person walking. across from H13 - check that time too"
