NestID,M#1,M#2,Location,Lat,Long
5,3Z5,5FV,Bartels--bench,42.98861,-70.61175
18,3T1,5JV,DDF,42.99164,-70.61488
29,3HZ,0HU,DDF,42.99181,-70.61497
30,7F9,9FJ,trail--Sandpiper,42.9899,-70.61685
31,1FM,UB,trail--Sandpiper,42.98987,-70.61685
32,3T3,5ER,Celia's bench,42.98937,-70.61626
34,2M8,0FU,trail--Sandpiper,42.9897,-70.61688
35,7U9,0AC,FMS 5,42.9893,-70.61647
38,5EF,3KE,Siren's,42.99196,-70.61361
39,3V7,UB,Siren's,42.9919,-70.61376
41,6M4,2KE,Siren's,42.99195,-70.61365
51,3AE,6N2,Kiggins,42.98793,-70.61367
77,5KE,UB,Sandpiper,42.99049,-70.61676
78,0U0,UB,incinerator,42.98899,-70.61273
85,8FF,UB,trail--Sandpiper,42.98961,-70.6168
87,0EE,UB,Dorm 1,42.9875,-70.61368
92,7AT,UB,Siren's,42.99186,-70.61336
93,7HY,UB,Siren's,42.99187,-70.61341
95,4M3,UB,Siren's,42.99191,-70.6136
96,7HZ,UB,Siren's,42.9919,-70.6135
98,7EA,UB,Siren's,42.99165,-70.61351
101,6EN,UB,Siren's,42.99168,-70.61326
102,2P3,1JN,incinerator,42.98887,-70.61234
113,2Z0,UB,old dock (by Paint Shed),42.98881,-70.6151
115,5Y9,UB,Celia's,42.9896,-70.61604
116,8X2,UB,Celia's (rocks),42.98996,-70.61597
118,7 E 6,3HE,rock-on-trail,42.99072,-70.61501
120,5R7,0J2,Grass Lab/AIMS,42.98933,-70.61523
121,4FV,UB,Bartels--bench,42.98843,-70.61197
123,5AT,UB,Ross's Pole Barn,42.98964,-70.61457
125,3Y3,UB,bench--incinerator,42.98886,-70.61165
126,9JM,UB,bench (Gerry's),42.98877,-70.61159
128,6EC,UB,Siren's,42.99192,-70.61309
131,0AU,UB,Celia's bench,42.98943,-70.61629
139,7FL,4JN,Sandpiper,42.99054,-70.61681
