NestID,Band,Location,Lat,Lon,HatchLocation,HatchArea,HatchLat,HatchLong,dist,philo_cat
22G119,0FJ,DDF,42.99157,-70.61493,DDF,North Head-DDF,42.99158,-70.615,7.801119279746064,philo
23G45,0FX,HTP,42.98838,-70.61588,HTP,HTP-FMS 5,42.98835,-70.6159,2.4870417803290765,philo
23G60,0HX / 5J1,FMS 4,42.98901,-70.61602,FMS 4,HTP-FMS 5,42.98913,-70.6162,20.52214303885491,philo
23G54,2017-25428,Sandpiper,42.99063,-70.61675,Sandpiper,Sandpiper,42.99067,-70.6167,5.758819980461181,philo
22G44,3AP,Grass Lab,42.98916,-70.61588,FMS 5,HTP-FMS 5,42.98923,-70.616,13.606397021358452,philo
23G28,4FN,HTP,42.98825,-70.61592,HTP,HTP-FMS 5,42.98823,-70.6158,13.378761104640017,philo
23G26,4X6,HTP,42.98836,-70.6158,HTP,HTP-FMS 5,42.98815,-70.6158,7.758880899612664,philo
23G27,5KK / 3EH,HTP,42.98817,-70.61581,HTP,HTP-FMS 5,42.98801,-70.6158,6.015426207464789,philo
22G92,7AT,Siren's,42.99186,-70.61336,Siren's,Siren's,42.99194,-70.6132,18.054768600654654,philo
23G114,7EP,Sandpiper,42.99033,-70.61682,Sandpiper,Sandpiper,42.99067,-70.6167,18.336683826872516,philo
23G127,7FL,Sandpiper,42.99054,-70.61678,Sandpiper,Sandpiper,42.99073,-70.6168,7.36420581180782,philo
22G161,8J9,North Head,42.992,-70.61519,North Head,North Head-DDF,42.99223,-70.6151,13.137469523263649,philo
23G113,2017-25458,Dorm 2-3,42.98704,-70.61414,Sunset,Sunset,42.98692,-70.6159,195.97246710763446,non-philo
22G56,5AU,radio tower,42.98716,-70.61528,Bartels,campus,42.98711,-70.6134,209.28879714601626,non-philo
23G03,5FE,swale corner,42.98872,-70.61519,dock,dock,42.98715,-70.6171,220.39066012418243,non-philo
23G112,6FM,FMS 23,42.9855,-70.61219,Sandpiper,Sandpiper,42.99052,-70.6167,535.2199668220259,non-philo
22G131,0AU,Celia's bench/sumac,42.98943,-70.61629,HTP,HTP-FMS 5,42.98848,-70.6157,74.46898926967638,NA
23G24,0EK,HTP,42.98844,-70.61568,HTP,HTP-FMS 5,42.98856,-70.6155,20.522167746233535,NA
23G23,0HA,HTP/Tidepool,42.98857,-70.61548,HTP,HTP-FMS 5,42.98808,-70.6159,50.136955638485254,NA
22G114,0HX / 5J1,Dive Locker,42.98897,-70.61542,FMS 4,HTP-FMS 5,42.98913,-70.6162,87.03020506958794,NA
22G69,4FE,dock,42.98724,-70.61703,dock,dock,42.98733,-70.6168,25.818487527093414,NA
23G26,4X5,HTP,42.98836,-70.6158,HTP,HTP-FMS 5,42.98848,-70.6156,22.701069910111016,NA
23G85,5AT,Ross's Pole Barn,42.98964,-70.61457,Kiggins,campus,42.98798,-70.6139,96.56600405798315,NA
23G31,5R6,Broad N,42.98938,-70.61357,Broad,Norwegian-Broad,42.98909,-70.6133,31.909394742263757,NA
22G132,6FF,FMS 28,42.98651,-70.6179,dock,dock,42.98733,-70.6168,126.1431603306334,NA
22G142,7AP,Sandpiper,42.99062,-70.6167,Larus,Larus,42.99119,-70.6166,23.820136248007444,NA
23G13,7AV,radio tower,42.98719,-70.61532,Sunset,Sunset,42.98717,-70.6161,86.83234708895463,NA
22G58,8EP,Laighton,42.98753,-70.61544,dock--Laighton,campus,42.98721,-70.6156,21.37813120489887,NA
23G48,8FF,trail--Sandpiper,42.98961,-70.6168,Sandpiper,Sandpiper,42.98979,-70.617,23.235857571727212,NA
