NestID,Band,Location,Lat,Long,HatchLocation,HatchArea,HatchLat,HatchLong,dist
22G158,1T5,FMS 27,42.98601,-70.61816,FMS 27,FMS 27-28,NA,NA,NA
23G39,0Y4,FMS 28,42.9863,-70.61811,FMS 28,FMS 27-28,NA,NA,NA
23G37,1T4,FMS 28,42.98633,-70.61823,FMS 28,FMS 27-28,NA,NA,NA
23G20,5T9,Sunset,42.98685,-70.61602,Sunset,Sunset,NA,NA,NA
23G18,5KJ / 2AK,Sunset,42.98695,-70.61596,Sunset,Sunset,NA,NA,NA
23G14,0U4,Sunset,42.98696,-70.6158,Sunset,Sunset,NA,NA,NA
23G12,2U0,dock,42.98719,-70.61701,dock,dock,NA,NA,NA
22G69,4FE,dock,42.98724,-70.61703,dock,dock,42.98733,-70.6168,25.818487527093414
22G58,8EP,Laighton,42.98753,-70.61544,dock--Laighton,campus,42.98721,-70.6156,21.37813120489887
23G27,5KK / 3EH,HTP,42.98817,-70.61581,HTP,HTP-FMS 5,42.98801,-70.6158,6.015426207464789
23G06,3KH / 8C7,HTP,42.98819,-70.61578,dock--HTP,HTP-FMS 5,NA,NA,NA
23G25,2FL,HTP,42.98819,-70.61582,HTP,HTP-FMS 5,NA,NA,NA
23G05,2KH / 0X5,HTP,42.9882,-70.61577,HTP,HTP-FMS 5,NA,NA,NA
23G28,4FN,HTP,42.98825,-70.61592,HTP,HTP-FMS 5,42.98823,-70.6158,13.378761104640017
23G26,4X5,HTP,42.98836,-70.6158,HTP,HTP-FMS 5,42.98848,-70.6156,22.701069910111016
23G26,4X6,HTP,42.98836,-70.6158,HTP,HTP-FMS 5,42.98815,-70.6158,7.758880899612664
23G45,0FX,HTP,42.98838,-70.61588,HTP,HTP-FMS 5,42.98835,-70.6159,2.4870417803290765
23G24,0EK,HTP,42.98844,-70.61568,HTP,HTP-FMS 5,42.98856,-70.6155,20.522167746233535
23G46,0N7,HTP,42.98846,-70.61575,HTP,HTP-FMS 5,NA,NA,NA
23G23,0HA,HTP/Tidepool,42.98857,-70.61548,HTP,HTP-FMS 5,42.98808,-70.6159,50.136955638485254
22G110,0P3,HTP/Tide Pool,42.98858,-70.61542,HTP,HTP-FMS 5,NA,NA,NA
23G60,0HX / 5J1,FMS 4,42.98901,-70.61602,FMS 4,HTP-FMS 5,42.98913,-70.6162,20.52214303885491
23G48,8FF,trail--Sandpiper,42.98961,-70.6168,Sandpiper,Sandpiper,42.98979,-70.617,23.235857571727212
23G50,6AY,Sandpiper,42.9903,-70.61663,Sandpiper,Sandpiper,NA,NA,NA
23G114,7EP,Sandpiper,42.99033,-70.61682,Sandpiper,Sandpiper,42.99067,-70.6167,18.336683826872516
23G127,7FL,Sandpiper,42.99054,-70.61678,Sandpiper,Sandpiper,42.99073,-70.6168,7.364205812
23G54,2017-25428,Sandpiper,42.99063,-70.61675,Sandpiper,Sandpiper,42.99067,-70.6167,5.758819980461181
22G33,1T9,Larus,42.991,-70.61675,Larus,Larus,NA,NA,NA
23G57,0FM,Larus,42.99112,-70.61665,Larus,Larus,NA,NA,NA
23G59,7FM,Larus,42.99124,-70.61657,Larus,Larus,NA,NA,NA
23G117,6F3,Larus,42.99142,-70.61646,Larus,Larus,NA,NA,NA
22G21,3Y8,Gerry's,42.98853,-70.61089,Gerry's,Gerry's-incinerator,NA,NA,NA
23G101,8R0,Gerry's,42.98865,-70.61076,Gerry's,Gerry's-incinerator,NA,NA,NA
23G101,3Y5,Gerry's,42.98865,-70.61076,Gerry's,Gerry's-incinerator,NA,NA,NA
23G63,3Y3,bench (Gerry's)--incinerator,42.98886,-70.61165,incinerator,Gerry's-incinerator,NA,NA,NA
23G99,4F4,Gerry's,42.9889,-70.6113,Gerry's,Gerry's-incinerator,NA,NA,NA
23G81,3AN,Gerry's,42.98893,-70.61103,Gerry's,Gerry's-incinerator,NA,NA,NA
23G31,5R6,Broad N,42.98938,-70.61357,Broad,Norwegian-Broad,42.98909,-70.6133,31.909394742263757
22G147,5R8,Norwegian,42.98979,-70.61316,Norwegian,Norwegian-Broad,NA,NA,NA
23G96,9 E 0,Norwegian,42.99005,-70.61317,Norwegian,Norwegian-Broad,NA,NA,NA
23G132,1777-14164,Norwegian,42.99005,-70.61315,Norwegian,Norwegian-Broad,NA,NA,NA
23G133,6FE,Norwegian,42.99018,-70.61298,Norwegian,Norwegian-Broad,NA,NA,NA
22G159,2HF,Norwegian,42.9902,-70.61298,Norwegian,Norwegian-Broad,NA,NA,NA
23G94,0FA,Norwegian,42.99023,-70.61318,Norwegian,Norwegian-Broad,NA,NA,NA
22G103,1FE,Norwegian,42.99033,-70.61303,Norwegian,Norwegian-Broad,NA,NA,NA
22G101,6EN,Siren's,42.99168,-70.61326,Siren's,Siren's,NA,NA,NA
22G92,7AT,Siren's,42.99186,-70.61336,Siren's,Siren's,42.99194,-70.6132,18.054768600654654
22G119,0FJ,DDF,42.99157,-70.61493,DDF,North Head-DDF,42.99158,-70.615,7.801119279746064
23G42,3T1,DDF,42.99164,-70.61488,DDF,North Head-DDF,NA,NA,NA
23G120,9T1,North Head,42.99183,-70.61569,North Head,North Head-DDF,NA,NA,NA
22G161,8J9,North Head,42.992,-70.61519,North Head,North Head-DDF,42.99223,-70.6151,13.137469523263649
23G123,4FU,North Head,42.99229,-70.61467,North Head,North Head-DDF,NA,NA,NA
23G124,1Z1,North Head,42.99232,-70.61461,North Head,North Head-DDF,NA,NA,NA
