NestID,Band,Location,Lat,Long,HatchLocation,HatchArea,HatchLat,HatchLong,dist,NestArea
22G158,1T5,FMS 27,42.98601,-70.61816,FMS 27,FMS 27-28,NA,NA,NA,FMS 27-28
22G13,9P5,FMS 27,42.98619,-70.6182,FMS 28,FMS 27-28,NA,NA,NA,FMS 27-28
23G39,0Y4,FMS 28,42.9863,-70.61811,FMS 28,FMS 27-28,NA,NA,NA,FMS 27-28
23G37,1T4,FMS 28,42.98633,-70.61823,FMS 28,FMS 27-28,NA,NA,NA,FMS 27-28
22G89,0AZ,FMS 28,42.9865,-70.61795,trail--Smith's,FMS 27-28,NA,NA,NA,FMS 27-28
22G132,2AY,FMS 28,42.98651,-70.6179,trail--Smith's,FMS 27-28,NA,NA,NA,FMS 27-28
23G20,5T9,Sunset,42.98685,-70.61602,Sunset,Sunset,NA,NA,NA,Sunset
23G18,5KJ / 2AK,Sunset,42.98695,-70.61596,Sunset,Sunset,NA,NA,NA,Sunset
23G14,0U4,Sunset,42.98696,-70.6158,Sunset,Sunset,NA,NA,NA,Sunset
23G12,2U0,dock,42.98719,-70.61701,dock,dock,NA,NA,NA,dock
22G69,4FE,dock,42.98724,-70.61703,dock,dock,42.98733,-70.6168,25.818487527093414,dock
23G27,5KK / 3EH,HTP,42.98817,-70.61581,HTP,HTP-Tidepool,42.98801,-70.6158,6.015426207464789,HTP-Tidepool
22G86,5Y4,HTP,42.98817,-70.61583,wastewater trt,HTP-Tidepool,NA,NA,NA,HTP-Tidepool
23G25,2FL,HTP,42.98819,-70.61582,HTP,HTP-Tidepool,NA,NA,NA,HTP-Tidepool
23G05,2KH / 0X5,HTP,42.9882,-70.61577,HTP,HTP-Tidepool,NA,NA,NA,HTP-Tidepool
23G28,4FN,HTP,42.98825,-70.61592,HTP,HTP-Tidepool,42.98823,-70.6158,13.378761104640017,HTP-Tidepool
23G26,4X5,HTP,42.98836,-70.6158,HTP,HTP-Tidepool,42.98848,-70.6156,22.701069910111016,HTP-Tidepool
23G26,4X6,HTP,42.98836,-70.6158,HTP,HTP-Tidepool,42.98815,-70.6158,7.758880899612664,HTP-Tidepool
23G45,0FX,HTP,42.98838,-70.61588,HTP,HTP-Tidepool,42.98835,-70.6159,2.4870417803290765,HTP-Tidepool
23G24,0EK,HTP,42.98844,-70.61568,HTP,HTP-Tidepool,42.98856,-70.6155,20.522167746233535,HTP-Tidepool
23G46,0N7,HTP,42.98846,-70.61575,HTP,HTP-Tidepool,NA,NA,NA,HTP-Tidepool
23G22,2HZ / 8F7,swale,42.98848,-70.61532,HTP--Paint Shed,HTP-Tidepool,NA,NA,NA,HTP-Tidepool
23G23,0HA,HTP/Tidepool,42.98857,-70.61548,HTP,HTP-Tidepool,42.98808,-70.6159,50.136955638485254,HTP-Tidepool
23G03,0P3,swale corner,42.98872,-70.61519,HTP,HTP-Tidepool,NA,NA,NA,HTP-Tidepool
22G76,5Y3,Paint Shed,42.98876,-70.61531,wastewater trt,HTP-Tidepool,NA,NA,NA,HTP-Tidepool
23G60,0HX / 5J1,FMS 4,42.98901,-70.61602,FMS 4,Dive Locker-FMS 4,42.98913,-70.6162,20.52214303885491,FMS 4
22G152,1777-28114,FMS 4,42.98901,-70.61606,Dive Locker,Dive Locker-FMS 4,NA,NA,NA,FMS 4
22G44,3AP,Grass Lab,42.98916,-70.61588,FMS 5,FMS 5-Grass,42.98923,-70.616,13.606397021358452,FMS 5-Grass
23G48,8FF,trail--Sandpiper,42.98961,-70.6168,Sandpiper,Sandpiper-Larus,42.98979,-70.617,23.235857571727212,Sandpiper-Larus
23G50,6AY,Sandpiper,42.9903,-70.61663,Sandpiper,Sandpiper-Larus,NA,NA,NA,Sandpiper-Larus
23G114,7EP,Sandpiper,42.99033,-70.61682,Sandpiper,Sandpiper-Larus,42.99067,-70.6167,18.336683826872516,Sandpiper-Larus
23G127,7FL,Sandpiper,42.99054,-70.61678,Sandpiper,Sandpiper-Larus,42.99073,-70.6168,7.364205812,Sandpiper-Larus
22G142,7AP,Sandpiper,42.99062,-70.6167,Larus,Sandpiper-Larus,42.99119,-70.6166,23.820136248007444,Sandpiper-Larus
23G54,2017-25428,Sandpiper,42.99063,-70.61675,Sandpiper,Sandpiper-Larus,42.99067,-70.6167,5.758819980461181,Sandpiper-Larus
23G51,7Z4,Sandpiper,42.99069,-70.61664,Larus,Sandpiper-Larus,NA,NA,NA,Sandpiper-Larus
23G52,5F6,Sandpiper,42.99072,-70.6168,Larus,Sandpiper-Larus,NA,NA,NA,Sandpiper-Larus
22G33,1T9,Sandpiper,42.991,-70.61675,Larus,Sandpiper-Larus,NA,NA,NA,Sandpiper-Larus
23G57,0FM,Larus,42.99112,-70.61665,Larus,Sandpiper-Larus,NA,NA,NA,Sandpiper-Larus
23G59,7FM,Larus,42.99124,-70.61657,Larus,Sandpiper-Larus,NA,NA,NA,Sandpiper-Larus
23G117,6F3,Larus,42.99142,-70.61646,Larus,Sandpiper-Larus,NA,NA,NA,Sandpiper-Larus
23G103,6J3,stone bridge,42.98838,-70.61083,Gerry's,Gerry's-stone bridge,NA,NA,NA,Gerry's-stone bridge
22G21,3Y8,Gerry's,42.98853,-70.61089,Gerry's,Gerry's-stone bridge,NA,NA,NA,Gerry's-stone bridge
23G101,3Y5,Gerry's,42.98865,-70.61076,Gerry's,Gerry's-stone bridge,NA,NA,NA,Gerry's-stone bridge
23G129,8R0,Gerry's,42.98865,-70.61076,Gerry's,Gerry's-stone bridge,NA,NA,NA,Gerry's-stone bridge
23G99,4F4,Gerry's,42.9889,-70.6113,Gerry's,Gerry's-stone bridge,NA,NA,NA,Gerry's-stone bridge
23G81,3AN,Gerry's,42.98893,-70.61103,Gerry's,Gerry's-stone bridge,NA,NA,NA,Gerry's-stone bridge
23G31,5R6,Broad N,42.98938,-70.61357,Broad,Broad,42.98909,-70.6133,31.909394742263757,Broad N
22G147,5R8,Norwegian,42.98979,-70.61316,Norwegian,Norwegian-FMS 15,NA,NA,NA,Norwegian-FMS 15
23G96,9 E 0,Norwegian,42.99005,-70.61317,Norwegian,Norwegian-FMS 15,NA,NA,NA,Norwegian-FMS 15
23G132,1777-14164,Norwegian,42.99005,-70.61315,Norwegian,Norwegian-FMS 15,NA,NA,NA,Norwegian-FMS 15
23G133,6FE,Norwegian,42.99018,-70.61298,Norwegian,Norwegian-FMS 15,NA,NA,NA,Norwegian-FMS 15
22G159,2HF,Norwegian,42.9902,-70.61298,Norwegian,Norwegian-FMS 15,NA,NA,NA,Norwegian-FMS 15
23G94,0FA,Norwegian,42.99023,-70.61318,Norwegian,Norwegian-FMS 15,NA,NA,NA,Norwegian-FMS 15
22G103,1FE,Norwegian,42.99033,-70.61303,Norwegian,Norwegian-FMS 15,NA,NA,NA,Norwegian-FMS 15
22G105,5EX,FMS 15,42.991,-70.61277,Norwegian,Norwegian-FMS 15,NA,NA,NA,Norwegian-FMS 15
23G91,5X3,FMS 15,42.99118,-70.61291,Norwegian,Norwegian-FMS 15,NA,NA,NA,Norwegian-FMS 15
22G83,2U2,FMS 15,42.99139,-70.613,Norwegian,Norwegian-FMS 15,NA,NA,NA,Norwegian-FMS 15
22G101,6EN,Siren's,42.99168,-70.61326,Siren's,FMS 14-Siren's,NA,NA,NA,FMS 14-Siren's
22G134,9AL,Siren's,42.99179,-70.61316,FMS 13,Siren's,NA,NA,NA,FMS 14-Siren's
22G92,7AT,Siren's,42.99186,-70.61336,Siren's,FMS 14-Siren's,42.99194,-70.6132,18.054768600654654,FMS 14-Siren's
22G119,0FJ,DDF,42.99157,-70.61493,DDF,DDF,42.99158,-70.615,7.801119279746064,DDF
23G42,3T1,DDF,42.99164,-70.61488,DDF,DDF,NA,NA,NA,DDF
22G161,8J9,North Head,42.992,-70.61519,North Head,North Head,42.99223,-70.6151,13.137469523263649,North Head
23G123,4FU,North Head,42.99229,-70.61467,North Head,North Head,NA,NA,NA,North Head
23G124,1Z1,North Head,42.99232,-70.61461,North Head,North Head,NA,NA,NA,North Head
