"FRAGMENT INTERVAL";"FRAGS";"PERCENT";"FRAGS WITH Ns";
"        1-25       ";4946;5.786893493547368;0;
"       26-50       ";7354;8.604289274473786;2;
"       51-75       ";7169;8.387836525523873;6;
"       76-100      ";6261;7.325463033380524;7;
"      101-125      ";5903;6.9065977137909655;11;
"      126-150      ";5032;5.887514771437597;11;
"      151-175      ";4461;5.219436286840843;12;
"      176-200      ";4218;4.935122676057986;21;
"      201-225      ";3530;4.130152452936152;11;
"      226-250      ";3288;3.847008857012484;18;
"      251-275      ";2930;3.428143537422925;15;
"      276-300      ";2527;2.9566275491698746;12;
"      301-325      ";2225;2.6032830616948837;18;
"      326-350      ";2110;2.468731352888182;16;
"      351-375      ";1891;2.212498098725854;10;
"      376-400      ";1703;1.992535305198376;17;
"      401-425      ";1454;1.7012016052603869;15;
"      426-450      ";1464;1.712901753852274;17;
"      451-475      ";1224;1.4320981876469832;13;
"      476-500      ";1144;1.3384969989118862;10;
"      501-525      ";1006;1.177034948343844;11;
"      526-550      ";964;1.127894324257918;12;
"      551-575      ";817;0.9559021399571774;11;
"      576-600      ";775;0.9067615158712515;5;
"      601-625      ";681;0.7967801191075127;19;
"      626-650      ";675;0.7897600299523804;14;
"      651-675      ";539;0.6306380091027156;15;
"      676-700      ";515;0.6025576524821865;15;
"      701-725      ";539;0.6306380091027156;12;
"      726-750      ";441;0.5159765529022219;13;
"      751-775      ";421;0.4925762557184476;15;
"      776-800      ";370;0.43290549789982335;18;
"      801-825      ";344;0.4024851115609168;9;
"      826-850      ";358;0.4188653195895588;7;
"      851-875      ";324;0.3790848143771426;8;
"      876-900      ";270;0.31590401198095214;15;
"      901-925      ";306;0.3580245469117458;17;
"      926-950      ";297;0.3474944131790474;8;
"      951-975      ";230;0.2691034176134037;14;
"      976-1000     ";224;0.2620833284582714;7;
"     1001-1025     ";199;0.23283295697855363;16;
"     1026-1050     ";196;0.22932291240098748;14;
"     1051-1075     ";209;0.24453310557044075;10;
"     1076-1100     ";161;0.18837239232938258;3;
"     1101-1125     ";140;0.16380208028641963;5;
"     1126-1150     ";130;0.1521019316945325;9;
"     1151-1175     ";125;0.14625185739858895;2;
"     1176-1200     ";145;0.16965215458236318;11;
"     1201-1225     ";129;0.15093191683534382;10;
"     1226-1250     ";117;0.13689173852507927;8;
"     1251-1275     ";104;0.12168154535562602;6;
"     1276-1300     ";88;0.10296130760860663;4;
"     1301-1325     ";102;0.1193415156372486;10;
"     1326-1350     ";88;0.10296130760860663;7;
"     1351-1375     ";87;0.10179129274941792;11;
"     1376-1400     ";81;0.09477120359428565;5;
"     1401-1425     ";85;0.09945126303104049;8;
"     1426-1450     ";83;0.09711123331266307;5;
"     1451-1475     ";91;0.10647135218617276;20;
"     1476-1500     ";91;0.10647135218617276;10;
"     1501-1525     ";71;0.08307105500239853;7;
"     1526-1550     ";69;0.08073102528402111;13;
"     1551-1575     ";61;0.07137090641051141;4;
"     1576-1600     ";70;0.08190104014320981;10;
"     1601-1625     ";62;0.07254092126970013;12;
