"FRAGMENT INTERVAL";"FRAGS";"PERCENT";"FRAGS WITH Ns";
"        1-25       ";40260;10.728590120423494;0;
"       26-50       ";50791;13.534918549588417;13;
"       51-75       ";42473;11.318316149645979;42;
"       76-100      ";34140;9.09771651046344;83;
"      101-125      ";28172;7.50734825813638;101;
"      126-150      ";23649;6.302047385938779;143;
"      151-175      ";20448;5.449036532101828;118;
"      176-200      ";16694;4.448660791613259;143;
"      201-225      ";14580;3.8853165413754236;158;
"      226-250      ";12551;3.344623313498144;155;
"      251-275      ";10484;2.7938037462126157;133;
"      276-300      ";9101;2.4252582882755642;138;
"      301-325      ";7832;2.087091848563259;147;
"      326-350      ";6906;1.8403289461411985;138;
"      351-375      ";6026;1.605824244055439;131;
"      376-400      ";5296;1.4112919343706614;129;
"      401-425      ";4638;1.2359463730383549;130;
"      426-450      ";4052;1.0797875600585196;138;
"      451-475      ";3473;0.9254941253907302;106;
"      476-500      ";3049;0.8125054962039552;127;
"      501-525      ";2705;0.7208354762977037;119;
"      526-550      ";2486;0.6624757833922704;96;
"      551-575      ";2188;0.5830639638223201;111;
"      576-600      ";1935;0.5156438619726642;101;
"      601-625      ";1774;0.4727401607956105;121;
"      626-650      ";1544;0.4114491591141052;105;
"      651-675      ";1406;0.374674558105202;112;
"      676-700      ";1275;0.33976533540834464;97;
"      701-725      ";1140;0.30379018224746107;100;
"      726-750      ";984;0.2622188941504401;82;
"      751-775      ";867;0.23104042807767436;91;
"      776-800      ";821;0.2187822277413733;74;
"      801-825      ";790;0.2105212666451704;87;
"      826-850      ";713;0.19000210521266644;77;
"      851-875      ";634;0.16894997854814942;80;
"      876-900      ";597;0.15909012175590725;76;
"      901-925      ";528;0.14070282125145567;64;
"      926-950      ";514;0.13697206462736403;73;
"      951-975      ";436;0.11618642057885353;74;
"      976-1000     ";440;0.11725235104287972;72;
"     1001-1025     ";403;0.10739249425063756;73;
"     1026-1050     ";321;0.08554091973810088;60;
"     1051-1075     ";310;0.08260961096202889;50;
"     1076-1100     ";288;0.0767469934098849;60;
"     1101-1125     ";272;0.07248327155378019;66;
"     1126-1150     ";249;0.06635417138562966;61;
"     1151-1175     ";237;0.06315637999355111;63;
"     1176-1200     ";225;0.05995858860147258;59;
"     1201-1225     ";199;0.05303004058530242;54;
"     1226-1250     ";191;0.05089817965725006;53;
"     1251-1275     ";180;0.04796687088117807;49;
"     1276-1300     ";174;0.0463679751851388;62;
"     1301-1325     ";171;0.045568527337119163;45;
"     1326-1350     ";144;0.03837349670494245;44;
"     1351-1375     ";107;0.028513639912700294;40;
"     1376-1400     ";140;0.03730756624091627;56;
"     1401-1425     ";141;0.037574048856922816;52;
"     1426-1450     ";117;0.031178466072765743;46;
"     1451-1475     ";110;0.02931308776071993;36;
"     1476-1500     ";93;0.024782883288608667;31;
"     1501-1525     ";100;0.02664826160065448;38;
"     1526-1550     ";91;0.024249918056595578;37;
"     1551-1575     ";89;0.02371695282458249;41;
"     1576-1600     ";78;0.020785644048510497;31;
"     1601-1625     ";56;0.01492302649636651;29;
"     1626-1650     ";101;0.026914744216661027;51;
"     1651-1675     ";76;0.020252678816497404;27;
"     1676-1700     ";90;0.023983435440589035;46;
"     1701-1725     ";69;0.01838730050445159;36;
"     1726-1750     ";71;0.018920265736464683;33;
"     1751-1775     ";56;0.01492302649636651;25;
"     1776-1800     ";60;0.015988956960392688;30;
"     1801-1825     ";54;0.01439006126435342;24;
"     1826-1850     ";59;0.015722474344386145;32;
"     1851-1875     ";63;0.016788404808412323;30;
"     1876-1900     ";48;0.012791165568314151;23;
"     1901-1925     ";47;0.012524682952307607;19;
"     1926-1950     ";42;0.011192269872274882;23;
"     1951-1975     ";52;0.013857096032340331;21;
"     1976-2000     ";38;0.010126339408248702;21;
"     2001-2025     ";31;0.008260961096202888;21;
"     2026-2050     ";34;0.009060408944222524;13;
"     2051-2075     ";48;0.012791165568314151;27;
"     2076-2100     ";37;0.009859856792242157;21;
"     2101-2125     ";42;0.011192269872274882;25;
"     2126-2150     ";27;0.00719503063217671;14;
"     2151-2175     ";22;0.005862617552143986;10;
"     2176-2200     ";29;0.007727995864189799;17;
"     2201-2225     ";32;0.008527443712209435;19;
"     2226-2250     ";35;0.009326891560229068;18;
"     2251-2275     ";23;0.006129100168150531;14;
"     2276-2300     ";21;0.005596134936137441;11;
"     2301-2325     ";20;0.0053296523201308964;16;
"     2326-2350     ";23;0.006129100168150531;18;
"     2351-2375     ";26;0.0069285480161701656;18;
