"FRAGMENT INTERVAL";"FRAGS";"PERCENT";"FRAGS WITH Ns";
"        1-25       ";294;0.47428534555075175;0;
"       26-50       ";361;0.5823707814415693;0;
"       51-75       ";400;0.6452861844227915;0;
"       76-100      ";379;0.611408659740595;0;
"      101-125      ";419;0.6759372781828741;2;
"      126-150      ";404;0.6517390462670194;0;
"      151-175      ";372;0.6001161515131961;0;
"      176-200      ";442;0.7130412337871846;1;
"      201-225      ";487;0.7856359295347487;2;
"      226-250      ";407;0.6565786926501903;4;
"      251-275      ";379;0.611408659740595;1;
"      276-300      ";387;0.6243143834290508;1;
"      301-325      ";420;0.677550493643931;2;
"      326-350      ";403;0.6501258308059624;2;
"      351-375      ";409;0.6598051235723044;3;
"      376-400      ";382;0.6162483061237659;2;
"      401-425      ";389;0.6275408143511647;4;
"      426-450      ";398;0.6420597535006776;6;
"      451-475      ";419;0.6759372781828741;0;
"      476-500      ";355;0.5726914886752275;4;
"      501-525      ";398;0.6420597535006776;3;
"      526-550      ";374;0.60334258243531;1;
"      551-575      ";383;0.6178615215848229;3;
"      576-600      ";401;0.6468993998838485;1;
"      601-625      ";356;0.5743047041362844;3;
"      626-650      ";362;0.5839839969026264;3;
"      651-675      ";381;0.6146350906627089;3;
"      676-700      ";376;0.606569013357424;3;
"      701-725      ";372;0.6001161515131961;5;
"      726-750      ";354;0.5710782732141705;3;
"      751-775      ";360;0.5807575659805123;5;
"      776-800      ";357;0.5759179195973414;5;
"      801-825      ";367;0.5920500742079112;1;
"      826-850      ";350;0.5646254113699426;4;
"      851-875      ";391;0.6307672452732787;1;
"      876-900      ";360;0.5807575659805123;7;
"      901-925      ";365;0.5888236432857973;4;
"      926-950      ";329;0.530747886687746;4;
"      951-975      ";296;0.4775117764728657;4;
"      976-1000     ";349;0.5630121959088856;6;
"     1001-1025     ";330;0.532361102148803;5;
"     1026-1050     ";363;0.5855972123636833;5;
"     1051-1075     ";342;0.5517196876814867;4;
"     1076-1100     ";324;0.5226818093824611;5;
"     1101-1125     ";328;0.529134671226689;6;
"     1126-1150     ";302;0.4871910692392076;7;
"     1151-1175     ";309;0.49848357746660643;4;
"     1176-1200     ";290;0.46783248370652386;8;
"     1201-1225     ";337;0.5436536103762019;6;
"     1226-1250     ";295;0.4758985610118087;1;
"     1251-1275     ";287;0.4629928373233529;5;
"     1276-1300     ";317;0.5113893011550623;3;
"     1301-1325     ";317;0.5113893011550623;9;
"     1326-1350     ";307;0.4952571465444925;6;
"     1351-1375     ";278;0.4484738981738401;6;
"     1376-1400     ";298;0.4807382073949797;8;
"     1401-1425     ";302;0.4871910692392076;6;
"     1426-1450     ";290;0.46783248370652386;9;
"     1451-1475     ";297;0.4791249919339227;4;
"     1476-1500     ";304;0.4904175001613216;4;
"     1501-1525     ";283;0.456539975479125;11;
"     1526-1550     ";292;0.4710589146286378;7;
"     1551-1575     ";279;0.45008711363489706;9;
"     1576-1600     ";280;0.45170032909595403;8;
"     1601-1625     ";267;0.43072852810221335;11;
"     1626-1650     ";272;0.4387946054074982;7;
"     1651-1675     ";255;0.4113699425695296;13;
"     1676-1700     ";256;0.41298315803058655;9;
"     1701-1725     ";259;0.4178228044137575;8;
"     1726-1750     ";266;0.4291153126411564;6;
"     1751-1775     ";280;0.45170032909595403;5;
"     1776-1800     ";294;0.47428534555075175;10;
"     1801-1825     ";250;0.40330386526424467;7;
"     1826-1850     ";288;0.46460605278440986;7;
"     1851-1875     ";273;0.4404078208685552;7;
"     1876-1900     ";262;0.42266245079692844;12;
"     1901-1925     ";279;0.45008711363489706;4;
"     1926-1950     ";242;0.39039814157578884;9;
"     1951-1975     ";259;0.4178228044137575;9;
"     1976-2000     ";236;0.380718848809447;6;
"     2001-2025     ";250;0.40330386526424467;8;
"     2026-2050     ";245;0.3952377879589598;12;
"     2051-2075     ";224;0.36136026327676324;6;
"     2076-2100     ";264;0.4258888817190424;7;
"     2101-2125     ";253;0.40814351164741564;9;
"     2126-2150     ";251;0.4049170807253017;11;
"     2151-2175     ";236;0.380718848809447;9;
"     2176-2200     ";212;0.3420016777440795;12;
"     2201-2225     ";242;0.39039814157578884;5;
"     2226-2250     ";224;0.36136026327676324;6;
"     2251-2275     ";221;0.3565206168935923;6;
"     2276-2300     ";256;0.41298315803058655;5;
"     2301-2325     ";214;0.34522810866619347;11;
"     2326-2350     ";246;0.3968510034200168;13;
"     2351-2375     ";205;0.33070916951668067;10;
"     2376-2400     ";196;0.3161902303671678;11;
"     2401-2425     ";253;0.40814351164741564;9;
"     2426-2450     ";187;0.301671291217655;5;
"     2451-2475     ";233;0.37587920242627604;10;
"     2476-2500     ";205;0.33070916951668067;13;
"     2501-2525     ";217;0.3500677550493644;4;
"     2526-2550     ";217;0.3500677550493644;15;
"     2551-2575     ";221;0.3565206168935923;6;
"     2576-2600     ";236;0.380718848809447;10;
"     2601-2625     ";217;0.3500677550493644;7;
"     2626-2650     ";219;0.3532941859714783;12;
"     2651-2675     ";221;0.3565206168935923;4;
"     2676-2700     ";180;0.29037878299025616;7;
"     2701-2725     ";197;0.31780344582822484;10;
"     2726-2750     ";207;0.3339356004387946;10;
"     2751-2775     ";205;0.33070916951668067;5;
"     2776-2800     ";188;0.303284506678712;6;
"     2801-2825     ";197;0.31780344582822484;7;
"     2826-2850     ";170;0.2742466283796864;8;
"     2851-2875     ";168;0.27102019745757244;7;
"     2876-2900     ";182;0.29360521391237016;5;
"     2901-2925     ";197;0.31780344582822484;10;
"     2926-2950     ";189;0.304897722139769;10;
"     2951-2975     ";182;0.29360521391237016;11;
"     2976-3000     ";188;0.303284506678712;5;
"     3001-3025     ";184;0.2968316448344841;7;
"     3026-3050     ";179;0.2887655675291992;9;
"     3051-3075     ";185;0.29844486029554107;13;
"     3076-3100     ";186;0.30005807575659804;8;
"     3101-3125     ";207;0.3339356004387946;13;
"     3126-3150     ";186;0.30005807575659804;8;
"     3151-3175     ";173;0.2790862747628573;7;
"     3176-3200     ";201;0.3242563076724527;14;
"     3201-3225     ";176;0.28392592114602827;11;
"     3226-3250     ";167;0.26940698199651547;8;
"     3251-3275     ";176;0.28392592114602827;8;
"     3276-3300     ";175;0.2823127056849713;11;
"     3301-3325     ";154;0.24843518100277473;9;
"     3326-3350     ";171;0.27585984384074336;10;
"     3351-3375     ";174;0.2806994902239143;11;
"     3376-3400     ";178;0.2871523520681422;11;
"     3401-3425     ";172;0.27747305930180033;9;
"     3426-3450     ";173;0.2790862747628573;9;
"     3451-3475     ";166;0.2677937665354585;7;
"     3476-3500     ";161;0.2597276892301736;12;
"     3501-3525     ";145;0.23391624185326193;11;
"     3526-3550     ";161;0.2597276892301736;6;
"     3551-3575     ";154;0.24843518100277473;5;
"     3576-3600     ";152;0.2452087500806608;10;
"     3601-3625     ";157;0.25327482738594564;4;
"     3626-3650     ";151;0.2435955346196038;14;
"     3651-3675     ";150;0.24198231915854682;8;
"     3676-3700     ";151;0.2435955346196038;9;
"     3701-3725     ";163;0.26295412015228753;10;
"     3726-3750     ";144;0.23230302639220493;9;
"     3751-3775     ";138;0.22262373362586307;11;
"     3776-3800     ";157;0.25327482738594564;11;
"     3801-3825     ";145;0.23391624185326193;7;
"     3826-3850     ";154;0.24843518100277473;7;
"     3851-3875     ";140;0.22585016454797702;8;
"     3876-3900     ";141;0.22746338000903402;11;
"     3901-3925     ";130;0.20971800993740725;11;
"     3926-3950     ";132;0.2129444408595212;7;
"     3951-3975     ";159;0.25650125830805964;7;
"     3976-4000     ";124;0.20003871717106536;9;
"     4001-4025     ";130;0.20971800993740725;10;
"     4026-4050     ";132;0.2129444408595212;11;
"     4051-4075     ";142;0.229076595470091;7;
"     4076-4100     ";132;0.2129444408595212;11;
"     4101-4125     ";135;0.21778408724269213;6;
"     4126-4150     ";134;0.21617087178163516;8;
"     4151-4175     ";129;0.20810479447635027;10;
"     4176-4200     ";163;0.26295412015228753;18;
"     4201-4225     ";122;0.19681228624895142;9;
"     4226-4250     ";162;0.26134090469123056;15;
"     4251-4275     ";124;0.20003871717106536;10;
"     4276-4300     ";128;0.20649157901529328;11;
"     4301-4325     ";135;0.21778408724269213;12;
"     4326-4350     ";128;0.20649157901529328;15;
"     4351-4375     ";130;0.20971800993740725;12;
"     4376-4400     ";119;0.19197263986578048;6;
"     4401-4425     ";115;0.18551977802155256;8;
"     4426-4450     ";119;0.19197263986578048;10;
"     4451-4475     ";101;0.16293476156675485;4;
"     4476-4500     ";122;0.19681228624895142;3;
"     4501-4525     ";136;0.2193973027037491;10;
"     4526-4550     ";132;0.2129444408595212;17;
"     4551-4575     ";96;0.15486868426146996;6;
"     4576-4600     ";119;0.19197263986578048;6;
"     4601-4625     ";139;0.22423694908692005;6;
"     4626-4650     ";106;0.17100083887203976;7;
"     4651-4675     ";115;0.18551977802155256;11;
"     4676-4700     ";141;0.22746338000903402;13;
"     4701-4725     ";95;0.153255468800413;9;
"     4726-4750     ";116;0.18713299348260953;12;
"     4751-4775     ";102;0.16454797702781185;8;
"     4776-4800     ";116;0.18713299348260953;8;
"     4801-4825     ";98;0.1580951151835839;11;
"     4826-4850     ";122;0.19681228624895142;10;
"     4851-4875     ";107;0.17261405433309673;9;
"     4876-4900     ";98;0.1580951151835839;8;
"     4901-4925     ";110;0.17745370071626768;7;
"     4926-4950     ";120;0.19358585532683745;12;
"     4951-4975     ";106;0.17100083887203976;9;
"     4976-5000     ";120;0.19358585532683745;12;
"     5001-5025     ";116;0.18713299348260953;10;
"     5026-5050     ";143;0.23068981093114796;10;
"     5051-5075     ";84;0.13551009872878622;14;
"     5076-5100     ";111;0.17906691617732465;18;
"     5101-5125     ";104;0.1677744079499258;9;
"     5126-5150     ";133;0.2145576563205782;10;
"     5151-5175     ";101;0.16293476156675485;12;
"     5176-5200     ";97;0.15648189972252693;6;
"     5201-5225     ";105;0.16938762341098276;10;
"     5226-5250     ";108;0.1742272697941537;12;
"     5251-5275     ";82;0.13228366780667225;6;
"     5276-5300     ";89;0.1435761760340711;10;
"     5301-5325     ";106;0.17100083887203976;6;
"     5326-5350     ";88;0.14196296057301414;8;
"     5351-5375     ";86;0.13873652965090016;5;
"     5376-5400     ";91;0.14680260695618508;10;
"     5401-5425     ";104;0.1677744079499258;7;
"     5426-5450     ";93;0.15002903787829902;8;
"     5451-5475     ";99;0.1597083306446409;10;
"     5476-5500     ";80;0.1290572368845583;4;
"     5501-5525     ";84;0.13551009872878622;8;
"     5526-5550     ";83;0.13389688326772925;12;
"     5551-5575     ";91;0.14680260695618508;6;
"     5576-5600     ";90;0.14518939149512808;9;
"     5601-5625     ";85;0.1371233141898432;5;
"     5626-5650     ";95;0.153255468800413;9;
"     5651-5675     ";80;0.1290572368845583;9;
"     5676-5700     ";96;0.15486868426146996;4;
"     5701-5725     ";75;0.12099115957927341;5;
"     5726-5750     ";82;0.13228366780667225;10;
"     5751-5775     ";79;0.12744402142350134;9;
"     5776-5800     ";63;0.10163257404658967;5;
"     5801-5825     ";61;0.09840614312447571;12;
"     5826-5850     ";93;0.15002903787829902;9;
"     5851-5875     ";75;0.12099115957927341;7;
"     5876-5900     ";81;0.13067045234561528;7;
"     5901-5925     ";85;0.1371233141898432;5;
"     5926-5950     ";73;0.11776472865715945;6;
"     5951-5975     ";87;0.14034974511195716;9;
"     5976-6000     ";89;0.1435761760340711;14;
"     6001-6025     ";81;0.13067045234561528;10;
"     6026-6050     ";79;0.12744402142350134;13;
"     6051-6075     ";66;0.1064722204297606;8;
"     6076-6100     ";83;0.13389688326772925;9;
"     6101-6125     ";85;0.1371233141898432;12;
"     6126-6150     ";88;0.14196296057301414;12;
"     6151-6175     ";80;0.1290572368845583;11;
"     6176-6200     ";85;0.1371233141898432;12;
"     6201-6225     ";62;0.10001935858553268;4;
"     6226-6250     ";67;0.10808543589081758;8;
"     6251-6275     ";84;0.13551009872878622;11;
"     6276-6300     ";66;0.1064722204297606;13;
