"FRAGMENT INTERVAL";"FRAGS";"PERCENT";"FRAGS WITH Ns";
"        1-25       ";2271;1.0141380942599159;1;
"       26-50       ";2786;1.2441165700608214;1;
"       51-75       ";2712;1.2110711191690409;0;
"       76-100      ";2668;1.191422472692847;1;
"      101-125      ";2734;1.2208954424071379;0;
"      126-150      ";2676;1.1949949538703368;2;
"      151-175      ";2566;1.145873337679852;2;
"      176-200      ";2546;1.1369421347361277;2;
"      201-225      ";2544;1.1360490144417552;4;
"      226-250      ";2400;1.0717443532469388;9;
"      251-275      ";2491;1.1123813266408853;7;
"      276-300      ";2406;1.074423714130056;9;
"      301-325      ";2352;1.050309466182;6;
"      326-350      ";2337;1.0436110639742067;6;
"      351-375      ";2242;1.0011878499915154;7;
"      376-400      ";2273;1.0150312145542884;8;
"      401-425      ";2253;1.0061000116105638;6;
"      426-450      ";2316;1.034233300883296;9;
"      451-475      ";2177;0.9721614404244108;12;
"      476-500      ";2184;0.9752873614547143;8;
"      501-525      ";2226;0.9940428876365358;13;
"      526-550      ";2124;0.9484937526235409;11;
"      551-575      ";2075;0.9266123054114158;11;
"      576-600      ";2225;0.9935963274893496;12;
"      601-625      ";2043;0.9123223807014567;13;
"      626-650      ";2012;0.8984790161386838;10;
"      651-675      ";1975;0.8819562906927935;9;
"      676-700      ";2037;0.9096430198183393;20;
"      701-725      ";1929;0.8614145239222271;11;
"      726-750      ";1832;0.8180981896451633;18;
"      751-775      ";1823;0.8140791483204873;10;
"      776-800      ";1818;0.8118463475845562;23;
"      801-825      ";1809;0.8078273062598802;19;
"      826-850      ";1827;0.8158653889092322;21;
"      851-875      ";1782;0.7957701822858521;23;
"      876-900      ";1669;0.7453088856538087;14;
"      901-925      ";1785;0.7971098627274108;15;
"      926-950      ";1641;0.7328052015325944;23;
"      951-975      ";1699;0.7587056900693955;17;
"      976-1000     ";1679;0.749774487125671;35;
"     1001-1025     ";1666;0.7439692052122501;16;
"     1026-1050     ";1607;0.7176221565282628;22;
"     1051-1075     ";1637;0.7310189609438495;25;
"     1076-1100     ";1572;0.701992551376745;21;
"     1101-1125     ";1560;0.6966338296105102;20;
"     1126-1150     ";1553;0.6935079085802067;22;
"     1151-1175     ";1476;0.6591227772468674;17;
"     1176-1200     ";1552;0.6930613484330205;26;
"     1201-1225     ";1466;0.6546571757750052;21;
"     1226-1250     ";1397;0.6238445256191556;18;
"     1251-1275     ";1488;0.664481499013102;21;
"     1276-1300     ";1510;0.6743058222511991;20;
"     1301-1325     ";1394;0.622504845177597;20;
"     1326-1350     ";1408;0.6287566872382041;25;
"     1351-1375     ";1403;0.626523886502273;29;
"     1376-1400     ";1321;0.5899059544330025;24;
"     1401-1425     ";1408;0.6287566872382041;29;
"     1426-1450     ";1331;0.5943715559048648;30;
"     1451-1475     ";1289;0.5756160297230434;23;
"     1476-1500     ";1357;0.6059821197317067;35;
"     1501-1525     ";1252;0.5590933042771531;25;
"     1526-1550     ";1221;0.5452499397143802;31;
"     1551-1575     ";1230;0.5492689810390562;29;
"     1576-1600     ";1195;0.5336393758875383;41;
"     1601-1625     ";1167;0.521135691766324;32;
"     1626-1650     ";1255;0.5604329847187117;29;
"     1651-1675     ";1162;0.5189028910303929;22;
"     1676-1700     ";1159;0.5175632105888343;31;
"     1701-1725     ";1170;0.5224753722078826;30;
"     1726-1750     ";1167;0.521135691766324;32;
"     1751-1775     ";1096;0.4894299213161021;36;
"     1776-1800     ";1091;0.48719712058017095;28;
"     1801-1825     ";1095;0.48898336116891583;39;
"     1826-1850     ";1066;0.4760331169005153;28;
"     1851-1875     ";1145;0.5113113685282271;37;
"     1876-1900     ";1067;0.47647967704770156;37;
"     1901-1925     ";1067;0.47647967704770156;26;
"     1926-1950     ";1020;0.455491350129949;36;
"     1951-1975     ";1044;0.4662087936624184;34;
"     1976-2000     ";1039;0.4639759929264873;25;
"     2001-2025     ";942;0.4206596586494235;34;
"     2026-2050     ";1018;0.4545982298355766;29;
"     2051-2075     ";988;0.4412014254199898;15;
"     2076-2100     ";1007;0.44968606821652807;37;
"     2101-2125     ";965;0.43093054203470665;32;
"     2126-2150     ";896;0.40011789187885716;24;
"     2151-2175     ";929;0.41485437673600256;20;
"     2176-2200     ";839;0.37466396348924236;35;
"     2201-2225     ";895;0.39967133173167096;29;
"     2226-2250     ";873;0.389847008493574;28;
"     2251-2275     ";876;0.3911866889351327;33;
"     2276-2300     ";893;0.39877821143729847;34;
"     2301-2325     ";874;0.3902935686407602;20;
"     2326-2350     ";858;0.3831486062857806;32;
"     2351-2375     ";820;0.3661793206927041;30;
"     2376-2400     ";796;0.3554618771602347;39;
"     2401-2425     ";791;0.35322907642430357;26;
"     2426-2450     ";843;0.37645020407798724;28;
"     2451-2475     ";787;0.3514428358355587;23;
"     2476-2500     ";763;0.3407253923030893;28;
"     2501-2525     ";777;0.34697723436369643;26;
"     2526-2550     ";798;0.35635499745460714;26;
"     2551-2575     ";773;0.34519099377495155;33;
"     2576-2600     ";759;0.3389391517143444;25;
"     2601-2625     ";776;0.34653067421651024;38;
"     2626-2650     ";753;0.33625979083122703;37;
"     2651-2675     ";726;0.324202666857199;36;
"     2676-2700     ";728;0.32509578715157145;27;
"     2701-2725     ";693;0.3094661820000536;23;
"     2726-2750     ";723;0.3228629864156403;21;
"     2751-2775     ";647;0.28892441522948725;20;
"     2776-2800     ";668;0.29830217832039796;29;
"     2801-2825     ";656;0.29294345655416326;34;
"     2826-2850     ";665;0.2969624978788393;26;
"     2851-2875     ";666;0.2974090580260255;31;
"     2876-2900     ";652;0.2911572159654184;28;
"     2901-2925     ";640;0.2857984941991837;22;
"     2926-2950     ";674;0.30098153920351534;23;
"     2951-2975     ";642;0.2866916144935561;27;
"     2976-3000     ";653;0.29160377611260463;37;
"     3001-3025     ";601;0.26838264845892096;33;
"     3026-3050     ";574;0.2563255244848929;29;
"     3051-3075     ";573;0.2558789643377066;31;
"     3076-3100     ";580;0.2590048853680102;26;
"     3101-3125     ";608;0.2715085694892245;31;
"     3126-3150     ";612;0.2732948100779694;37;
"     3151-3175     ";552;0.24650120124679592;30;
"     3176-3200     ";535;0.23890967874463012;31;
"     3201-3225     ";524;0.23399751712558164;25;
"     3226-3250     ";524;0.23399751712558164;26;
"     3251-3275     ";559;0.2496271222770995;23;
"     3276-3300     ";522;0.2331043968312092;26;
"     3301-3325     ";525;0.23444407727276786;23;
"     3326-3350     ";513;0.22908535550653317;31;
"     3351-3375     ";500;0.22328007359311225;30;
"     3376-3400     ";498;0.2223869532987398;24;
"     3401-3425     ";514;0.2295319156537194;24;
"     3426-3450     ";525;0.23444407727276786;35;
"     3451-3475     ";517;0.23087159609527808;24;
"     3476-3500     ";458;0.20452454741129084;23;
"     3501-3525     ";475;0.21211606991345663;31;
"     3526-3550     ";523;0.23355095697839542;41;
"     3551-3575     ";464;0.20720390829440818;26;
"     3576-3600     ";454;0.20273830682254593;24;
"     3601-3625     ";467;0.20854358873596684;19;
"     3626-3650     ";500;0.22328007359311225;26;
"     3651-3675     ";452;0.2018451865281735;18;
"     3676-3700     ";452;0.2018451865281735;27;
"     3701-3725     ";473;0.2112229496190842;43;
"     3726-3750     ";395;0.1763912581385587;13;
"     3751-3775     ";472;0.21077638947189797;19;
"     3776-3800     ";414;0.18487590093509695;25;
"     3801-3825     ";395;0.1763912581385587;31;
"     3826-3850     ";428;0.1911277429957041;28;
"     3851-3875     ";425;0.18978806255414543;29;
"     3876-3900     ";400;0.17862405887448982;28;
"     3901-3925     ";407;0.18174997990479339;21;
"     3926-3950     ";395;0.1763912581385587;21;
"     3951-3975     ";383;0.171032536372324;24;
"     3976-4000     ";367;0.16388757401734438;25;
"     4001-4025     ";376;0.16790661534202042;27;
"     4026-4050     ";351;0.1567426116623648;22;
"     4051-4075     ";374;0.16701349504764798;26;
"     4076-4100     ";375;0.1674600551948342;24;
"     4101-4125     ";366;0.16344101387015816;17;
"     4126-4150     ";370;0.16522725445890307;32;
"     4151-4175     ";387;0.1728187769610689;21;
"     4176-4200     ";351;0.1567426116623648;21;
"     4201-4225     ";365;0.16299445372297194;25;
"     4226-4250     ";343;0.15317013048487502;20;
"     4251-4275     ";331;0.14781140871864032;22;
"     4276-4300     ";298;0.13307492386149491;17;
"     4301-4325     ";333;0.14870452901301276;23;
"     4326-4350     ";299;0.13352148400868113;29;
"     4351-4375     ";341;0.15227701019050255;21;
"     4376-4400     ";295;0.13173524341993623;23;
"     4401-4425     ";301;0.13441460430305358;20;
"     4426-4450     ";301;0.13441460430305358;27;
"     4451-4475     ";295;0.13173524341993623;24;
"     4476-4500     ";311;0.13888020577491583;29;
"     4501-4525     ";310;0.1384336456277296;24;
"     4526-4550     ";299;0.13352148400868113;23;
"     4551-4575     ";311;0.13888020577491583;18;
"     4576-4600     ";312;0.13932676592210205;28;
"     4601-4625     ";277;0.1236971607705842;14;
"     4626-4650     ";279;0.12459028106495663;22;
"     4651-4675     ";284;0.12682308180088775;29;
"     4676-4700     ";273;0.12191092018183929;10;
"     4701-4725     ";285;0.127269641948074;23;
"     4726-4750     ";278;0.12414372091777041;19;
"     4751-4775     ";273;0.12191092018183929;24;
"     4776-4800     ";260;0.11610563826841837;15;
"     4801-4825     ";250;0.11164003679655612;25;
"     4826-4850     ";262;0.11699875856279082;21;
"     4851-4875     ";241;0.1076209954718801;19;
"     4876-4900     ";245;0.10940723606062501;25;
"     4901-4925     ";240;0.10717443532469388;16;
"     4926-4950     ";235;0.10494163458876277;14;
"     4951-4975     ";206;0.09199139032036224;15;
"     4976-5000     ";236;0.10538819473594899;24;
"     5001-5025     ";244;0.10896067591343878;23;
"     5026-5050     ";245;0.10940723606062501;15;
"     5051-5075     ";227;0.10136915341127296;23;
"     5076-5100     ";242;0.10806755561906634;28;
"     5101-5125     ";213;0.09511731135066583;19;
"     5126-5150     ";226;0.10092259326408674;22;
"     5151-5175     ";227;0.10136915341127296;19;
"     5176-5200     ";224;0.10002947296971429;15;
"     5201-5225     ";231;0.10315539400001786;21;
"     5226-5250     ";220;0.0982432323809694;20;
"     5251-5275     ";230;0.10270883385283164;26;
"     5276-5300     ";208;0.0928845106147347;10;
"     5301-5325     ";202;0.09020514973161735;17;
"     5326-5350     ";211;0.09422419105629337;18;
"     5351-5375     ";219;0.09779667223378317;15;
"     5376-5400     ";218;0.09735011208659694;19;
"     5401-5425     ";202;0.09020514973161735;18;
"     5426-5450     ";168;0.07502210472728572;12;
"     5451-5475     ";196;0.0875257888485;27;
"     5476-5500     ";195;0.08707922870131378;13;
"     5501-5525     ";225;0.10047603311690051;18;
"     5526-5550     ";192;0.0857395482597551;13;
"     5551-5575     ";185;0.08261362722945154;20;
"     5576-5600     ";164;0.07323586413854082;18;
"     5601-5625     ";171;0.0763617851688444;15;
"     5626-5650     ";197;0.08797234899568623;19;
"     5651-5675     ";170;0.07591522502165816;14;
"     5676-5700     ";185;0.08261362722945154;16;
"     5701-5725     ";200;0.08931202943724491;21;
"     5726-5750     ";194;0.08663266855412756;13;
"     5751-5775     ";170;0.07591522502165816;17;
"     5776-5800     ";156;0.06966338296105103;18;
"     5801-5825     ";162;0.07234274384416838;10;
"     5826-5850     ";187;0.08350674752382399;25;
"     5851-5875     ";166;0.07412898443291327;14;
"     5876-5900     ";138;0.06162530031169898;12;
"     5901-5925     ";166;0.07412898443291327;17;
"     5926-5950     ";149;0.06653746193074746;12;
"     5951-5975     ";166;0.07412898443291327;16;
"     5976-6000     ";169;0.07546866487447194;15;
"     6001-6025     ";143;0.06385810104763011;16;
"     6026-6050     ";157;0.07010994310823725;8;
"     6051-6075     ";164;0.07323586413854082;20;
"     6076-6100     ";127;0.05671313869265052;13;
"     6101-6125     ";127;0.05671313869265052;13;
"     6126-6150     ";179;0.07993426634633419;19;
"     6151-6175     ";144;0.06430466119481633;10;
"     6176-6200     ";136;0.06073218001732653;15;
"     6201-6225     ";159;0.0710030634026097;17;
"     6226-6250     ";150;0.06698402207793368;21;
"     6251-6275     ";127;0.05671313869265052;11;
"     6276-6300     ";113;0.05046129663204337;16;
"     6301-6325     ";130;0.058052819134209184;12;
"     6326-6350     ";133;0.05939249957576786;12;
