"FRAGMENT INTERVAL";"FRAGS";"PERCENT";"FRAGS WITH Ns";
"        1-25       ";1225748;22.861557307764905;50;
"       26-50       ";1018330;18.99298196139519;204;
"       51-75       ";755602;14.092813877617402;306;
"       76-100      ";556538;10.380049880521007;399;
"      101-125      ";417057;7.778574801757382;420;
"      126-150      ";319141;5.952332992391094;454;
"      151-175      ";237711;4.433573335780358;455;
"      176-200      ";182280;3.3997238144050708;456;
"      201-225      ";140040;2.611901047669992;426;
"      226-250      ";108854;2.030247619559192;444;
"      251-275      ";84095;1.5684648572108537;410;
"      276-300      ";64274;1.198781262053278;389;
"      301-325      ";50496;0.9418063075060261;341;
"      326-350      ";39308;0.7331377205213656;314;
"      351-375      ";31192;0.5817653347538017;276;
"      376-400      ";24595;0.4587239807729466;269;
"      401-425      ";19567;0.36494621393715176;254;
"      426-450      ";15617;0.2912743406274083;229;
"      451-475      ";12306;0.22952052479739302;202;
"      476-500      ";9914;0.18490707645387244;207;
"      501-525      ";8310;0.15499070055796652;158;
"      526-550      ";6604;0.12317191173102418;200;
"      551-575      ";5424;0.10116360527393627;180;
"      576-600      ";4351;0.0811509672837199;158;
"      601-625      ";3646;0.06800193673096823;152;
"      626-650      ";3020;0.05632634364441142;146;
"      651-675      ";2407;0.044893214951025925;121;
"      676-700      ";2084;0.038868907336077285;130;
"      701-725      ";1761;0.032844599721128645;117;
"      726-750      ";1418;0.026447269962839533;103;
"      751-775      ";1201;0.022399979707595403;84;
"      776-800      ";1016;0.018949524881696028;106;
"      801-825      ";961;0.017923713987509728;84;
"      826-850      ";777;0.014491910268777376;94;
"      851-875      ";706;0.013167681659918697;94;
"      876-900      ";529;0.00986643569135551;81;
"      901-925      ";482;0.008989833654505399;84;
"      926-950      ";463;0.00863546261833195;76;
"      951-975      ";363;0.006770351901629584;80;
"      976-1000     ";333;0.006210818686618875;71;
"     1001-1025     ";298;0.0055580299357730475;58;
"     1026-1050     ";265;0.004942543399261267;48;
"     1051-1075     ";239;0.004457614612918652;68;
"     1076-1100     ";195;0.0036369658975696113;45;
"     1101-1125     ";187;0.0034877570402334222;56;
"     1126-1150     ";140;0.002611155003383311;43;
"     1151-1175     ";153;0.002853619396554618;46;
"     1176-1200     ";141;0.0026298061105503347;50;
"     1201-1225     ";123;0.0022940861815439087;44;
"     1226-1250     ";118;0.0022008306457087907;36;
"     1251-1275     ";80;0.001492088573361892;23;
"     1276-1300     ";84;0.0015666930020299865;35;
"     1301-1325     ";87;0.0016226463235310574;30;
"     1326-1350     ";85;0.0015853441091970102;47;
"     1351-1375     ";67;0.0012496241801905844;30;
"     1376-1400     ";78;0.0014547863590278446;43;
"     1401-1425     ";44;0.0008206487153490405;26;
"     1426-1450     ";57;0.001063113108520348;30;
"     1451-1475     ";51;0.0009512064655182061;28;
"     1476-1500     ";54;0.001007159787019277;30;
"     1501-1525     ";40;0.000746044286680946;22;
"     1526-1550     ";40;0.000746044286680946;16;
"     1551-1575     ";32;0.0005968354293447568;21;
"     1576-1600     ";37;0.000690090965179875;21;
"     1601-1625     ";26;0.00048492878634261486;14;
"     1626-1650     ";28;0.0005222310006766621;17;
"     1651-1675     ";28;0.0005222310006766621;16;
"     1676-1700     ";24;0.0004476265720085676;10;
"     1701-1725     ";22;0.00041032435767452026;16;
"     1726-1750     ";7;0.00013055775016916553;5;
"     1751-1775     ";24;0.0004476265720085676;19;
"     1776-1800     ";18;0.00033571992900642566;12;
"     1801-1825     ";21;0.0003916732505074966;15;
"     1826-1850     ";13;0.00024246439317130743;7;
"     1851-1875     ";11;0.00020516217883726013;8;
"     1876-1900     ";12;0.0002238132860042838;9;
"     1901-1925     ";7;0.00013055775016916553;5;
"     1926-1950     ";18;0.00033571992900642566;10;
"     1951-1975     ";13;0.00024246439317130743;10;
"     1976-2000     ";11;0.00020516217883726013;7;
"     2001-2025     ";8;0.0001492088573361892;5;
"     2026-2050     ";6;0.0001119066430021419;5;
"     2051-2075     ";9;0.00016785996450321283;6;
