"FRAGMENT INTERVAL";"FRAGS";"PERCENT";"FRAGS WITH Ns";
"        1-25       ";35729;5.431301162145523;1;
"       26-50       ";39521;6.007737502565233;6;
"       51-75       ";37612;5.717543152918285;11;
"       76-100      ";34486;5.242348005198872;17;
"      101-125      ";32325;4.913846177232893;30;
"      126-150      ";30896;4.696618452955528;30;
"      151-175      ";28798;4.377693494569307;34;
"      176-200      ";26845;4.080810537596814;40;
"      201-225      ";25209;3.8321159561288165;49;
"      226-250      ";23352;3.54982632423024;57;
"      251-275      ";21910;3.3306224205157826;57;
"      276-300      ";20343;3.092416791444663;41;
"      301-325      ";19194;2.9177529319662225;66;
"      326-350      ";17738;2.696420835011819;69;
"      351-375      ";16641;2.52966169328175;65;
"      376-400      ";15575;2.367614979440133;62;
"      401-425      ";14569;2.214689093769714;62;
"      426-450      ";13700;2.0825890990901974;85;
"      451-475      ";13033;1.981195892587047;83;
"      476-500      ";12188;1.8527442291760092;66;
"      501-525      ";11421;1.736149642387529;61;
"      526-550      ";10415;1.58322375671711;72;
"      551-575      ";9873;1.5008322755706218;65;
"      576-600      ";9142;1.3897101856848602;54;
"      601-625      ";8694;1.3216080020065821;54;
"      626-650      ";8129;1.2357202033944683;54;
"      651-675      ";7499;1.1399515075968898;62;
"      676-700      ";7272;1.1054443743491909;56;
"      701-725      ";6691;1.0171243548914242;61;
"      726-750      ";6256;0.9509983506502391;51;
"      751-775      ";5822;0.8850243602119072;46;
"      776-800      ";5351;0.8134258590680034;58;
"      801-825      ";5050;0.7676697044091604;57;
"      826-850      ";4668;0.7096004317192001;43;
"      851-875      ";4470;0.6795016987542469;51;
"      876-900      ";4112;0.6250807573327658;44;
"      901-925      ";3863;0.5872293204222944;54;
"      926-950      ";3589;0.5455775384404904;47;
"      951-975      ";3493;0.5309842133665736;48;
"      976-1000     ";3286;0.4995173561759408;35;
"     1001-1025     ";3057;0.46470619532253526;43;
"     1026-1050     ";2927;0.4449444009516064;33;
"     1051-1075     ";2631;0.3999483153070299;48;
"     1076-1100     ";2393;0.3637690302279447;35;
