"FRAGMENT INTERVAL";"FRAGS";"PERCENT";"FRAGS WITH Ns";
"        1-25       ";127189;16.969552229247526;3;
"       26-50       ";113924;15.199736362144487;17;
"       51-75       ";90035;12.01246676175063;25;
"       76-100      ";69940;9.33139251754139;26;
"      101-125      ";55622;7.421085424802505;34;
"      126-150      ";45439;6.062469897119863;54;
"      151-175      ";37078;4.946945549977118;50;
"      176-200      ";30778;4.1063997555746194;58;
"      201-225      ";25411;3.3903347907241104;45;
"      226-250      ";21550;2.8752002967260073;55;
"      251-275      ";17966;2.3970231336881413;69;
"      276-300      ";14947;1.9942282522117696;56;
"      301-325      ";12679;1.69163176622687;47;
"      326-350      ";10850;1.4476066459154144;36;
"      351-375      ";9442;1.2597513318648241;48;
"      376-400      ";8026;1.0708286580753101;42;
"      401-425      ";6864;0.9157946559966271;40;
"      426-450      ";5902;0.7874446473910393;41;
"      451-475      ";5098;0.6801749936291965;49;
"      476-500      ";4548;0.6067940115781848;45;
"      501-525      ";3930;0.5243404717463206;31;
"      526-550      ";3212;0.42854493517790887;31;
"      551-575      ";2919;0.38945288473982437;42;
"      576-600      ";2594;0.3460913953460447;30;
"      601-625      ";2262;0.3017959661807067;28;
"      626-650      ";1973;0.2632375956120841;35;
"      651-675      ";1773;0.2365536021389889;23;
"      676-700      ";1664;0.22201082569615205;29;
"      701-725      ";1422;0.18972319359370685;24;
"      726-750      ";1273;0.16984361845625093;27;
"      751-775      ";1074;0.1432930449505212;26;
"      776-800      ";978;0.1304847280834355;15;
"      801-825      ";880;0.11740957128161887;21;
"      826-850      ";831;0.11087199288071053;20;
"      851-875      ";698;0.09312713722110223;20;
"      876-900      ";706;0.09419449696002605;15;
"      901-925      ";563;0.07511544162676298;22;
"      926-950      ";522;0.06964522296477846;16;
"      951-975      ";504;0.06724366355219989;19;
"      976-1000     ";465;0.062040284824946335;19;
"     1001-1025     ";396;0.05283430707672849;17;
"     1026-1050     ";343;0.04576304880635826;17;
"     1051-1075     ";322;0.04296122949168327;13;
"     1076-1100     ";292;0.038958630470718986;14;
"     1101-1125     ";285;0.03802469069916065;16;
"     1126-1150     ";249;0.03322157187400352;15;
"     1151-1175     ";251;0.03348841180873447;17;
"     1176-1200     ";215;0.028685292983577335;16;
"     1201-1225     ";222;0.029619232755135668;22;
"     1226-1250     ";150;0.020012995104821397;13;
"     1251-1275     ";188;0.025082953864709486;11;
"     1276-1300     ";171;0.02281481441949639;12;
"     1301-1325     ";166;0.022147714582669013;19;
"     1326-1350     ";138;0.018411955496435685;13;
"     1351-1375     ";140;0.01867879543116664;16;
"     1376-1400     ";117;0.01561013618176069;16;
"     1401-1425     ";113;0.015076456312298786;14;
"     1426-1450     ";117;0.01561013618176069;10;
"     1451-1475     ";89;0.011874377095527362;13;
"     1476-1500     ";93;0.012408056964989266;7;
"     1501-1525     ";79;0.010540177421872602;9;
"     1526-1550     ";74;0.009873077585045223;9;
"     1551-1575     ";77;0.01027333748714165;10;
"     1576-1600     ";68;0.009072557780852367;7;
"     1601-1625     ";86;0.011474117193430935;12;
"     1626-1650     ";63;0.008405457944024987;11;
"     1651-1675     ";66;0.008805717846121415;5;
"     1676-1700     ";55;0.0073380982051011795;8;
"     1701-1725     ";56;0.007471518172466655;8;
"     1726-1750     ";48;0.0064041584335428475;8;
"     1751-1775     ";45;0.0060038985314464196;10;
"     1776-1800     ";50;0.0066709983682737995;8;
"     1801-1825     ";42;0.005603638629349992;5;
"     1826-1850     ";40;0.00533679869461904;7;
"     1851-1875     ";43;0.005737058596715468;3;
"     1876-1900     ";48;0.0064041584335428475;9;
"     1901-1925     ";38;0.005069958759888088;4;
"     1926-1950     ";41;0.005470218661984516;6;
"     1951-1975     ";33;0.004402858923060708;6;
"     1976-2000     ";30;0.00400259902096428;4;
"     2001-2025     ";26;0.0034689191515023757;6;
"     2026-2050     ";24;0.0032020792167714238;6;
"     2051-2075     ";24;0.0032020792167714238;5;
"     2076-2100     ";24;0.0032020792167714238;5;
"     2101-2125     ";23;0.0030686592494059478;4;
"     2126-2150     ";21;0.002801819314674996;3;
"     2151-2175     ";17;0.002268139445213092;2;
"     2176-2200     ";17;0.002268139445213092;4;
"     2201-2225     ";17;0.002268139445213092;6;
"     2226-2250     ";18;0.002401559412578568;8;
"     2251-2275     ";21;0.002801819314674996;7;
"     2276-2300     ";17;0.002268139445213092;5;
"     2301-2325     ";18;0.002401559412578568;4;
"     2326-2350     ";23;0.0030686592494059478;8;
