"FRAGMENT INTERVAL";"FRAGS";"PERCENT";"FRAGS WITH Ns";
"        1-25       ";114430;15.225056214159316;5;
"       26-50       ";117922;15.689671230325045;13;
"       51-75       ";91705;12.201466224936468;26;
"       76-100      ";70947;9.439588073284636;38;
"      101-125      ";57446;7.643262949214332;44;
"      126-150      ";46228;6.150693862345162;36;
"      151-175      ";38022;5.058875184608629;55;
"      176-200      ";31192;4.150135047033622;60;
"      201-225      ";26076;3.469444777072606;38;
"      226-250      ";22296;2.9665109966870236;58;
"      251-275      ";18501;2.461581447331657;62;
"      276-300      ";15476;2.0591013717585387;50;
"      301-325      ";13248;1.7626631541132798;48;
"      326-350      ";11268;1.4992216501017843;46;
"      351-375      ";9747;1.2968506765656806;54;
"      376-400      ";8346;1.1104458547878497;35;
"      401-425      ";7090;0.943333466384598;44;
"      426-450      ";6155;0.818930533934725;45;
"      451-475      ";5206;0.6926648837797204;36;
"      476-500      ";4633;0.6164265091339693;38;
"      501-525      ";3911;0.52036349605503;46;
"      526-550      ";3446;0.45849465799172423;29;
"      551-575      ";3054;0.40633856224803416;43;
"      576-600      ";2670;0.3552468766215623;22;
"      601-625      ";2368;0.3150653946965766;20;
"      626-650      ";2044;0.2719567849492409;30;
"      651-675      ";1808;0.2405566864913051;26;
"      676-700      ";1551;0.20636251147567158;42;
"      701-725      ";1366;0.18174802751500152;22;
"      726-750      ";1201;0.1597945688473769;22;
"      751-775      ";1100;0.14635639111749757;25;
"      776-800      ";992;0.13198685453505235;20;
"      801-825      ";867;0.11535544645351854;18;
"      826-850      ";726;0.0965952181375484;17;
"      851-875      ";713;0.09486555169706888;27;
"      876-900      ";627;0.08342314293697362;15;
"      901-925      ";547;0.07277904176479197;23;
"      926-950      ";493;0.06559427347356937;16;
"      951-975      ";449;0.059740017828869466;14;
"      976-1000     ";410;0.054551018507430916;17;
"     1001-1025     ";375;0.049894224244601444;20;
"     1026-1050     ";328;0.04364081480594473;15;
"     1051-1075     ";312;0.0415119945715084;11;
"     1076-1100     ";281;0.03738740536728802;14;
"     1101-1125     ";224;0.029803483282108596;15;
"     1126-1150     ";218;0.029005175694194973;15;
"     1151-1175     ";204;0.027142457989063187;14;
"     1176-1200     ";211;0.02807381684162908;19;
"     1201-1225     ";167;0.022219561196929177;9;
"     1226-1250     ";175;0.02328397131414734;15;
"     1251-1275     ";146;0.019425484639231497;7;
"     1276-1300     ";159;0.021155151079711013;9;
"     1301-1325     ";119;0.015833100493620193;10;
"     1326-1350     ";119;0.015833100493620193;11;
"     1351-1375     ";113;0.015034792905706569;7;
"     1376-1400     ";116;0.01543394669966338;11;
"     1401-1425     ";117;0.01556699796431565;13;
"     1426-1450     ";104;0.013837331523836134;10;
"     1451-1475     ";98;0.013039023935922512;12;
"     1476-1500     ";83;0.011043254966138453;8;
"     1501-1525     ";61;0.008116127143788501;5;
"     1526-1550     ";62;0.008249178408440772;4;
"     1551-1575     ";67;0.008914434731702125;8;
"     1576-1600     ";59;0.00785002461448396;7;
"     1601-1625     ";50;0.006652563232613526;2;
"     1626-1650     ";39;0.00518899932143855;8;
"     1651-1675     ";46;0.006120358174004444;7;
"     1676-1700     ";48;0.006386460703308985;4;
"     1701-1725     ";51;0.006785614497265797;5;
"     1726-1750     ";52;0.006918665761918067;8;
"     1751-1775     ";40;0.005322050586090821;10;
"     1776-1800     ";37;0.004922896792134009;5;
"     1801-1825     ";36;0.004789845527481739;3;
"     1826-1850     ";31;0.004124589204220386;4;
"     1851-1875     ";40;0.005322050586090821;7;
"     1876-1900     ";29;0.003858486674915845;4;
"     1901-1925     ";48;0.006386460703308985;5;
"     1926-1950     ";31;0.004124589204220386;7;
"     1951-1975     ";20;0.0026610252930454104;6;
"     1976-2000     ";21;0.002794076557697681;4;
"     2001-2025     ";17;0.002261871499088599;2;
"     2026-2050     ";20;0.0026610252930454104;3;
"     2051-2075     ";23;0.003060179087002222;6;
"     2076-2100     ";18;0.0023949227637408694;3;
"     2101-2125     ";27;0.003592384145611304;8;
"     2126-2150     ";29;0.003858486674915845;4;
"     2151-2175     ";17;0.002261871499088599;2;
"     2176-2200     ";14;0.0018627177051317872;4;
"     2201-2225     ";18;0.0023949227637408694;3;
"     2226-2250     ";18;0.0023949227637408694;4;
"     2251-2275     ";12;0.0015966151758272462;5;
"     2276-2300     ";14;0.0018627177051317872;5;
"     2301-2325     ";16;0.0021288202344363284;3;
"     2326-2350     ";9;0.0011974613818704347;2;
"     2351-2375     ";10;0.0013305126465227052;3;
"     2376-2400     ";15;0.001995768969784058;4;
"     2401-2425     ";17;0.002261871499088599;5;
"     2426-2450     ";12;0.0015966151758272462;4;
"     2451-2475     ";6;0.0007983075879136231;0;
"     2476-2500     ";12;0.0015966151758272462;3;
"     2501-2525     ";14;0.0018627177051317872;3;
"     2526-2550     ";14;0.0018627177051317872;5;
"     2551-2575     ";9;0.0011974613818704347;2;
"     2576-2600     ";7;0.0009313588525658936;2;
"     2601-2625     ";14;0.0018627177051317872;4;
