"FRAGMENT INTERVAL";"FRAGS";"PERCENT";"FRAGS WITH Ns";
"        1-25       ";7082;1.776731887093982;2;
"       26-50       ";10113;2.537149050293906;11;
"       51-75       ";9822;2.464142981507638;13;
"       76-100      ";9594;2.406942350293655;13;
"      101-125      ";9437;2.3675541963436753;16;
"      126-150      ";9313;2.3364450811220356;20;
"      151-175      ";8991;2.2556617335303577;28;
"      176-200      ";8587;2.1543062290985633;18;
"      201-225      ";8121;2.037396167055949;25;
"      226-250      ";8007;2.0087958514489572;32;
"      251-275      ";7921;1.9872201747629812;24;
"      276-300      ";7654;1.9202352250518695;36;
"      301-325      ";7467;1.8733206722579447;32;
"      326-350      ";7116;1.7852618057837866;38;
"      351-375      ";7101;1.7814986063618141;41;
"      376-400      ";6941;1.74135781252744;31;
"      401-425      ";6573;1.6490339867083796;36;
"      426-450      ";6490;1.628210949906798;35;
"      451-475      ";6291;1.5782858375752953;37;
"      476-500      ";6063;1.5210852063613123;38;
"      501-525      ";5758;1.4445668181145368;32;
"      526-550      ";5646;1.416468262430475;38;
"      551-575      ";5601;1.4051786641645572;33;
"      576-600      ";5427;1.3615255508696753;37;
"      601-625      ";5242;1.3151127579986803;34;
"      626-650      ";5142;1.2900247618521965;46;
"      651-675      ";5064;1.2704561248579391;37;
"      676-700      ";4892;1.227304771485987;45;
"      701-725      ";4690;1.1766270192700898;50;
"      726-750      ";4528;1.1359844655127862;53;
"      751-775      ";4398;1.1033700705223572;56;
"      776-800      ";4427;1.1106455894048375;43;
"      801-825      ";4301;1.0790347142602679;39;
"      826-850      ";4219;1.0584625574201512;53;
"      851-875      ";4143;1.0393956803488236;55;
"      876-900      ";3891;0.9761739300596843;54;
"      901-925      ";3703;0.9290084973042948;42;
"      926-950      ";3637;0.9124504198476155;43;
"      951-975      ";3702;0.92875761734283;44;
"      976-1000     ";3558;0.8926309028918933;39;
"     1001-1025     ";3503;0.8788325050113273;44;
"     1026-1050     ";3368;0.8449637102135741;31;
"     1051-1075     ";3259;0.8176177944139068;44;
"     1076-1100     ";3127;0.7845016395005482;47;
"     1101-1125     ";3051;0.7654347624292205;34;
"     1126-1150     ";3138;0.7872613190766614;47;
"     1151-1175     ";2856;0.716513169943577;41;
"     1176-1200     ";2869;0.71977460944262;41;
"     1201-1225     ";2778;0.6969445329493197;43;
"     1226-1250     ";2866;0.7190219695582255;37;
"     1251-1275     ";2678;0.671856536802836;37;
"     1276-1300     ";2479;0.6219314244713332;37;
"     1301-1325     ";2545;0.6384895019280125;40;
"     1326-1350     ";2514;0.6307122231226026;39;
"     1351-1375     ";2492;0.6251928639703761;52;
"     1376-1400     ";2429;0.6093874263980913;33;
"     1401-1425     ";2343;0.5878117497121153;40;
"     1426-1450     ";2262;0.5674904728334633;47;
"     1451-1475     ";2177;0.5461656761089522;40;
"     1476-1500     ";2105;0.5281023188834838;35;
"     1501-1525     ";2058;0.5163109606946364;53;
"     1526-1550     ";2047;0.5135512811185232;43;
"     1551-1575     ";2055;0.5155583208102419;28;
"     1576-1600     ";1952;0.4897176847793636;40;
"     1601-1625     ";1906;0.4781772065519811;30;
"     1626-1650     ";1840;0.4616191290953018;35;
"     1651-1675     ";1764;0.4425522520239741;33;
