"FRAGMENT INTERVAL";"FRAGS";"PERCENT";"FRAGS WITH Ns";
"        1-25       ";82310;7.019300304274857;1;
"       26-50       ";83095;7.086244183983954;19;
"       51-75       ";74807;6.379453260380139;44;
"       76-100      ";69540;5.930289675121778;60;
"      101-125      ";63168;5.386892985304752;69;
"      126-150      ";58277;4.969794239244634;82;
"      151-175      ";53644;4.57469743071948;98;
"      176-200      ";50104;4.272810380821133;128;
"      201-225      ";46007;3.9234230239190055;130;
"      226-250      ";42367;3.613008091255168;130;
"      251-275      ";39670;3.3830110930699013;153;
"      276-300      ";36777;3.1362994446642745;159;
"      301-325      ";34217;2.917985645867729;159;
"      326-350      ";31643;2.6984779434840154;161;
"      351-375      ";29178;2.4882656333146858;152;
"      376-400      ";26680;2.2752391218327443;174;
"      401-425      ";25085;2.139219391723178;162;
"      426-450      ";23171;1.9759957155916985;155;
"      451-475      ";21592;1.8413404467246108;161;
"      476-500      ";20000;1.7055765530980092;163;
"      501-525      ";18333;1.5634167473972902;163;
"      526-550      ";17049;1.453918732688398;151;
"      551-575      ";15881;1.3543130619874741;143;
"      576-600      ";14781;1.2605063515670838;133;
"      601-625      ";13634;1.162691536246913;129;
"      626-650      ";12481;1.0643650479608127;128;
"      651-675      ";11819;1.0079104640532686;128;
"      676-700      ";10744;0.9162357243242506;126;
"      701-725      ";10452;0.8913343066490196;132;
"      726-750      ";9442;0.8052026907175701;147;
"      751-775      ";8660;0.738514647491438;131;
"      776-800      ";8208;0.699968617391423;114;
"      801-825      ";7538;0.6428318028626396;112;
"      826-850      ";7043;0.600618783173464;117;
"      851-875      ";6582;0.5613052436245548;92;
"      876-900      ";6083;0.5187511086247595;121;
"      901-925      ";5687;0.48498069287341894;114;
"      926-950      ";5109;0.4356895304888865;78;
"      951-975      ";4907;0.41846320730259656;109;
"      976-1000     ";4519;0.3853750221724952;90;
"     1001-1025     ";4302;0.3668695165713818;103;
"     1026-1050     ";4014;0.34230921420677046;91;
"     1051-1075     ";3743;0.3191986519122924;78;
"     1076-1100     ";3442;0.2935297247881674;89;
"     1101-1125     ";3114;0.26555826931736004;101;
"     1126-1150     ";2983;0.2543867428945681;88;
"     1151-1175     ";2731;0.23289647832553317;88;
"     1176-1200     ";2640;0.22513610500893722;79;
"     1201-1225     ";2423;0.20663059940782383;76;
"     1226-1250     ";2185;0.1863342384259575;73;
"     1251-1275     ";2140;0.18249669118148698;67;
"     1276-1300     ";1880;0.16032419599121286;60;
"     1301-1325     ";1758;0.14992017901731503;56;
"     1326-1350     ";1766;0.15060240963855423;63;
"     1351-1375     ";1569;0.1338024805905388;65;
"     1376-1400     ";1458;0.12433653072084487;64;
"     1401-1425     ";1368;0.11666143623190384;55;
"     1426-1450     ";1245;0.10617214043035107;55;
"     1451-1475     ";1202;0.10250515084119036;45;
"     1476-1500     ";1102;0.09397726807570031;56;
"     1501-1525     ";1014;0.08647273124206907;31;
"     1526-1550     ";955;0.08144128041042994;36;
"     1551-1575     ";887;0.0756423201298967;32;
"     1576-1600     ";820;0.06992863867701837;39;
"     1601-1625     ";786;0.06702915853675176;50;
"     1626-1650     ";676;0.057648487494712713;21;
"     1651-1675     ";682;0.05816016046064212;39;
"     1676-1700     ";632;0.053896219077897094;36;
"     1701-1725     ";597;0.050911460109975576;34;
"     1726-1750     ";529;0.04511249982944234;40;
"     1751-1775     ";494;0.04212774086152083;21;
"     1776-1800     ";490;0.04178662555090123;31;
"     1801-1825     ";417;0.035561271132093494;32;
"     1826-1850     ";434;0.0370110112022268;34;
"     1851-1875     ";382;0.03257651216417198;36;
"     1876-1900     ";346;0.02950647436859556;31;
"     1901-1925     ";342;0.02916535905797596;36;
"     1926-1950     ";305;0.02601004243474464;18;
"     1951-1975     ";299;0.02549836946881524;25;
"     1976-2000     ";261;0.02225777401792902;25;
"     2001-2025     ";278;0.023707514088062327;26;
"     2026-2050     ";232;0.019784688015936906;19;
"     2051-2075     ";226;0.019273015050007506;17;
"     2076-2100     ";212;0.018079111462838898;13;
"     2101-2125     ";225;0.019187736222352605;15;
"     2126-2150     ";178;0.015179631322572282;16;
"     2151-2175     ";155;0.013218218286509572;13;
"     2176-2200     ";143;0.012194872354650766;22;
"     2201-2225     ";161;0.013729891252438975;19;
"     2226-2250     ";149;0.01270654532058017;12;
"     2251-2275     ";127;0.010830411112172358;15;
"     2276-2300     ";113;0.009636507525003753;10;
"     2301-2325     ";129;0.01100096876748216;14;
"     2326-2350     ";101;0.008613161593144947;10;
"     2351-2375     ";100;0.008527882765490047;12;
"     2376-2400     ";98;0.008357325110180246;15;
"     2401-2425     ";89;0.007589815661286141;8;
"     2426-2450     ";73;0.006225354418807734;11;
"     2451-2475     ";70;0.005969517935843032;12;
"     2476-2500     ";69;0.0058842391081881315;4;
"     2501-2525     ";60;0.005116729659294028;10;
"     2526-2550     ";72;0.006140075591152833;7;
"     2551-2575     ";51;0.004349220210399923;8;
"     2576-2600     ";54;0.004605056693364625;7;
"     2601-2625     ";54;0.004605056693364625;9;
"     2626-2650     ";35;0.002984758967921516;2;
"     2651-2675     ";45;0.003837547244470521;7;
"     2676-2700     ";42;0.0035817107615058194;8;
"     2701-2725     ";42;0.0035817107615058194;11;
"     2726-2750     ";27;0.0023025283466823125;3;
"     2751-2775     ";29;0.0024730860019921133;6;
"     2776-2800     ";33;0.0028142013126117153;3;
"     2801-2825     ";30;0.002558364829647014;3;
"     2826-2850     ";24;0.002046691863717611;2;
"     2851-2875     ";31;0.0026436436573019145;4;
"     2876-2900     ";24;0.002046691863717611;3;
"     2901-2925     ";20;0.0017055765530980093;3;
"     2926-2950     ";13;0.001108624759513706;4;
"     2951-2975     ";22;0.0018761342084078101;1;
"     2976-3000     ";11;0.0009380671042039051;0;
"     3001-3025     ";17;0.001449740070133308;3;
"     3026-3050     ";15;0.001279182414823507;2;
"     3051-3075     ";14;0.0011939035871686066;4;
"     3076-3100     ";13;0.001108624759513706;4;
"     3101-3125     ";17;0.001449740070133308;7;
"     3126-3150     ";11;0.0009380671042039051;6;
"     3151-3175     ";12;0.0010233459318588056;2;
"     3176-3200     ";10;0.0008527882765490047;4;
"     3201-3225     ";7;0.0005969517935843033;2;
"     3226-3250     ";10;0.0008527882765490047;2;
"     3251-3275     ";8;0.0006822306212392037;2;
"     3276-3300     ";7;0.0005969517935843033;1;
"     3301-3325     ";14;0.0011939035871686066;4;
"     3326-3350     ";6;0.0005116729659294028;2;
"     3351-3375     ";11;0.0009380671042039051;2;
"     3376-3400     ";6;0.0005116729659294028;0;
"     3401-3425     ";6;0.0005116729659294028;0;
"     3426-3450     ";10;0.0008527882765490047;3;
"     3451-3475     ";4;0.00034111531061960183;0;
"     3476-3500     ";8;0.0006822306212392037;1;
"     3501-3525     ";4;0.00034111531061960183;1;
"     3526-3550     ";3;0.0002558364829647014;1;
