"FRAGMENT INTERVAL";"FRAGS";"PERCENT";"FRAGS WITH Ns";
"        1-25       ";164193;12.430755393640966;4;
"       26-50       ";164776;12.4748932703744;36;
"       51-75       ";141408;10.705744207755396;62;
"       76-100      ";120128;9.09467385288838;79;
"      101-125      ";102019;7.723674179190694;106;
"      126-150      ";86875;6.577149298828567;131;
"      151-175      ";73743;5.582949303522475;129;
"      176-200      ";62790;4.753717461564843;131;
"      201-225      ";53948;4.0843056158066595;124;
"      226-250      ";45654;3.4563818600140364;163;
"      251-275      ";39645;3.001451326066861;150;
"      276-300      ";33941;2.5696117910968677;137;
"      301-325      ";29471;2.2311961667427536;140;
"      326-350      ";25220;1.9093606367361895;132;
"      351-375      ";21513;1.6287103639217146;143;
"      376-400      ";18554;1.4046898197463624;142;
"      401-425      ";16185;1.2253371096580186;133;
"      426-450      ";13950;1.0561292974809613;135;
"      451-475      ";12335;0.9338605651919468;114;
"      476-500      ";10431;0.7897121650196349;120;
"      501-525      ";9351;0.7079473161823993;112;
"      526-550      ";8151;0.6170974841410262;110;
"      551-575      ";7139;0.5404807924528017;127;
"      576-600      ";6220;0.47090496274778343;132;
"      601-625      ";5567;0.421467512478603;125;
"      626-650      ";4737;0.35862971198331994;127;
"      651-675      ";4225;0.31986711697900083;116;
"      676-700      ";3889;0.29442916400741637;94;
"      701-725      ";3398;0.25725644106382123;125;
"      726-750      ";2937;0.22235496392126045;95;
"      751-775      ";2701;0.2044878302864571;90;
"      776-800      ";2330;0.17640009054699926;90;
"      801-825      ";2229;0.16875356301685038;66;
"      826-850      ";1895;0.14346702643200154;81;
"      851-875      ";1649;0.12484281086352009;98;
"      876-900      ";1498;0.11341087366498065;60;
"      901-925      ";1427;0.10803559193586608;89;
"      926-950      ";1255;0.09501378267660261;55;
"      951-975      ";1083;0.08199197341733915;84;
"      976-1000     ";952;0.07207420008615592;72;
"     1001-1025     ";886;0.06707745932388041;62;
"     1026-1050     ";792;0.05996088914730619;65;
"     1051-1075     ";731;0.05534268935186973;67;
"     1076-1100     ";667;0.05049736497632983;67;
"     1101-1125     ";610;0.04618199795436462;53;
"     1126-1150     ";541;0.040958132611985665;49;
"     1151-1175     ";520;0.03936826055126164;51;
"     1176-1200     ";467;0.03535572630276766;46;
"     1201-1225     ";408;0.030888942894066823;49;
"     1226-1250     ";390;0.02952619541344623;54;
"     1251-1275     ";379;0.02869340528640031;41;
"     1276-1300     ";326;0.024680871037906334;49;
"     1301-1325     ";311;0.023545248137389174;47;
"     1326-1350     ";291;0.022031084270032957;45;
"     1351-1375     ";257;0.01945700569552739;51;
"     1376-1400     ";243;0.018397090988378034;48;
"     1401-1425     ";222;0.016807218927654008;42;
"     1426-1450     ";211;0.01597442880060809;45;
"     1451-1475     ";216;0.016352969767447142;45;
"     1476-1500     ";174;0.013173225645999088;43;
"     1501-1525     ";173;0.013097517452631276;37;
"     1526-1550     ";149;0.011280520811803816;31;
"     1551-1575     ";164;0.01241614371232098;45;
"     1576-1600     ";130;0.00984206513781541;30;
"     1601-1625     ";151;0.011431937198539438;32;
"     1626-1650     ";115;0.008706442237298247;34;
"     1651-1675     ";107;0.008100776690355761;27;
"     1676-1700     ";122;0.009236399590872923;41;
"     1701-1725     ";103;0.007797943916884517;25;
"     1726-1750     ";95;0.00719227836994203;35;
"     1751-1775     ";89;0.006738029209735165;34;
"     1776-1800     ";77;0.005829530889321435;26;
"     1801-1825     ";64;0.004845324375539894;22;
"     1826-1850     ";73;0.0055266981158501914;20;
"     1851-1875     ";65;0.004921032568907705;26;
"     1876-1900     ";53;0.004012534248493974;23;
"     1901-1925     ";42;0.0031797441214480556;7;
"     1926-1950     ";48;0.0036339932816549206;22;
"     1951-1975     ";41;0.003104035928080245;21;
"     1976-2000     ";50;0.003785409668390542;9;
"     2001-2025     ";53;0.004012534248493974;16;
"     2026-2050     ";49;0.0037097014750227314;23;
"     2051-2075     ";41;0.003104035928080245;14;
"     2076-2100     ";45;0.003406868701551488;9;
