"FRAGMENT INTERVAL";"FRAGS";"PERCENT";"FRAGS WITH Ns";
"        1-25       ";130071;9.80000075343472;5;
"       26-50       ";170476;12.844253741745181;34;
"       51-75       ";147327;11.10012770718513;64;
"       76-100      ";124893;9.409872255143133;83;
"      101-125      ";107495;8.099046528361166;97;
"      126-150      ";91364;6.883680980670632;120;
"      151-175      ";77165;5.813879020986924;149;
"      176-200      ";67092;5.054944226994812;176;
"      201-225      ";55768;4.201754749464119;148;
"      226-250      ";47762;3.598554912206019;143;
"      251-275      ";41599;3.1342130939420083;170;
"      276-300      ";35075;2.642672282266784;138;
"      301-325      ";29517;2.223913264594972;155;
"      326-350      ";25637;1.9315805930284686;149;
"      351-375      ";22129;1.6672756930657635;166;
"      376-400      ";18626;1.4033475104633246;126;
"      401-425      ";16500;1.2431672888781733;151;
"      426-450      ";14215;1.0710074552365596;138;
"      451-475      ";12660;0.9538483561937985;173;
"      476-500      ";10728;0.8082847681869724;126;
"      501-525      ";9392;0.707625889523867;139;
"      526-550      ";8222;0.6194740272215965;108;
"      551-575      ";7055;0.5315481953354857;110;
"      576-600      ";6126;0.46155410979804185;94;
"      601-625      ";5573;0.4198891697526097;127;
"      626-650      ";4752;0.35803217919691394;93;
"      651-675      ";4308;0.32457967760528306;99;
"      676-700      ";3614;0.27229130800034657;87;
"      701-725      ";3328;0.2507430749931249;98;
"      726-750      ";2819;0.21239324771803458;86;
"      751-775      ";2559;0.1928039449841967;80;
"      776-800      ";2191;0.1650775472686108;74;
"      801-825      ";2025;0.15257053090777584;96;
"      826-850      ";1825;0.1375018364971313;73;
"      851-875      ";1571;0.11836459459561274;71;
"      876-900      ";1393;0.10495345657013912;63;
"      901-925      ";1222;0.09206972284903805;61;
"      926-950      ";1079;0.08129560634542722;58;
"      951-975      ";1050;0.07911064565588376;61;
"      976-1000     ";915;0.06893927692869871;59;
"     1001-1025     ";829;0.06245973833212156;73;
"     1026-1050     ";764;0.05756241264866209;54;
"     1051-1075     ";640;0.048219822114062484;47;
"     1076-1100     ";574;0.04324715295854979;35;
"     1101-1125     ";573;0.043171809486496564;59;
"     1126-1150     ";496;0.03737036213839842;51;
"     1151-1175     ";468;0.035260744920908194;53;
"     1176-1200     ";428;0.03224700603877929;56;
"     1201-1225     ";357;0.026897619523000477;49;
"     1226-1250     ";357;0.026897619523000477;52;
"     1251-1275     ";336;0.025315406609882803;52;
"     1276-1300     ";284;0.021397546063115228;36;
"     1301-1325     ";241;0.018157776764826654;48;
"     1326-1350     ";225;0.01695228121197509;34;
"     1351-1375     ";239;0.018007089820720208;46;
"     1376-1400     ";214;0.016123503019389644;45;
"     1401-1425     ";209;0.01574678565912353;44;
"     1426-1450     ";187;0.014089229273952631;36;
"     1451-1475     ";152;0.011452207752089839;33;
"     1476-1500     ";150;0.011301520807983394;37;
"     1501-1525     ";139;0.010472742615397945;21;
"     1526-1550     ";90;0.006780912484790036;16;
"     1551-1575     ";114;0.008589155814067379;23;
"     1576-1600     ";119;0.008965873174333493;25;
"     1601-1625     ";120;0.009041216646386716;33;
"     1626-1650     ";101;0.007609690677375485;30;
"     1651-1675     ";96;0.007232973317109372;23;
"     1676-1700     ";80;0.0060274777642578105;26;
"     1701-1725     ";69;0.0051986995716723616;19;
"     1726-1750     ";83;0.006253508180417478;30;
"     1751-1775     ";86;0.006479538596577146;38;
"     1776-1800     ";60;0.004520608323193358;16;
"     1801-1825     ";72;0.005424729987832029;25;
"     1826-1850     ";64;0.004821982211406248;13;
"     1851-1875     ";47;0.0035411431865014636;18;
"     1876-1900     ";70;0.005274043043725584;25;
"     1901-1925     ";61;0.00459595179524658;25;
"     1926-1950     ";39;0.0029383954100756825;20;
"     1951-1975     ";36;0.0027123649939160147;13;
"     1976-2000     ";43;0.003239769298288573;19;
"     2001-2025     ";44;0.003315112770341796;19;
"     2026-2050     ";44;0.003315112770341796;19;
"     2051-2075     ";37;0.0027877084659692374;12;
"     2076-2100     ";29;0.0021849606895434563;7;
"     2101-2125     ";32;0.002410991105703124;12;
"     2126-2150     ";30;0.002260304161596679;12;
"     2151-2175     ";34;0.002561678049809569;15;
"     2176-2200     ";24;0.001808243329277343;8;
"     2201-2225     ";26;0.0019589302733837885;6;
"     2226-2250     ";28;0.0021096172174902336;13;
"     2251-2275     ";21;0.0015822129131176752;9;
"     2276-2300     ";21;0.0015822129131176752;9;
"     2301-2325     ";17;0.0012808390249047846;8;
"     2326-2350     ";26;0.0019589302733837885;15;
"     2351-2375     ";19;0.0014315259690112299;9;
"     2376-2400     ";15;0.0011301520807983395;5;
"     2401-2425     ";21;0.0015822129131176752;8;
"     2426-2450     ";12;0.0009041216646386715;6;
"     2451-2475     ";17;0.0012808390249047846;10;
"     2476-2500     ";15;0.0011301520807983395;7;
"     2501-2525     ";10;0.0007534347205322263;8;
"     2526-2550     ";14;0.0010548086087451168;8;
"     2551-2575     ";9;0.0006780912484790037;6;
"     2576-2600     ";12;0.0009041216646386715;8;
