"FRAGMENT INTERVAL";"FRAGS";"PERCENT";"FRAGS WITH Ns";
"        1-25       ";53883;6.885962390016677;12;
"       26-50       ";57906;7.400080510667664;42;
"       51-75       ";46347;5.922901451108938;76;
"       76-100      ";38451;4.913834416393505;79;
"      101-125      ";33019;4.219653548539626;95;
"      126-150      ";28887;3.6916058044357545;99;
"      151-175      ";25935;3.3143558188126594;107;
"      176-200      ";23585;3.0140382489568758;94;
"      201-225      ";21785;2.784007769918403;95;
"      226-250      ";20018;2.558194516328969;93;
"      251-275      ";18604;2.377492795573191;91;
"      276-300      ";17595;2.2485479326010696;109;
"      301-325      ";15654;2.00049839937125;95;
"      326-350      ";14965;1.9124478437837458;89;
"      351-375      ";14091;1.8007552667395097;84;
"      376-400      ";13670;1.7469536935866226;83;
"      401-425      ";12621;1.6128970421914237;98;
"      426-450      ";11907;1.5216516188394962;89;
"      451-475      ";11498;1.4693835822135322;91;
"      476-500      ";10711;1.3688091449894888;89;
"      501-525      ";10361;1.3240809962875637;79;
"      526-550      ";9686;1.2378195666481364;84;
"      551-575      ";9083;1.160759356170248;71;
"      576-600      ";9096;1.1624206874077483;102;
"      601-625      ";8468;1.0821656091654366;70;
"      626-650      ";8149;1.0413990964913962;78;
"      651-675      ";7880;1.0070223193462022;74;
"      676-700      ";7639;0.9762237940971623;89;
"      701-725      ";7097;0.9069590609644667;80;
"      726-750      ";6932;0.8858729337192733;68;
"      751-775      ";6645;0.8491958517836947;75;
"      776-800      ";6378;0.8150746640596546;77;
"      801-825      ";6131;0.7835093705471531;66;
"      826-850      ";5926;0.7573114548788825;64;
"      851-875      ";5749;0.7346917911067661;57;
"      876-900      ";5523;0.7058101865163801;72;
"      901-925      ";5345;0.6830627280336867;85;
"      926-950      ";5018;0.6412738576750309;78;
"      951-975      ";4778;0.6106031271365678;65;
"      976-1000     ";4787;0.6117532795317602;62;
"     1001-1025     ";4614;0.5896447946019514;68;
"     1026-1050     ";4369;0.5583350905106038;59;
"     1051-1075     ";4239;0.541721778135603;65;
"     1076-1100     ";4188;0.5352042478961796;54;
"     1101-1125     ";3944;0.5040223385154089;69;
"     1126-1150     ";3747;0.4788467805317538;51;
"     1151-1175     ";3697;0.4724570450029073;69;
"     1176-1200     ";3595;0.4594219845240605;63;
"     1201-1225     ";3472;0.4437032351230982;54;
"     1226-1250     ";3359;0.42926243282790527;64;
"     1251-1275     ";3243;0.4144382464009815;55;
"     1276-1300     ";3053;0.3901572513913649;62;
