"FRAGMENT INTERVAL";"FRAGS";"PERCENT";"FRAGS WITH Ns";
"        1-25       ";7423;1.5940849419854444;0;
"       26-50       ";11734;2.5198696900521624;0;
"       51-75       ";11614;2.4940997596953993;5;
"       76-100      ";11460;2.4610283490708866;10;
"      101-125      ";11345;2.436332165812322;10;
"      126-150      ";11115;2.3869397992951926;7;
"      151-175      ";10931;2.347425906081489;19;
"      176-200      ";10388;2.230816971217135;11;
"      201-225      ";10096;2.168110140682345;25;
"      226-250      ";9850;2.11528178345098;22;
"      251-275      ";9616;2.065030419255292;26;
"      276-300      ";9429;2.024872277782669;21;
"      301-325      ";9221;1.980204398497613;28;
"      326-350      ";8667;1.8612332200172228;26;
"      351-375      ";8529;1.8315978001069453;29;
"      376-400      ";8288;1.779843189973779;31;
"      401-425      ";7999;1.7177806076979076;23;
"      426-450      ";7966;1.710693876849798;32;
"      451-475      ";7553;1.6220023665386045;41;
"      476-500      ";7787;1.6722537307342926;28;
"      501-525      ";7342;1.5766902389946291;40;
"      526-550      ";7188;1.5436188283701164;42;
"      551-575      ";6919;1.4858512344870387;39;
"      576-600      ";6757;1.4510618285054084;37;
"      601-625      ";6447;1.3844895084171036;50;
"      626-650      ";6244;1.3408953762302458;37;
"      651-675      ";6173;1.3256481674358276;55;
"      676-700      ";6067;1.30288472895402;52;
"      701-725      ";6006;1.2897850143559988;53;
"      726-750      ";5741;1.23287641815148;44;
"      751-775      ";5667;1.2169849610981427;47;
"      776-800      ";5408;1.161364861411462;47;
"      801-825      ";5181;1.1126167431532517;49;
"      826-850      ";5222;1.121421469358479;46;
"      851-875      ";4914;1.0552786481094534;57;
"      876-900      ";4902;1.052701655073777;42;
"      901-925      ";4691;1.007389527529802;47;
"      926-950      ";4628;0.9938603140925012;51;
"      951-975      ";4512;0.9689493814142968;46;
"      976-1000     ";4259;0.9146177782454543;57;
"     1001-1025     ";4184;0.8985115717724773;66;
"     1026-1050     ";3996;0.8581386808802149;40;
"     1051-1075     ";3933;0.8446094674429142;56;
"     1076-1100     ";3877;0.8325834999430914;43;
"     1101-1125     ";3749;0.8050955742292106;44;
"     1126-1150     ";3724;0.7997268387382183;56;
"     1151-1175     ";3642;0.7821173863277634;56;
"     1176-1200     ";3448;0.7404559989176629;55;
"     1201-1225     ";3371;0.7239202936054066;51;
"     1226-1250     ";3365;0.7226317970875684;54;
"     1251-1275     ";3269;0.7020158528021578;66;
"     1276-1300     ";3147;0.6758164236061152;46;
"     1301-1325     ";3068;0.6588512194545795;58;
"     1326-1350     ";2912;0.6253503099907872;52;
"     1351-1375     ";2980;0.6399532705262864;50;
"     1376-1400     ";2775;0.5959296395001492;56;
"     1401-1425     ";2724;0.5849774190985249;58;
"     1426-1450     ";2689;0.5774611894111357;53;
"     1451-1475     ";2592;0.5566304957060854;49;
"     1476-1500     ";2455;0.5272098252154473;64;
"     1501-1525     ";2424;0.5205525932066168;50;
"     1526-1550     ";2454;0.5269950757958076;68;
"     1551-1575     ";2366;0.5080971268675146;48;
"     1576-1600     ";2392;0.5136806117781467;60;
"     1601-1625     ";2205;0.473522470305524;49;
"     1626-1650     ";2130;0.45741626383254697;51;
"     1651-1675     ";2041;0.4383035654846143;51;
"     1676-1700     ";2042;0.43851831490425397;55;
"     1701-1725     ";1947;0.4181171200384831;36;
"     1726-1750     ";1882;0.40415840776190304;61;
"     1751-1775     ";1905;0.40909764441361596;59;
"     1776-1800     ";1827;0.3923471896817199;54;
"     1801-1825     ";1737;0.3730197419141475;53;
"     1826-1850     ";1695;0.36400026628928034;47;
"     1851-1875     ";1727;0.37087224771775057;56;
"     1876-1900     ";1690;0.3629265191910819;41;
"     1901-1925     ";1620;0.34789405981630334;47;
"     1926-1950     ";1500;0.3221241294595401;56;
"     1951-1975     ";1530;0.32856661204873094;54;
"     1976-2000     ";1503;0.32276837771845923;65;
"     2001-2025     ";1449;0.31117190905791575;54;
"     2026-2050     ";1449;0.31117190905791575;59;
"     2051-2075     ";1331;0.2858314775404319;58;
"     2076-2100     ";1352;0.2903412153528655;44;
"     2101-2125     ";1321;0.283683983344035;52;
"     2126-2150     ";1192;0.25598130821051457;42;
"     2151-2175     ";1218;0.2615647931211466;50;
"     2176-2200     ";1185;0.2544780622730367;36;
"     2201-2225     ";1166;0.2503978232998825;46;
"     2226-2250     ";1124;0.2413783476750154;53;
"     2251-2275     ";1123;0.24116359825537573;47;
"     2276-2300     ";1095;0.2351506145054643;38;
"     2301-2325     ";1084;0.23278837088942766;36;
"     2326-2350     ";989;0.2123871760236568;31;
"     2351-2375     ";961;0.20637419227374537;41;
"     2376-2400     ";931;0.19993170968455456;41;
"     2401-2425     ";920;0.19756946606851794;45;
"     2426-2450     ";924;0.19842846374707673;38;
"     2451-2475     ";900;0.1932744776757241;40;
"     2476-2500     ";863;0.18532874914905542;49;
"     2501-2525     ";899;0.1930597282560844;38;
"     2526-2550     ";831;0.17845676772058525;46;
"     2551-2575     ";777;0.1668602990600418;30;
"     2576-2600     ";786;0.16879304383679902;41;
"     2601-2625     ";742;0.15934406937265252;34;
"     2626-2650     ";768;0.16492755428328454;29;
"     2651-2675     ";754;0.16192106240832885;45;
"     2676-2700     ";707;0.15182783968526326;28;
"     2701-2725     ";692;0.14860659839066784;34;
"     2726-2750     ";677;0.14538535709607245;27;
"     2751-2775     ";616;0.13228564249805114;37;
"     2776-2800     ";635;0.13636588147120532;28;
"     2801-2825     ";598;0.12842015294453668;40;
"     2826-2850     ";583;0.12519891164994126;24;
"     2851-2875     ";627;0.1346478861140878;29;
"     2876-2900     ";525;0.11274344531083905;31;
"     2901-2925     ";534;0.11467619008759629;20;
"     2926-2950     ";525;0.11274344531083905;23;
