"FRAGMENT INTERVAL";"FRAGS";"PERCENT";"FRAGS WITH Ns";
"        1-25       ";4635;5.457692579422085;1;
"       26-50       ";4514;5.315215599463062;2;
"       51-75       ";4208;4.954901914608012;3;
"       76-100      ";4538;5.343475496314438;2;
"      101-125      ";3768;4.436803805666109;6;
"      126-150      ";3557;4.188352212514424;7;
"      151-175      ";3373;3.9716930033205378;11;
"      176-200      ";3077;3.6231542754868946;6;
"      201-225      ";2922;3.440642441655088;10;
"      226-250      ";2744;3.231048206674046;14;
"      251-275      ";2641;3.109766149353555;10;
"      276-300      ";2433;2.8648470433082918;17;
"      301-325      ";2323;2.7353225160728165;16;
"      326-350      ";2330;2.7435649859878013;17;
"      351-375      ";2103;2.476273461601865;9;
"      376-400      ";1890;2.225466877045899;18;
"      401-425      ";1807;2.1277347337682215;13;
"      426-450      ";1721;2.026470103384123;14;
"      451-475      ";1576;1.855733226573723;15;
"      476-500      ";1531;1.802745919977392;16;
"      501-525      ";1495;1.7603560747003273;16;
"      526-550      ";1344;1.5825542236770835;20;
"      551-575      ";1294;1.5236794385700492;21;
"      576-600      ";1257;1.4801120975908437;12;
"      601-625      ";1132;1.3329251348232578;10;
"      626-650      ";1093;1.287002802439771;18;
"      651-675      ";1006;1.1845606763535312;12;
"      676-700      ";1000;1.177495702140687;16;
"      701-725      ";945;1.1127334385229495;18;
"      726-750      ";887;1.0444386877987895;13;
"      751-775      ";827;0.9737889456703483;14;
"      776-800      ";788;0.9278666132868615;11;
"      801-825      ";741;0.8725243152862492;14;
"      826-850      ";744;0.8760568023926713;19;
"      851-875      ";650;0.7653722063914467;14;
"      876-900      ";618;0.7276923439229447;17;
"      901-925      ";566;0.6664625674116289;12;
"      926-950      ";549;0.6464451404752373;8;
"      951-975      ";537;0.632315192049549;18;
"      976-1000     ";489;0.575795398346796;17;
"     1001-1025     ";487;0.5734404069425146;20;
"     1026-1050     ";428;0.5039681605162141;11;
"     1051-1075     ";433;0.5098556390269176;12;
"     1076-1100     ";397;0.4674657937498528;16;
"     1101-1125     ";400;0.4709982808562749;14;
"     1126-1150     ";370;0.43567340979205427;9;
"     1151-1175     ";336;0.3956385559192709;14;
"     1176-1200     ";361;0.42507594847278807;16;
"     1201-1225     ";290;0.3414737536207993;10;
