"FRAGMENT INTERVAL";"FRAGS";"PERCENT";"FRAGS WITH Ns";
"        1-25       ";45761;10.325834329941106;1;
"       26-50       ";58243;13.142360719362772;5;
"       51-75       ";49076;11.073854277139699;19;
"       76-100      ";39732;8.96540830832412;23;
"      101-125      ";34831;7.85951215109326;24;
"      126-150      ";28006;6.319471083331453;25;
"      151-175      ";23532;5.309926213416973;27;
"      176-200      ";20116;4.539115914885936;38;
"      201-225      ";17310;3.9059503125211545;50;
"      226-250      ";15043;3.3944084662770493;35;
"      251-275      ";12824;2.893697678091929;32;
"      276-300      ";10939;2.4683530022339055;45;
"      301-325      ";9312;2.1012252634429225;29;
"      326-350      ";8252;1.8620393979736896;46;
"      351-375      ";7234;1.6323307083060676;26;
"      376-400      ";6423;1.4493309565178147;39;
"      401-425      ";5796;1.3078502606223346;52;
"      426-450      ";4857;1.0959676873434574;30;
"      451-475      ";4466;1.0077396935713157;34;
"      476-500      ";3748;0.8457251167723447;51;
"      501-525      ";3404;0.7681025340162917;36;
"      526-550      ";2990;0.6746846582575535;37;
"      551-575      ";2697;0.6085700746891712;33;
"      576-600      ";2530;0.5708870185256222;35;
"      601-625      ";2103;0.47453573120924253;39;
"      626-650      ";1962;0.4427194981609766;36;
"      651-675      ";1757;0.3964618543673985;34;
"      676-700      ";1535;0.3463682108445969;42;
"      701-725      ";1390;0.313649389624749;37;
"      726-750      ";1246;0.28115621544779656;32;
"      751-775      ";1135;0.25610939368639574;46;
"      776-800      ";1031;0.23264210122526344;17;
"      801-825      ";1008;0.22745221923866688;41;
"      826-850      ";878;0.1981181036622515;30;
"      851-875      ";802;0.18096892840219328;42;
"      876-900      ";782;0.17645598754428324;31;
"      901-925      ";696;0.15705034185526998;38;
"      926-950      ";607;0.13696775503757022;31;
"      951-975      ";563;0.1270392851501681;38;
"      976-1000     ";535;0.12072116794909403;37;
"     1001-1025     ";477;0.10763363946115487;30;
"     1026-1050     ";389;0.08777669968635061;22;
"     1051-1075     ";397;0.08958187602951463;31;
"     1076-1100     ";340;0.07671999458447097;25;
"     1101-1125     ";321;0.07243270076945642;21;
"     1126-1150     ";319;0.07198140668366541;26;
"     1151-1175     ";283;0.06385811313942731;21;
"     1176-1200     ";291;0.06566328948259133;24;
"     1201-1225     ";236;0.05325270212333867;28;
"     1226-1250     ";231;0.05212446690886116;23;
"     1251-1275     ";227;0.051221878737279146;25;
"     1276-1300     ";214;0.04828846717963761;20;
"     1301-1325     ";212;0.04783717309384661;27;
"     1326-1350     ";167;0.03768305616354898;26;
"     1351-1375     ";173;0.03903693842092199;17;
"     1376-1400     ";142;0.03204188009116141;19;
"     1401-1425     ";140;0.0315905860053704;20;
"     1426-1450     ";138;0.031139291919579395;22;
"     1451-1475     ";155;0.03497529164880294;19;
"     1476-1500     ";139;0.03136493896247489;25;
"     1501-1525     ";120;0.027077645147460343;14;
"     1526-1550     ";117;0.026400704018773834;14;
"     1551-1575     ";106;0.023918586546923304;18;
"     1576-1600     ";128;0.028882821490624367;19;
