"FRAGMENT INTERVAL";"FRAGS";"PERCENT";"FRAGS WITH Ns";
"        1-25       ";5038;5.885101511576291;0;
"       26-50       ";7459;8.713174310211901;3;
"       51-75       ";7230;8.445669696049343;7;
"       76-100      ";6131;7.161881176553045;11;
"      101-125      ";5764;6.733172908440997;14;
"      126-150      ";5194;6.06733172908441;14;
"      151-175      ";4706;5.497278228161577;12;
"      176-200      ";4385;5.122304511366026;16;
"      201-225      ";3669;4.285914538700558;9;
"      226-250      ";3133;3.6597902016213815;15;
"      251-275      ";3067;3.5826928019064086;13;
"      276-300      ";2554;2.98343574048548;13;
"      301-325      ";2401;2.804709950237133;13;
"      326-350      ";2138;2.4974884937971638;18;
"      351-375      ";1987;2.3210989883886644;21;
"      376-400      ";1612;1.8830455809172255;15;
"      401-425      ";1534;1.7919304721631661;18;
"      426-450      ";1391;1.6248861061140574;19;
"      451-475      ";1231;1.4379833189262434;19;
"      476-500      ";1109;1.2954699436955353;12;
"      501-525      ";1044;1.2195406864004859;15;
"      526-550      ";953;1.1132397261874167;14;
"      551-575      ";840;0.9812396327360232;18;
"      576-600      ";740;0.8644253907436394;12;
"      601-625      ";673;0.7861598486087423;12;
"      626-650      ";602;0.7032217367941499;11;
"      651-675      ";534;0.623788052239329;10;
"      676-700      ";495;0.5782304978622994;10;
"      701-725      ";482;0.5630446464032894;18;
"      726-750      ";419;0.48945167394808775;10;
"      751-775      ";409;0.4777702497488494;13;
"      776-800      ";354;0.41352241665303835;10;
"      801-825      ";317;0.3703011471158564;16;
"      826-850      ";310;0.3621241501763895;12;
"      851-875      ";311;0.36329229259631335;9;
"      876-900      ";282;0.32941616241852206;21;
"      901-925      ";222;0.25932761722309183;11;
"      926-950      ";239;0.27918603836179706;19;
"      951-975      ";220;0.2569913323832442;8;
"      976-1000     ";206;0.24063733850431043;9;
"     1001-1025     ";198;0.23129219914491975;10;
"     1026-1050     ";186;0.2172744901058337;14;
"     1051-1075     ";170;0.19858421138705232;10;
